#TEXT,TEXT
id,rewardGroup
1113,"3_10017_1_60,0_0_0_103_10013_1_80,3_10014_1_80,3_10015_1_80"
1114,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1115,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1116,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20004_1_60"
1117,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1118,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1119,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1120,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20009_1_60"
1121,"3_10017_1_60,0_0_0_103_10013_1_80,3_10014_1_80,3_10015_1_80"
1122,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1123,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1124,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20013_1_60"
1125,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1126,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1127,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1128,"3_10016_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20007_1_60"
1129,"3_10017_1_60,0_0_0_103_10013_1_80,3_10014_1_80,3_10015_1_80"
1130,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1131,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80"
1132,"3_10017_1_60,0_0_0_100,3_10013_1_80,3_10014_1_80,3_10015_1_80,3_20021_1_60"
2001,"4_70001_1_1_0_500,4_70007_1_1_0_500,4_70013_1_1_0_500,4_70019_1_1_0_500"
2002,"4_70002_1_1_0_500,4_70008_1_1_0_500,4_70014_1_1_0_500,4_70020_1_1_0_500"
2003,"4_70003_1_1_0_500,4_70009_1_1_0_500,4_70015_1_1_0_500,4_70021_1_1_0_500"
2004,"4_70004_1_1_0_500,4_70010_1_1_0_500,4_70016_1_1_0_500,4_70022_1_1_0_500"
2005,"4_70005_1_1_0_500,4_70011_1_1_0_500,4_70017_1_1_0_500,4_70023_1_1_0_500"
2006,"4_70006_1_1_0_500,4_70012_1_1_0_500,4_70018_1_1_0_500,4_70024_1_1_0_500"
2101,"4_70002_1_1_0_500,4_70008_1_1_0_500,4_70014_1_1_0_500,4_70020_1_1_0_500,4_70003_1_1_0_500,4_70009_1_1_0_500,4_70015_1_1_0_500,4_70021_1_1_0_500"
2102,"4_70002_1_1_0_500,4_70008_1_1_0_500,4_70014_1_1_0_500,4_70020_1_1_0_500,4_70004_1_1_0_500,4_70010_1_1_0_500,4_70016_1_1_0_500,4_70022_1_1_0_500"
2103,"4_70005_1_1_0_500,4_70011_1_1_0_500,4_70017_1_1_0_500,4_70023_1_1_0_500,4_70004_1_1_0_500,4_70010_1_1_0_500,4_70016_1_1_0_500,4_70022_1_1_0_500"
2104,"4_70006_1_1_0_500,4_70012_1_1_0_500,4_70018_1_1_0_500,4_70024_1_1_0_500,4_70004_1_1_0_500,4_70010_1_1_0_500,4_70016_1_1_0_500,4_70022_1_1_0_500"
2105,"4_70006_1_1_0_500,4_70012_1_1_0_500,4_70018_1_1_0_500,4_70024_1_1_0_500,4_70005_1_1_0_500,4_70011_1_1_0_500,4_70017_1_1_0_500,4_70023_1_1_0_500"
2106,"4_70001_1_1_0_500,4_70007_1_1_0_500,4_70013_1_1_0_500,4_70019_1_1_0_500,4_70003_1_1_0_500,4_70009_1_1_0_500,4_70015_1_1_0_500,4_70021_1_1_0_500"
3001,"3_10013_1_300,3_10014_1_300,3_10015_1_300"
30000,"6_30001_1_1000,6_30002_1_500,6_30003_1_100"
30001,"7_xgWagui3_1_0_100,7_xgHuapo2_1_0_100,7_xgPanshen2_1_0_100,7_xgXiaochou3_1_0_100,3_20002_10_300,3_20003_10_300,3_20004_10_300,3_11001_20_1000,3_10009_1_1000"
30002,"7_xgKairuisi4_1_0_100,7_xgLonggongtongzi3_1_0_100,7_xgHetong2_1_0_100,7_xgHetong3_1_0_100,7_xgPiying5_1_0_100,3_20005_15_300,3_20006_15_300,3_20007_15_300,3_11002_30_1000,3_10010_1_1000"
30003,"7_xgNvyao5_1_0_100,7_xgHapi1_1_0_100,7_xgXiyiren2_1_0_100,7_xgXiyiren4_1_0_100,7_xgKairuisi5_1_0_100,3_20008_20_300,3_20009_20_300,3_20010_20_300,3_11003_50_1000,3_10011_1_1000"
30004,"7_xgMantuoluo2_1_0_100,7_xgLangren5_1_0_100,7_xgLangren3_1_0_100"
jinbi1st,3_20024_40_100
jinbionce,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
jinbiten,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
zuanshi1st,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
zuanshioncefree,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
zuanshionce1,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
zuanshionce2,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
zuanshionce3,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
zuanshiten,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30"
zuanshiten1st,"7_xgLangren3_1_0_30,7_xgXiaochou3_1_0_30,7_xgXiaochou4_1_0_30,7_xgXiaochou2_1_0_30,7_xgMoguguai4_1_0_30,7_xgXiyiren4_1_0_30,7_xgMantuoluo2_1_0_30,7_xgHuapo2_1_0_30,7_xgSaibulesi4_1_0_3,7_xgWushi4_1_0_60,7_xgTianshizhang4_1_0_3,7_xgKairuisi4_1_0_30,7_xgNvyao5_1_0_30,7_xgBingxuenvwang3_1_0_30,7_xgAmute3_1_0_30,7_xgShuigui3_1_0_3,7_xgMomo1_1_0_30,7_xgIfrit4_1_0_1,7_xgDaochengsizhong4_1_0_30,7_xgLangren5_1_0_30,4_70005_1_1_0_30,4_70011_1_1_0_30,4_70017_1_1_0_30,4_70023_1_1_0_30,4_70004_1_1_0_30,4_70010_1_1_0_30,4_70016_1_1_0_30,4_70022_1_1_0_30,3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_30,3_20012_1_8,3_20006_1_30,3_20012_1_30,3_20039_1_30,3_20015_1_8,3_20037_1_30,3_20018_1_18,3_20017_1_8,3_20021_1_8"
shilianX1boss,"3_50002_1_1400,3_50002_3_1200,3_50003_1_700"
shilianX2boss,"3_50002_1_1000,3_50002_3_1200,3_50003_1_700,3_50003_2_600"
shilianX3boss,"3_50002_1_500,3_50002_3_1200,3_50003_1_700,3_50003_2_600,3_50003_3_400,3_50003_3_300"
shilianX4boss,"3_50002_4_1200,3_50003_2_700,3_50003_3_600,3_50003_3_400,3_50003_3_300,3_50004_2_300"
shilianX5boss,"3_50002_4_120,3_50003_3_700,3_50003_4_600,3_50004_2_400,3_50004_5_300,3_50004_10_300"
shilianJ1boss,"1_2_1000_300,1_2_3000_800,1_2_6000_20"
shilianJ2boss,"1_2_1000_300,1_2_3000_400,1_2_6000_200,1_2_10000_5"
shilianJ3boss,"1_2_1000_200,1_2_3000_400,1_2_6000_300,1_2_10000_20"
shilianJ4boss,"1_2_1000_100,1_2_3000_200,1_2_6000_200,1_2_10000_20"
shilianJ5boss,"1_2_1000_300,1_2_3000_400,1_2_6000_200,1_2_10000_50"
baoxiang0,"1_2_1000_300,1_2_5000_200,1_2_10000_50,1_2_50000_20,1_2_100000_2"
baoxiang1,"3_10005_2_200,3_10005_3_300,3_11001_20_500,3_11002_5_300,3_11003_2_200,3_10005_10_50"
baoxiang2,"3_20025_1_16,3_20026_1_16,3_20030_1_8,3_20027_1_8,3_20022_1_8,3_20013_1_8,3_20012_1_8,3_20002_1_60,3_20012_1_8,3_20006_1_60,3_20012_1_60,3_20039_1_60,3_20015_1_8,3_20037_1_60,3_20018_1_18,3_20017_1_8,3_20021_1_8,3_20023_1_8,3_20024_1_8"
baoxiang3,7_xgIfrit4_1_0_5
baoshisuiji2,"3_30002_1_300,3_30008_1_300,3_30014_1_300,3_30020_1_300,3_30026_1_300,3_30032_1_300,3_30038_1_300,3_30043_1_300,3_30050_1_300,"
baoshisuiji3,"3_30003_1_300,3_30009_1_300,3_30015_1_300,3_30021_1_300,3_30027_1_300,3_30033_1_300,3_30039_1_300,3_30044_1_300,3_30051_1_300,"
