#TEXT,TEXT
id,reward
linshi1,"1_3_35_1.0,1_2_300_1.0,3_50002_8_1.0"
linshi2,"1_2_300_1.0,3_50002_8_1.0,3_20024_20_1.0"
53001,"1_2_400_1.0,3_11001_25_1.0"
53002,"1_2_500_1.0,3_10005_10_1.0"
bigTask201,"1_2_1000_1.0,1_10_1000_1.0,3_20002_5_1.0"
bigTaskleader201,3_40005_1_1.0
200001,"1_2_1000_1.0,1_10_1000_1.0,3_20002_5_1.0"
bigTask301,"1_2_2000_1.0,1_10_2000_1.0,3_20005_8_1.0"
bigTaskleader301,3_40006_1_1.0
200002,"1_2_2000_1.0,1_10_2000_1.0,3_20005_8_1.0"
bigTask401,"1_2_2000_1.0,1_10_2000_1.0,3_20008_10_1.0"
bigTaskleader401,3_40007_1_1.0
200003,"1_2_2000_1.0,1_10_2000_1.0,3_20008_10_1.0"
bigTask202,"1_2_1000_1.0,1_10_1000_1.0,3_30002_2_1.0"
bigTaskleader202,3_40008_1_1.0
200004,"1_2_1000_1.0,1_10_1000_1.0,3_30002_2_1.0"
bigTask302,"1_2_2000_1.0,1_10_2000_1.0,3_30004_3_1.0"
bigTaskleader302,3_40009_1_1.0
200005,"1_2_2000_1.0,1_10_2000_1.0,3_30004_3_1.0"
bigTask402,"1_2_2000_1.0,1_10_2000_1.0,3_30006_4_1.0"
bigTaskleader402,3_40010_1_1.0
200006,"1_2_2000_1.0,1_10_2000_1.0,3_30006_4_1.0"
smallTask10001,"1_2_1000_1.0,1_10_1000_1.0,3_50002_5"
smallTask10002,"1_2_1000_1.0,1_10_1000_1.0,3_50002_6"
smallTask10003,"1_2_1000_1.0,1_10_1000_1.0,3_50002_7"
smallTask10004,"1_2_1000_1.0,1_10_1000_1.0,3_50002_8"
smallTask10005,"1_2_1000_1.0,1_10_1000_1.0,3_50002_9"
smallTask10006,"1_2_1000_1.0,1_10_1000_1.0,3_50002_10"
smallTask10007,"1_2_1000_1.0,1_10_1000_1.0,3_50002_11"
smallTask10008,"1_2_1000_1.0,1_10_1000_1.0,3_50002_12"
smallTask10009,"1_2_1000_1.0,1_10_1000_1.0,3_50002_13"
smallTask10010,"1_2_1000_1.0,1_10_1000_1.0,3_50002_14"
smallTask10011,"1_2_1000_1.0,1_10_1000_1.0,3_50002_15"
51001,"1_3_60_1.0,1_2_5000_1.0,3_50002_3_1.0"
51002,"1_3_45_1.0,1_2_800_1.0,3_50003_1_1.0"
51003,"1_3_30_1.0,1_2_500_1.0"
51004,"1_3_30_1.0,1_2_500_1.0"
51005,"1_3_45_1.0,1_2_500_1.0"
51006,"1_3_45_1.0,1_2_500_1.0"
51007,"1_3_30_1.0,1_2_500_1.0,1_1_5_1.0"
mail_new_001,"3_50007_2_1.0,3_50006_2_1.0"
testchoudan,6_30000_1_1.0
testchoudanbaodi,6_30004_1_1.0
advanture_testbase1,3_50002_5_1.0
advanture_testextra1,"3_11001_10_1.0,3_10016_5_1.0,3_11002_5_1.0"
advanture_testbase2,3_50003_5_1.0
advanture_testextra2,"3_10005_10_1.0,3_10017_5_1.0"
advanture_testbase3,3_50004_5_1.0
advanture_testextra3,"3_10008_10_1.0,3_20014_5_1.0,3_10007_5_1.0"
signin_001,3_30004_1_1.0
signin_002,7_xgWagui3_1_10_1.0
signin_003,1_2_1000_1.0
signin_004,3_90002_2000_1.0
signin_005,3_50004_10_1
signin_006,3_30004_1_1.0
pvp_rankrewardshiji1_1,"3_20007_100_1.0,3_10017_20_1.0,1_2_65000_1.0"
pvp_rankrewardshiji1_2,"3_20007_100_1.0,3_10017_20_1.0,1_2_80000_1.1"
pvp_rankrewardshiji1_3,"3_20007_100_1.0,3_10017_20_1.0,1_2_95000_1.2"
pvp_rankrewardshiji1_4,"3_20007_100_1.0,3_10017_20_1.0,1_2_110000_1.3"
