 #TEXT ,TEXT,NUM,NUM,NUM,NUM,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,TEXT,TEXT,TEXT
id,name,chapter,index,type,difficulty,fatigue,count,desc,enemy1,enemy2,enemy3,enemy4,enemy5,enemy6,bp,reward,bgzhuangshi,instanceSpell
huoshan21,Volcano1 - 1,4,0,1,1,12,3,,"xgMoguguai4,2","xgCike4,2","bosshuoshan47Ifrit4,6",,,,1025,33231,fubenxuanze_minghe,
huoshan22,Volcano1 - 2,4,1,1,1,12,3,,"xgXiyiren4,2","xgWushi4,2","bosshuoshan42Daochengsizhong4,6",,,,1026,33231,fubenxuanze_minghe,
huoshan23,Volcano1 - 3,4,2,1,1,12,3,,"xgKairuisi4,2","xgLuoxinfu5,2","bosshuoshan43Huoniao4,6",,,,1027,33231,fubenxuanze_minghe,
huoshan24,Volcano1 - 4,4,3,1,1,12,3,,"xgDaochengsizhong4,2","xgMomo1,2","bosshuoshan44Datiangou4,6",,,,1028,33232,fubenxuanze_minghe,
huoshan25,Volcano1 - 5,4,4,1,1,12,3,,"xgSaibulesi5,2","xgHongniu4,2","bosshuoshan45Saibulesi4,6",,,,1029,33233,fubenxuanze_minghe,
huoshan26,Volcano1 - 6,4,5,1,1,12,3,,"xgHuoniao4,2","xgHapi1,2","bosshuoshan46Tianshizhang4,6",,,,1030,33233,fubenxuanze_minghe,
huoshan27,Volcano1 - 7,4,6,1,1,12,3,,"xgTianshizhang4,2","xgAnpusha5,2","bosshuoshan47Ifrit4,6",,,,1031,33233,fubenxuanze_minghe,
huoshan28,Volcano1 - 8,4,7,1,1,12,3,,"xgSaibulesi4,2","xgIfrit4,2","bosshuoshan48Hehuaisituosi4,8",,,,1032,33234,fubenxuanze_minghe,
gonghuidajie11,Street - 1,-1,-1,4,0,6,999,,"xgXiaochou3,2","xgKairuisi4,2","bossdajie11Xiaochou4,6",,,,1047,33101,fubenxuanze_minghe,
gonghuidajie12,Street - 2,-1,-1,4,0,6,999,,"xgKairuisi4,2","xgHetong2,2","bossdajie12Mantuoluo2,6",,,,1048,33101,fubenxuanze_minghe,
gonghuidajie13,Street - 3,-1,-1,4,0,6,999,,"xgWagui3,2","xgXiaochou4,2","bossdajie13Langren3,6",,,,1049,33101,fubenxuanze_minghe,
gonghuidajie14,Street - 4,-1,-1,4,0,6,999,,"xgXiaochou4,2","xgHetong2,2","bossdajie14Piying5,6",,,,1050,33102,fubenxuanze_minghe,
gonghuidajie15,Street - 5,-1,-1,4,0,6,999,,"xgWagui3,2","xgCike4,2","bossdajie15Huapo2,6",,,,1051,33103,fubenxuanze_minghe,
