#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
name_20009_suipian_huapo2,花魄碎片（木）,Flower Pixie Fgmt(Grass),花魄碎片（木）
name_20010_suipian_wushi3,舞狮碎片（水）,Dancing Lion Fgmt(Water),舞獅碎片（水）
name_20011_suipian_wushi4,舞狮碎片（火）,Dancing Lion Fgmt(Fire),舞獅碎片（火）
name_20012_suipian_xiyiren4,蜥蜴人碎片（火）,Lizardman Fgmt(Fire),蜥蜴人碎片（火）
name_20013_suipian_mantuoluo2,曼陀罗碎片（木）,Mandrake Fgmt(Grass),曼陀羅碎片（木）
name_20014_suipian_hetong3,河童碎片（水）,Kappa Fgmt(Water),河童碎片（水）
name_20015_suipian_longgongtongzi3,龙宫童子碎片（水）,Ryuku Doji Fgmt(Water),龍宮童子碎片（水）
name_20016_suipian_xiyiren2,蜥蜴人碎片（木）,Lizardman Fgmt(Grass),蜥蜴人碎片（木）
name_20017_suipian_langren5,狼人碎片（暗）,Werewolf Fgmt(Dark),狼人碎片（暗）
name_20018_suipian_langren3,狼人碎片（水）,Werewolf Fgmt(Water),狼人碎片（水）
name_20019_suipian_shuigui3,幽灵船长碎片（水）,Soul Pirate Fgmt(Water),幽靈船長碎片（水）
name_20020_suipian_nvyao5,报丧女妖碎片（暗）,Banshee Fgmt(Dark),報喪女妖碎片（暗）
name_20021_suipian_hapi1,哈皮碎片（光）,Harpy Fgmt(Light),哈皮碎片（光）
name_20022_suipian_piying5,皮影碎片（暗）,Shadow Puppet Fgmt(Dark),皮影碎片（暗）
name_20023_suipian_kairuisi5,凯瑞斯碎片（暗）,Keres Fgmt(Dark),凱瑞斯碎片（暗）
name_20024_suipian_bingxuenvwang3,冰雪女王碎片（水）,Chione Fgmt(Water),冰雪女王碎片（水）
name_20025_suipian_wendige3,温迪戈碎片（水）,Wendigo Fgmt(Water),溫蒂戈碎片（水）
name_20026_suipian_wendige2,温迪戈碎片（木）,Wendigo Fgmt(Grass),溫蒂戈碎片（木）
name_20027_suipian_longnv3,龙女碎片（水）,Dragon Girl Fgmt(Water),龍女碎片（水）
name_20028_suipian_momo1,得莫非碎片（光）,Demovoy Fgmt(Light),得莫非碎片（光）
name_20029_suipian_amute3,鳄鱼判官碎片（水）,Croc Warden Fgmt(Water),鱷魚判官碎片（水）
name_20030_suipian_luoxinfu5,络新妇碎片（暗）,Nephila Fgmt(Dark),絡新婦碎片（暗）
name_20031_suipian_saibulesi5,地狱犬碎片（暗）,Hellhound Fgmt(Dark),地獄犬碎片（暗）
name_20032_suipian_hongniu4,米诺到诺斯碎片（火）,Minotaur Fgmt(Fire),米諾到諾斯碎片（火）
name_20033_suipian_anpusha5,安普沙碎片（暗）,Empusa Fgmt(Dark),安普沙碎片（暗）
name_20034_suipian_daochengsizhong4,道成寺妖碎片（火）,Maiden Dojoji Fgmt(Fire),道成寺妖碎片（火）
name_20035_suipian_huoniao4,火鸟碎片（火）,Firebird Fgmt(Fire),火鳥碎片（火）
name_20036_suipian_ifrit4,伊芙利特碎片（火）,Ifrit Fgmt(Fire),伊芙利特碎片（火）
name_20037_suipian_moguguai4,蘑菇怪碎片（火）,Matango Fgmt(Fire),蘑菇怪碎片（火）
name_20038_suipian_tianshizhang4,天使长碎片（火）,Archangel Fgmt(Fire),天使長碎片（火）
name_20039_suipian_xiaochou2,小丑碎片（木）,Joker Fgmt(Grass),小丑碎片（木）
name_20040_suipian_saibulesi4,地狱犬碎片（火）,Hellhound Fgmt(Fire),地獄犬碎片（火）
name_20041_suipian_moguguai3,蘑菇怪碎片（水）,Matango Fgmt(Fire),蘑菇怪碎片（水）
name_20042_suipian_sheshouzuo1,星空射手碎片（光）,Astro Archer Fgmt(Light),星空射手碎片（光）
name_20043_suipian_weitianshi5,伪天使碎片（暗）,Fallen Angel Fgmt(Dark),偽天使碎片（暗）
name_20044_suipian_sheshouzuo3,星空射手碎片（水）,Astro Archer Fgmt(Water),星空射手碎片（水）
name_20045_suipian_bingyan3,史莱姆碎片（水）,Slime Fgmt(Water),史萊姆碎片（水）
name_20046_suipian_mengyan5,梦魇碎片（暗）,Bangungot Fgmt(Dark),夢魘碎片（暗）
name_20047_suipian_change1,嫦娥碎片（光）,Moon Devine Fgmt(Light),嫦娥碎片（光）
name_20048_suipian_dujiaoshou1,独角兽碎片（光）,Pegasus Fgmt(Light),獨角獸碎片（光）
name_20049_suipian_dujiaoshou5,独角兽碎片（暗）,Pegasus Fgmt(Dark),獨角獸碎片（暗）
name_20050_suipian_change5,嫦娥碎片（暗）,Moon Devine Fgmt(Dark),嫦娥碎片（暗）
name_20051_suipian_huoniao3,火鸟碎片（水）,Firebird Fgmt(Water),火鳥碎片（水）
name_20052_suipian_ifrit5,伊芙利特碎片（暗）,Ifrit Fgmt(Dark),伊芙利特碎片（暗）
name_20053_suipian_datiangou4,大天狗碎片（火）,Tengu Fgmt(Fire),大天狗碎片（火）
name_20054_suipian_tianshizhang1,天使长碎片（光）,Archangel Fgmt(Light),天使長碎片（光）
name_20055_suipian_longnv1,龙女碎片（光）,Dragon Girl Fgmt(Light),龍女碎片（光）
name_20056_suipian_weitianshi1,伪天使碎片（光）,Fallen Angel Fgmt(Light),偽天使碎片（光）
name_20057_suipian_nvyao1,报丧女妖碎片（光）,Banshee Fgmt(Light),報喪女妖碎片（光）
name_20058_suipian_piying1,皮影碎片（光）,Shadow Puppet Fgmt(Light),皮影碎片（光）
name_20059_suipian_kahuna2,卡胡纳碎片（木）,Kahuna Fgmt(Grass),卡胡納碎片（木）
name_20060_suipian_yifanmumian1,一反木棉碎片（光）,Ittan Momen Fgmt(Light),一反木棉碎片（光）
name_20061_suipian_jinglingwang2,精灵王子碎片（木）,Prince Elve Fgmt(Grass),精靈王子碎片（木）
name_20062_suipian_luoxinfu1,络新妇碎片（光）,Nephila Fgmt(Light),絡新婦碎片（光）
name_20063_suipian_amute2,鳄鱼判官碎片（木）,Croc Warden Fgmt(Grass),鱷魚判官碎片（木）
name_20064_suipian_amute4,鳄鱼判官碎片（火）,Croc Warden Fgmt(Fire),鱷魚判官碎片（火）
name_20065_suipian_cike2,火刺壳碎片（木）,Fireshell Fgmt(Grass),火刺殼碎片（木）
name_20066_suipian_cike3,火刺壳碎片（水）,Fireshell Fgmt(Water),火刺殼碎片（水）
name_20067_suipian_longgongtongzi1,龙宫童子碎片（光）,Ryuku Doji Fgmt(Light),龍宮童子碎片（光）
name_20068_suipian_yifanmumian3,一反木棉碎片（水）,Ittan Momen Fgmt(Water),一反木棉碎片（水）
name_20069_suipian_renyu3,人鱼碎片（水）,Mermaid Fgmt(Water),人魚碎片（水）
name_20070_suipian_shixianggui5,石像鬼碎片（暗）,Gargolye Fgmt(Dark),石像鬼碎片（暗）
name_20071_suipian_senlinnvshen2,森林女神碎皮（木）,Dryad Fgmt(Grass),森林女神碎皮（木）
name_20072_suipian_bingxuenvwang5,冰雪女王碎片（暗）,Chione Fgmt(Dark),冰雪女王碎片（暗）
name_30011_BloodStone_1,生命纹章lv1,Blood Insignia(lv1),生命紋章lv1
name_30012_BloodStone_2,生命纹章lv2,Blood Insignia(lv2),生命紋章lv2
name_30013_BloodStone_3,生命纹章lv3,Blood Insignia(lv3),生命紋章lv3
name_30014_BloodStone_4,生命纹章lv4,Blood Insignia(lv4),生命紋章lv4
name_30015_BloodStone_5,生命纹章lv5,Blood Insignia(lv5),生命紋章lv5
name_30016_BloodStone_6,生命纹章lv6,Blood Insignia(lv6),生命紋章lv6
name_30021_SageStone_1,海洋纹章lv1,Domain Insignia(lv1),海洋紋章lv1
name_30022_SageStone_2,海洋纹章lv2,Domain Insignia(lv2),海洋紋章lv2
name_30023_SageStone_3,海洋纹章lv3,Domain Insignia(lv3),海洋紋章lv3
name_30024_SageStone_4,海洋纹章lv4,Domain Insignia(lv4),海洋紋章lv4
name_30025_SageStone_5,海洋纹章lv5,Domain Insignia(lv5),海洋紋章lv5
name_30026_SageStone_6,海洋纹章lv6,Domain Insignia(lv6),海洋紋章lv6
name_30031_VitalityStone_1,烈炎纹章lv1,Ember Insignia(lv1),烈炎紋章lv1
name_30032_VitalityStone_2,烈炎纹章lv2,Ember Insignia(lv2),烈炎紋章lv2
name_30033_VitalityStone_3,烈炎纹章lv3,Ember Insignia(lv3),烈炎紋章lv3
name_30034_VitalityStone_4,烈炎纹章lv4,Ember Insignia(lv4),烈炎紋章lv4
name_30035_VitalityStone_5,烈炎纹章lv5,Ember Insignia(lv5),烈炎紋章lv5
name_30036_VitalityStone_6,烈炎纹章lv6,Ember Insignia(lv6),烈炎紋章lv6
name_30041_BastionStone_1,大地纹章lv1,Earth Insignia(lv1),大地紋章lv1
name_30042_BastionStone_2,大地纹章lv2,Earth Insignia(lv2),大地紋章lv2
name_30043_BastionStone_3,大地纹章lv3,Earth Insignia(lv3),大地紋章lv3
name_30044_BastionStone_4,大地纹章lv4,Earth Insignia(lv4),大地紋章lv4
name_30045_BastionStone_5,大地纹章lv5,Earth Insignia(lv5),大地紋章lv5
name_30046_BastionStone_6,大地纹章lv6,Earth Insignia(lv6),大地紋章lv6
name_30051_HasteStone_1,疾风纹章lv1,Wind Insignia(lv1),疾風紋章lv1
name_30052_HasteStone_2,疾风纹章lv2,Wind Insignia(lv2),疾風紋章lv2
name_30053_HasteStone_3,疾风纹章lv3,Wind Insignia(lv3),疾風紋章lv3
name_30054_HasteStone_4,疾风纹章lv4,Wind Insignia(lv4),疾風紋章lv4
name_30055_HasteStone_5,疾风纹章lv5,Wind Insignia(lv5),疾風紋章lv5
name_30056_HasteStone_6,疾风纹章lv6,Wind Insignia(lv6),疾風紋章lv6
name_30061_MendingStone_1,森林纹章lv1,Forest Insignia(lv1),森林紋章lv1
name_30062_MendingStone_2,森林纹章lv2,Forest Insignia(lv2),森林紋章lv2
name_30063_MendingStone_3,森林纹章lv3,Forest Insignia(lv3),森林紋章lv3
name_30064_MendingStone_4,森林纹章lv4,Forest Insignia(lv4),森林紋章lv4
name_30065_MendingStone_5,森林纹章lv5,Forest Insignia(lv5),森林紋章lv5
name_30066_MendingStone_6,森林纹章lv6,Forest Insignia(lv6),森林紋章lv6
name_30071_VolatileStone_1,月之纹章lv1,Moon Insignia(lv1),月之紋章lv1
name_30072_VolatileStone_2,月之纹章lv2,Moon Insignia(lv2),月之紋章lv2
name_30073_VolatileStone_3,月之纹章lv3,Moon Insignia(lv3),月之紋章lv3
name_30074_VolatileStone_4,月之纹章lv4,Moon Insignia(lv4),月之紋章lv4
name_30075_VolatileStone_5,月之纹章lv5,Moon Insignia(lv5),月之紋章lv5
name_30076_VolatileStone_6,月之纹章lv6,Moon Insignia(lv6),月之紋章lv6
name_30081_SourceStone_1,星之纹章lv1,Star Insignia(lv1),星之紋章lv1
name_30082_SourceStone_2,星之纹章lv2,Star Insignia(lv2),星之紋章lv2
name_30083_SourceStone_3,星之纹章lv3,Star Insignia(lv3),星之紋章lv3
name_30084_SourceStone_4,星之纹章lv4,Star Insignia(lv4),星之紋章lv4
name_30085_SourceStone_5,星之纹章lv5,Star Insignia(lv5),星之紋章lv5
name_30086_SourceStone_6,星之纹章lv6,Star Insignia(lv6),星之紋章lv6
name_30091_MorbidStone_1,日之纹章lv1,Sun Insignia(lv1),日之紋章lv1
name_30092_MorbidStone_2,日之纹章lv2,Sun Insignia(lv2),日之紋章lv2
name_30093_MorbidStone_3,日之纹章lv3,Sun Insignia(lv3),日之紋章lv3
name_30094_MorbidStone_4,日之纹章lv4,Sun Insignia(lv4),日之紋章lv4
name_30095_MorbidStone_5,日之纹章lv5,Sun Insignia(lv5),日之紋章lv5
name_30096_MorbidStone_6,日之纹章lv6,Sun Insignia(lv6),日之紋章lv6
name_40000_baoxiang,木质宝箱,Deadwood Chest,木質寶箱
name_40001_baoxiang,白银宝箱,Gleaming Chest,白銀寶箱
name_40002_baoxiang,黄金宝箱,Golden Strongbox,黃金寶箱
name_40005_bigTaskleader201,领袖宝箱（金币）lv1,Leader Chest(coins) (lv1),領袖寶箱（金幣）lv1
name_40006_bigTaskleader301,领袖宝箱（金币）lv2,Leader Chest(coins) (lv2),領袖寶箱（金幣）lv2
name_40007_bigTaskleader401,领袖宝箱（金币）lv3,Leader Chest(coins) (lv3),領袖寶箱（金幣）lv3
name_40007_bigTaskleader501,领袖宝箱（金币）lv4,Leader Chest(coins) (lv4),領袖寶箱（金幣）lv4
name_40008_bigTaskleader202,领袖宝箱（补给品）lv1,Leader Chest(supplies) (lv1),領袖寶箱（補給品）lv1
name_40009_bigTaskleader302,领袖宝箱（补给品）lv2,Leader Chest(supplies) (lv2),領袖寶箱（補給品）lv2
name_40010_bigTaskleader402,领袖宝箱（补给品）lv3,Leader Chest(supplies) (lv3),領袖寶箱（補給品）lv3
name_40010_bigTaskleader502,领袖宝箱（补给品）lv4,Leader Chest(supplies) (lv4),領袖寶箱（補給品）lv4
name_40052_pvpstagereward,1级纹章箱子,Level 1 Insignia Chest,1級紋章箱子
name_40053_pvpstagereward,2级纹章箱子,Level 2 Insignia Chest,2級紋章箱子
name_40054_pvpstagereward,3级纹章箱子,Level 3 Insignia Chest,3級紋章箱子
name_40055_pvpstagereward,4级纹章箱子,Level 4 Insignia Chest,4級紋章箱子
name_40056_pvprankreward,C级宠物碎片箱子（中）,Class C Monster Fragments(Medium),C級寵物碎片箱子（中）
name_40057_pvprankreward,B级宠物碎片箱子（中）,Class B Monster Fragments(Medium),B級寵物碎片箱子（中）
name_40058_pvprankreward,A级宠物碎片箱子（中）,Class A Monster Fragments(Medium),A級寵物碎片箱子（中）
name_40059_pvprankreward,S级宠物碎片箱子（中）,Class S Monster Fragments(Medium),S級寵物碎片箱子（中）
name_40060_pvprankxianshisuipian,中级宠物碎片箱子,Average Monster Fragments Chest,中級寵物碎片箱子
name_40061_pvprankxianshisuipian,高级宠物碎片箱子,Advanced Monster Fragments Chest,高級寵物碎片箱子
name_40062_pvprankxianshisuipian,史诗宠物碎片箱子,Epic Monster Fragments Chest,史詩寵物碎片箱子
name_40063_advanturegoldbox,钻石箱子,Diamond Chest,鑽石箱子
name_40064_pvpbox,竞技场碎片箱子,Arena Chest,競技場碎片箱子
name_40065_towerbox,通天塔碎片箱子,Tower Chest,通天塔碎片箱子
name_40066_bfregmentda,B级宠物碎片箱子 (大),Class B Monster Fragments(Giant),B級寵物碎片箱子 (大)
name_40067_afregmentda,A级宠物碎片箱子 (大),Class A Monster Fragments(Giant),A級寵物碎片箱子 (大)
name_40068_bigTaskleader601,领袖宝箱（金币）lv5,Leader Chest(coins) (lv5),領袖寶箱（金幣）lv5
name_40069_bigTaskleader602,领袖宝箱（补给品）lv5,Leader Chest(supplies) (lv5),領袖寶箱（補給品）lv5
name_40070_commonfregmentda,中级宠物碎片箱子,Average Monster Fragments Chest,中級寵物碎片箱子
name_40071_rarefregmentda,高级宠物碎片箱子,Advanced Monster Fragments Chest,高級寵物碎片箱子
name_40072_epicfregmentda,史诗宠物碎片箱子,Epic Monster Fragments Chest,史詩寵物碎片箱子
name_50002_chujichongwujingyanyaoshui,初级信仰之力,Basic Mytho Essence,初級信仰之力
name_50003_zhongjichongwujingyanyaoshui,中级信仰之力,Average Mytho Essence,中級信仰之力
name_50004_gaojichongwujingyanyaoshui,高级信仰之力,Advanced Mytho Essence,高級信仰之力
name_50005_chujipilaoyaoshui,苹果,Apple ,蘋果
name_50006_zhongjipilaoyaoshui,一袋苹果,Bag of Apples ,一袋蘋果
name_50007_gaojipilaoyaoshui,一筐苹果,Basket of Apples ,一筐蘋果
name_50008_shuangbeijingyanyao,初级经验卷轴,Basic EXP Scroll,初級經驗卷軸
name_50009_sanbeijingyanyao,中级经验卷轴,Average EXP Scroll,中級經驗卷軸
name_70001_fangyuxingwuqi,永恒之盾,Eternal Shield,永恆之盾
name_70002_fangyuxinghujia,荣耀重甲,Glory Armor,榮耀重甲
name_70003_fangyuxingtoukui,荣耀头盔,Glory Helmet,榮耀頭盔
name_70004_fangyuxinghuwan,荣耀护手,Glory Gauntlet,榮耀護手
name_70005_fangyuxingjiezhi,荣耀战靴,Glory Treads,榮耀戰靴
name_70006_fangyuxingshipin,荣耀指环,Glory Ring,榮耀指環
name_70007_wulixingwuqi,破天之枪,Ruinate Spear,破天之槍
name_70008_wulixinghujia,断罪之甲,Crimson Armor,斷罪之甲
name_70009_wulixingtoukui,断罪头盔,Crimson Helmet,斷罪頭盔
name_70010_wulixinghuwan,断罪护手,Crimson Bracer,斷罪護手
name_70011_wulixingjiezhi,断罪战靴,Crimson Treads,斷罪戰靴
name_70012_wulixingshipin,断罪指环,Crimson Ring,斷罪指環
name_70013_fashuxingwuqi,死亡法杖,Death Wand,死亡法杖
name_70014_fashuxinghujia,混沌法袍,Chaos Armor,混沌法袍
name_70015_fashuxingtoukui,混沌假面,Chaos Mask,混沌假面
name_70016_fashuxinghuwan,混沌手套,Chaos Gloves,混沌手套
name_70017_fashuxingjiezhi,混沌之靴,Chaos Boots,混沌之靴
name_70018_fashuxingshipin,混沌指环,Chaos Ring,混沌指環
name_70019_zhiyuanxingwuqi,原生魔仗,Primal Wand,原生魔仗
name_70020_zhiyuanxinghujia,贤者法袍,Sage's Robe,賢者法袍
name_70021_zhiyuanxingtoukui,贤者之帽,Sage's Hat,賢者之帽
name_70022_zhiyuanxinghuwan,贤者手套,Sage's Gloves,賢者手套
name_70023_zhiyuanxingjiezhi,贤者之靴,Sage's Boots,賢者之靴
name_70024_zhiyuanxingshipin,贤者指环,Sage's Ring,賢者指環
name_101,武器,weapon,武器
name_102,护甲,armor,護甲
name_103,头盔,helmet,頭盔
name_104,护手,gauntlet,護手
name_105,鞋子,shoes,鞋子
name_106,戒指,ring,戒指
tips_10003_duihuanquan,扫荡副本的凭证,Voucher used to pass a stage battle.,掃蕩副本的憑證
tips_11001_chujizhuangbeiqianghuashi,用于低品质装备打造,For low-quality equipment to forge.,用於低品質裝備打造
tips_11002_zhongjizhuangbeiqianghuashi,用于中品质装备打造,For medium-quality equipment to forge.,用於中品質裝備打造
tips_11003_gaojizhuangbeiqianghuashi,用于高品质装备打造,For high-quality equipment to forge.,用於高品質裝備打造
tips_10005_zhuangbeijinjieshi,装备强化打造的材料，通过每个章节<color=#FFCC00>（除第一章）普通难度的第四个和第八个本产出</color>,"Equipment strengthening material, rewarded via <color=#FFCC00>Story mode stage 4 or stage 8 of each chapters (except for 1st chapter)</color>.",裝備強化打造的材料，通過每個章節<color=#FFCC00>（除第一章）普通難度的第四個和第八個本產出</color>
tips_10007_baoshikaikongcailiao,纹章开孔道具,Use to open Insignia slots,紋章開孔道具
tips_10009_baoxiangyaoshi1,可以用来开启[木质宝箱],Used to open a Deadwood Chest.,可以用來開啟[木質寶箱]
tips_10010_baoxiangyaoshi2,可以用来开启[白银宝箱],Used to open a Gleaming Chest.,可以用來開啟[白銀寶箱]
tips_10011_baoxiangyaoshi3,可以用来开启[黄金宝箱],Used to open a Golden Strongbox.,可以用來開啟[黃金寶箱]
tips_10012_baoxiangyaoshi4,开启黄金宝箱所需要的钥匙,The key to open the Gold Treasurecase,開啟黃金寶箱所需要的鑰匙
tips_10016_chongwuqianghuashi,宠物进阶材料，通过每个章节<color=#FFCC00>挑战难度任意副本（除第四个和第八个）产出</color>,"Monster advancement material, rewarded via <color=#FFCC00>Story mode(Heroic) all stages (except for stage 4 and stage 8)</color>.",寵物進階材料，通過每個章節<color=#FFCC00>挑戰難度任意副本（除第四個和第八個）產出</color>
tips_10017_chongwujinjieshi,宠物进阶材料，通过每个章节<color=#FFCC00>挑战难度的第四个和第八个本产出</color>,"Monster advancement material, rewarded via <color=#FFCC00>Story mode(Heroic) stage 4 or stage 8</color>.",寵物進階材料，通過每個章節<color=#FFCC00>挑戰難度的第四個和第八個本產出</color>
tips_10021_gongpin,天使的羽翼，光明的气息，可交给公会完成任务,"A feather from an Angel, bright and radiant. You can turn it in to the Guild to complete a quest.",天使的羽翼，光明的氣息，可交給公會完成任務
tips_10022_gongpin,恶魔的羽翼，黑暗的气息，可交给公会完成任务,"A feather from an Demon, dark and mysterious. You can turn it in to the Guild to complete a quest.",惡魔的羽翼，黑暗的氣息，可交給公會完成任務
tips_10023_gongpin,精灵的羽翼，自然的气息，可交给公会完成任务,"A feather from an Fairy, natural and light. You can turn it in to the Guild to complete a quest.",精靈的羽翼，自然的氣息，可交給公會完成任務
tips_20001_suipian_common,传说中的灵魂本源，可以替代宠物碎片进行合成,"The legendary Lore Cores, can be used instead of monster fragments for crafting",傳說中的靈魂本源，可以替代寵物碎片進行合成
tips_20002_suipian_xiaochou3,用于合成小丑（水）,To craft Joker(Water),用於合成小丑（水）
tips_20003_suipian_kairuisi4,用于合成凯瑞斯（火）,To craft Keres(Fire),用於合成凱瑞斯（火）
tips_20004_suipian_hetong2,用于合成河童（木）,To craft Kappa(Grass),用於合成河童（木）
tips_20005_suipian_wagui3,用于合成哇鬼（水）,To craft Phase Frog(Water),用於合成哇鬼（水）
tips_20006_suipian_xiaochou4,用于合成小丑（火）,To craft Joker(Fire),用於合成小丑（火）
tips_20007_suipian_cike4,用于合成火刺壳（火）,To craft Fireshell(Fire),用於合成火刺殼（火）
tips_20008_suipian_panshen2,用于合成潘神（木）,To craft Pans(Grass),用於合成潘神（木）
tips_20009_suipian_huapo2,用于合成花魄（木）,To craft Flower Pixie(Grass),用於合成花魄（木）
tips_20010_suipian_wushi3,用于合成舞狮（水）,To craft Dancing Lion(Water),用於合成舞獅（水）
tips_20011_suipian_wushi4,用于合成舞狮（火）,To craft Dancing Lion(Fire),用於合成舞獅（火）
tips_20012_suipian_xiyiren4,用于合成蜥蜴人（火）,To craft Lizardman(Fire),用於合成蜥蜴人（火）
tips_20013_suipian_mantuoluo2,用于合成曼陀罗（木）,To craft Mandrake(Grass),用於合成曼陀羅（木）
tips_20014_suipian_hetong3,用于合成河童（水）,To craft Kappa(Water),用於合成河童（水）
tips_20015_suipian_longgongtongzi3,用于合成龙宫童子（水）,To craft Ryuku Doji(Water),用於合成龍宮童子（水）
tips_20016_suipian_xiyiren2,用于合成蜥蜴人（木）,To craft Lizardman(Grass),用於合成蜥蜴人（木）
tips_20017_suipian_langren5,用于合成狼人（暗）,To craft Werewolf(Dark),用於合成狼人（暗）
tips_20018_suipian_langren3,用于合成狼人（水）,To craft Werewolf(Water),用於合成狼人（水）
tips_20019_suipian_shuigui3,用于合成幽灵船长（水）,To craft Soul Pirate(Water),用於合成幽靈船長（水）
tips_20020_suipian_nvyao5,用于合成报丧女妖（暗）,To craft Banshee(Dark),用於合成報喪女妖（暗）
tips_20021_suipian_hapi1,用于合成哈皮（光）,To craft Harpy(Light),用於合成哈皮（光）
tips_20022_suipian_piying5,用于合成皮影（暗）,To craft Shadow Puppet(Dark),用於合成皮影（暗）
tips_20023_suipian_kairuisi5,用于合成凯瑞斯（暗）,To craft Keres(Dark),用於合成凱瑞斯（暗）
tips_20024_suipian_bingxuenvwang3,用于合成冰雪女王（水）,To craft Chione(Water),用於合成冰雪女王（水）
tips_20025_suipian_wendige3,用于合成温迪戈（水）,To craft Wendigo(Water),用於合成溫蒂戈（水）
tips_20026_suipian_wendige2,用于合成温迪戈（木）,To craft Wendigo(Grass),用於合成溫蒂戈（木）
tips_20027_suipian_longnv3,用于合成龙女（水）,To craft Dragon Girl(Water),用於合成龍女（水）
tips_20028_suipian_momo1,用于合成得莫非（光）,To craft Demovoy(Light),用於合成得莫非（光）
tips_20029_suipian_amute3,用于合成鳄鱼判官（水）,To craft Croc Warden(Water),用於合成鱷魚判官（水）
tips_20030_suipian_luoxinfu5,用于合成络新妇（暗）,To craft Nephila(Dark),用於合成絡新婦（暗）
tips_20031_suipian_saibulesi5,用于合成地狱犬（暗）,To craft Hellhound(Dark),用於合成地獄犬（暗）
tips_20032_suipian_hongniu4,用于合成米诺到诺斯（火）,To craft Minotaur(Fire),用於合成米諾到諾斯（火）
tips_20033_suipian_anpusha5,用于合成安普沙（暗）,To craft Empusa(Dark),用於合成安普沙（暗）
tips_20034_suipian_daochengsizhong4,用于合成道成寺妖（火）,To craft Maiden Dojoji(Fire),用於合成道成寺妖（火）
tips_20035_suipian_huoniao4,用于合成火鸟（火）,To craft Firebird(Fire),用於合成火鳥（火）
tips_20036_suipian_ifrit4,用于合成伊芙利特（火）,To craft Ifrit(Fire),用於合成伊芙利特（火）
tips_20037_suipian_moguguai4,用于合成蘑菇怪（火）,To craft Matango(Fire),用於合成蘑菇怪（火）
tips_20038_suipian_tianshizhang4,用于合成天使长（火）,To craft Archangel(Fire),用於合成天使長（火）
tips_20039_suipian_xiaochou2,用于合成小丑（木）,To craft Joker(Grass),用於合成小丑（木）
tips_20040_suipian_saibulesi4,用于合成地狱犬（火）,To craft Hellhound(Fire),用於合成地獄犬（火）
tips_20041_suipian_moguguai3,用于合成蘑菇怪（水）,To craft Matango(Fire),用於合成蘑菇怪（水）
tips_20042_suipian_sheshouzuo1,用于合成星空射手（光）,To craft Astro Archer(Light),用於合成星空射手（光）
tips_20043_suipian_weitianshi5,用于合成伪天使（暗）,To craft Fallen Angel(Dark),用於合成偽天使（暗）
tips_20044_suipian_sheshouzuo3,用于合成星空射手（水）,To craft Astro Archer(Water),用於合成星空射手（水）
tips_20045_suipian_bingyan3,用于合成史莱姆（水）,To craft Slime(Water),用於合成史萊姆（水）
tips_20046_suipian_mengyan5,用于合成梦魇（暗）,To craft Bangungot(Dark),用於合成夢魘（暗）
tips_20047_suipian_change1,用于合成嫦娥（光）,To craft Moon Devine(Light),用於合成嫦娥（光）
tips_20048_suipian_dujiaoshou1,用于合成独角兽（光）,To craft Pegasus(Light),用於合成獨角獸（光）
