#TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,TEXT,NUM,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,NUM,TEXT,TEXT,NUM,NUM,TEXT,TEXT,NUM,Text,TEXT,TEXT,NUM
id,assetID,uiAsset,nickName,type,rarity,isEvolutionable,evolutionID,property,levelUpExpRate,healthModifyRate,strengthModifyRate,intelligenceModifyRate,speedModifyRate,defenseModifyRate,enduranceModifyRate,recoveryRate,equip,spellIDList,weakpointList,friendship,disposition,closeUp,fragmentId,fragmentCount,say,monsterfounds,background,black
bosskongdao71Weitianshi1,bosskongdao71Weitianshi1@moxing,icon_xgWeitianshi_bai,xgWeitianshi,1,6,0,null,1,1,25,3,3,1.5,1.5,1,1,2,"[""bosskongdao71Weitianshi11"",""bosskongdao71Weitianshi12"",""bosskongdao71Weitianshi13"",""bosskongdao71Weitianshi14"",""bosskongdao71Weitianshi15"",""lazy"",""defend""]","[""bosskongdao71Weitianshi1wp01"",""bosskongdao71Weitianshi1wp02"",""bosskongdao71Weitianshi1wp03"",""bosskongdao71Weitianshi1wp04""]",156,1,txWeitianshi,,-1,bosskongdao71Weitianshi1tips,"2_1,2_2,3_1",xgHuapo2,0
bosskongdao72Nvyao1,bosskongdao72Nvyao1@moxing,icon_xgNvyao_bai,xgNvyao,1,6,0,null,1,1,30,2.4,2.4,2,1.6,1,1,2,"[""bosskongdao72Nvyao11"",""bosskongdao72Nvyao12"",""bosskongdao72Nvyao13"",""bosskongdao72Nvyao14"",""bosskongdao72Nvyao15"",""lazy"",""defend""]","[""bosskongdao72Nvyao1wp01"",""bosskongdao72Nvyao1wp02"",""bosskongdao72Nvyao1wp03"",""bosskongdao72Nvyao1wp04"",""bosskongdao72Nvyao1wp05""]",180,1,txNvyao,,-1,bosskongdao72Nvyao1tips,"2_1,2_2,3_1",bossdajie12Mantuoluo2,0
bosskongdao73Luoxinfu1,bosskongdao73Luoxinfu1@moxing,icon_xgLuoxinfu_bai,xgLuoxinfu,1,6,0,null,1,1,35,2.75,2.75,1.8,1.5,1,1,4,"[""bosskongdao73Luoxinfu11"",""bosskongdao73Luoxinfu12"",""bosskongdao73Luoxinfu13"",""bosskongdao73Luoxinfu14"",""bosskongdao73Luoxinfu15"",""bosskongdao73Luoxinfu16"",""bosskongdao73Luoxinfu17"",""lazy"",""defend""]","[""bosskongdao73Luoxinfu1wp01"",""bosskongdao73Luoxinfu1wp02"",""bosskongdao73Luoxinfu1wp03"",""bosskongdao73Luoxinfu1wp04"",""bosskongdao73Luoxinfu1wp05"",""bosskongdao73Luoxinfu1wp06"",""bosskongdao73Luoxinfu1wp07""]",71,2,txMuling2,,-1,bosskongdao73Luoxinfu1tips,"2_1,2_2,3_1",bossdajie15Langren3,0
bosskongdao74Piying1,bosskongdao74Piying1@moxing,icon_xgPiying_bai,xgPiying,3,6,0,null,1,1,30,4,4,2.14,1.5,1,1,4,"[""bosskongdao74Piying11"",""bosskongdao74Piying12"",""bosskongdao74Piying13"",""bosskongdao74Piying14"",""lazy"",""defend""]","[""bosskongdao74Piying1wp01"",""bosskongdao74Piying1wp02"",""bosskongdao74Piying1wp03"",""bosskongdao74Piying1wp04""]",96,2,txPiying5,,-1,bosskongdao74Piying1tips,"2_1,2_2,3_1",xgPiying5,0
bosskongdao75Sheshou1,bosskongdao75Sheshou1@moxing,icon_xgSheshouzuo_bai,xgSheshouzuo,1,6,0,null,1,1,30,4,4,2,1.5,1,1,2,"[""bosskongdao75Sheshou11"",""bosskongdao75Sheshou12"",""bosskongdao75Sheshou13"",""bosskongdao75Sheshou14"",""bosskongdao75Sheshou15"",""lazy"",""defend""]","[""bosskongdao75Sheshou1wp01"",""bosskongdao75Sheshou1wp02"",""bosskongdao75Sheshou1wp03""]",144,1,txSheshouzuo,,-1,bosskongdao75Sheshou1tips,"2_1,2_2,3_1",bossdajie13Cike4,0
bosskongdao76Yifanmumian1,bosskongdao76Yifanmumian1@moxing,icon_xgYifanmumian_bai,xgYifanmumian1,1,6,0,null,1,1,30,3,3,1.8,1.2,1,1,2,"[""bosskongdao76Yifanmumian11"",""bosskongdao76Yifanmumian12"",""bosskongdao76Yifanmumian13"",""bosskongdao76Yifanmumian14"",""bosskongdao76Yifanmumian15"",""bosskongdao76Yifanmumian16"",""bosskongdao76Yifanmumian17"",""bosskongdao76Yifanmumian18"",""bosskongdao76Yifanmumian19"",""bosskongdao76Yifanmumian110"",""bosskongdao76Yifanmumian111"",""lazy"",""defend""]","[""bosskongdao76Yifanmumian1wp01"",""bosskongdao76Yifanmumian1wp02"",""bosskongdao76Yifanmumian1wp03"",""bosskongdao76Yifanmumian1wp04""]",145,1,txSheshouzuo,,-1,bosskongdao76Yifanmumian1tips,"2_1,2_2,3_1",bossdajie15Langren3,0
bosskongdao77Longnv1,bosskongdao77Longnv1@moxing,icon_xgLongnv_bai,xgLongnv,5,6,0,null,1,1,40,3,3.85,1.6,1.5,1,1,4,"[""bosskongdao77Longnv11"",""bosskongdao77Longnv12"",""bosskongdao77Longnv13"",""bosskongdao77Longnv14"",""bosskongdao77Longnv15"",""lazy"",""defend""]","[""bosskongdao77Longnv1wp01"",""bosskongdao77Longnv1wp02"",""bosskongdao77Longnv1wp03"",""bosskongdao77Longnv1wp04""]",69,1,txMuling2,,-1,bosskongdao77Longnv1tips,"2_1,2_2,3_1",bossdajie12Mantuoluo2,0
bosskongdao78Jinglingwang1,bosskongdao78Jinglingwang1@moxing,icon_xgJinglingwang_bai,xgJinglingwang2,2,6,0,null,1,1,30,3,4.5,1.5,1.5,1,1,4,"[""bosskongdao78Jinglingwang11"",""bosskongdao78Jinglingwang12"",""bosskongdao78Jinglingwang13"",""bosskongdao78Jinglingwang14"",""bosskongdao78Jinglingwang15"",""bosskongdao78Jinglingwang16"",""bosskongdao78Jinglingwang17"",""bosskongdao78Jinglingwang18"",""lazy"",""defend""]","[""bosskongdao78Jinglingwang1wp01"",""bosskongdao78Jinglingwang1wp02"",""bosskongdao78Jinglingwang1wp03"",""bosskongdao78Jinglingwang1wp04"",""bosskongdao78Jinglingwang1wp05"",""bosskongdao78Jinglingwang1wp06""]",27,3,txKairuisi5,,-1,bosskongdao78Jinglingwang1tips,"2_1,2_2,3_1",bosskongdao78Jinglingwang1,0
bossrenjie81Huapo2awaken,bossrenjie81Huapo2awaken@moxing,icon_xgHuapo_lv_awaken,xgHuapo,4,6,0,null,2,1,35,4,2.5,2,1.5,1,1,1,"[""bossrenjie81Huapo2awaken1"",""bossrenjie81Huapo2awaken2"",""bossrenjie81Huapo2awaken3"",""bossrenjie81Huapo2awaken4"",""bossrenjie81Huapo2awaken5"",""bossrenjie81Huapo2awaken6"",""bossrenjie81Huapo2awaken7"",""lazy"",""defend""]","[""bossrenjie81Huapo2awakenwp01"",""bossrenjie81Huapo2awakenwp02"",""bossrenjie81Huapo2awakenwp03"",""bossrenjie81Huapo2awakenwp04"",""bossrenjie81Huapo2awakenwp05"",""bossrenjie81Huapo2awakenwp06""]",99,1,txHuapo2,,-1,bossrenjie81Huapo2awakentips,"2_1,2_2,3_1",xgKahuna2,0
bossrenjie82Huoniao4awaken,bossrenjie82Huoniao4awaken@moxing,icon_xgHuoniao_hong_awaken,xgHuoniao,1,6,0,null,4,1,35,3.5,3.5,1.6,1.2,1,1,2,"[""bossrenjie82Huoniao4awaken1"",""bossrenjie82Huoniao4awaken2"",""bossrenjie82Huoniao4awaken3"",""bossrenjie82Huoniao4awaken6"",""bossrenjie82Huoniao4awaken7"",""bossrenjie82Huoniao4awaken10"",""lazy"",""defend""]","[""bossrenjie82Huoniao4awakenwp01"",""bossrenjie82Huoniao4awakenwp02"",""bossrenjie82Huoniao4awakenwp03"",""bossrenjie82Huoniao4awakenwp04"",""bossrenjie82Huoniao4awakenwp05"",""bossrenjie82Huoniao4awakenwp06""]",147,1,txHuoniao,,-1,bossrenjie82Huoniao4awakentips,"2_1,2_2,3_1",bossdajie17Huapo2,0
bossrenjie83Amute3awaken,bossrenjie83Amute3awaken@moxing,icon_xgAmute_lan_awaken,xgAmute,5,6,0,null,3,1,26,2.8,3.2,2,2,1,1,4,"[""bossrenjie83Amute3awaken1"",""bossrenjie83Amute3awaken2"",""bossrenjie83Amute3awaken3"",""bossrenjie83Amute3awaken4"",""bossrenjie83Amute3awaken5"",""bossrenjie83Amute3awaken6"",""lazy"",""defend""]","[""bossrenjie83Amute3awakenwp01"",""bossrenjie83Amute3awakenwp02"",""bossrenjie83Amute3awakenwp03""]",73,3,txMuling2,,-1,bossrenjie83Amute3awakentips,"2_1,2_2,3_1",bossdajie17Huapo2,0
bossrenjie84Anpusha5awaken,bossrenjie84Anpusha5awaken@moxing,icon_xgAnpusha_hei_awaken,xgAnpusha,1,6,0,null,5,1,26,2.5,4,2,1.1,1,1,2,"[""bossrenjie84Anpusha5awaken1"",""bossrenjie84Anpusha5awaken2"",""bossrenjie84Anpusha5awaken3"",""bossrenjie84Anpusha5awaken4"",""bossrenjie84Anpusha5awaken7"",""bossrenjie84Anpusha5awaken8"",""bossrenjie84Anpusha5awaken9"",""lazy"",""defend""]","[""bossrenjie84Anpusha5awakenwp01"",""bossrenjie84Anpusha5awakenwp02"",""bossrenjie84Anpusha5awakenwp03"",""bossrenjie84Anpusha5awakenwp04""]",152,1,txAnpusha,,-1,bossrenjie84Anpusha5awakentips,"2_1,2_2,3_1",xgWagui3,0
bossrenjie85Dujiaoshou1awaken,bossrenjie85Dujiaoshou1awaken@moxing,icon_xgDujiaoshou_bai_awaken,xgDujiaoshou,5,6,0,null,1,1,30,3,3,1.6,1.2,1,1,4,"[""bossrenjie85Dujiaoshou1awaken1"",""bossrenjie85Dujiaoshou1awaken2"",""bossrenjie85Dujiaoshou1awaken3"",""bossrenjie85Dujiaoshou1awaken4"",""bossrenjie85Dujiaoshou1awaken8"",""lazy"",""defend""]","[""bossrenjie85Dujiaoshou1awakenwp01"",""bossrenjie85Dujiaoshou1awakenwp05"",""bossrenjie85Dujiaoshou1awakenwp02"",""bossrenjie85Dujiaoshou1awakenwp03"",""bossrenjie85Dujiaoshou1awakenwp04""]",129,4,txDujiaoshou1,,-1,bossrenjie85Dujiaoshou1awakentips,"2_1,2_2,3_1",xgShuigui3,0
bossrenjie86Landuo2,bossrenjie86Landuo2@moxing,icon_xgLanduo_lv,bossrenjie86Mameng4,5,6,0,null,2,1,30,2.5,2.5,1.6,1.2,1,1,4,"[""bossrenjie86Landuo21"",""bossrenjie86Landuo22"",""bossrenjie86Landuo23"",""bossrenjie86Landuo24"",""bossrenjie86Landuo25"",""bossrenjie86Landuo26"",""bossrenjie86Landuo27"",""bossrenjie86Landuo28"",""bossrenjie86Landuo29"",""lazy"",""defend""]","[""bossrenjie86Landuo2wp01"",""bossrenjie86Landuo2wp02"",""bossrenjie86Landuo2wp03"",""bossrenjie86Landuo2wp04"",""bossrenjie86Landuo2wp05""]",130,4,txDujiaoshou1,,-1,bossrenjie86Landuo2tips,"2_1,2_2,3_1",xgNvyao5,0
bossrenjie87Baonu4,bossrenjie87Baonu4@moxing,icon_xgBaonu_hong,bossrenjie87Beiergefu5,5,6,0,null,4,1,50,2.5,2.5,1.6,1.6,1,1,4,"[""bossrenjie87Baonu41"",""bossrenjie87Baonu42"",""bossrenjie87Baonu43"",""bossrenjie87Baonu44"",""bossrenjie87Baonu45"",""bossrenjie87Baonu46"",""bossrenjie87Baonu410"",""bossrenjie87Baonu411"",""lazy"",""defend""]","[""bossrenjie87Baonu4wp01"",""bossrenjie87Baonu4wp02"",""bossrenjie87Baonu4wp03"",""bossrenjie87Baonu4wp04"",""bossrenjie87Baonu4wp05"",""bossrenjie87Baonu4wp06"",""bossrenjie87Baonu4wp07"",""bossrenjie87Baonu4wp08"",""bossrenjie87Baonu4wp09"",""bossrenjie87Baonu4wp10""]",131,4,txDujiaoshou1,,-1,bossrenjie87Baonu4tips,"2_1,2_2,3_1",xgNvyao1,0
bossrenjie88Yafogemeng5,bossrenjie88Yafogemeng5@moxing,icon_xgYafogemeng_hei,bossrenjie88Yafogemeng5,5,6,0,null,5,1,30,4.5,4.5,1.6,1.2,1,1,4,"[""bossrenjie88Yafogemeng51"",""bossrenjie88Yafogemeng52"",""bossrenjie88Yafogemeng53"",""bossrenjie88Yafogemeng54"",""bossrenjie88Yafogemeng56"",""bossrenjie88Yafogemeng57"",""bossrenjie88Yafogemeng58"",""bossrenjie88Yafogemeng59"",""lazy"",""defend""]","[""bossrenjie88Yafogemeng5wp01"",""bossrenjie88Yafogemeng5wp02"",""bossrenjie88Yafogemeng5wp03"",""bossrenjie88Yafogemeng5wp04"",""bossrenjie88Yafogemeng5wp05"",""bossrenjie88Yafogemeng5wp06"",""bossrenjie88Yafogemeng5wp07"",""bossrenjie88Yafogemeng5wp08""]",132,4,txDujiaoshou1,,-1,bossrenjie88Yafogemeng5tips,"2_1,2_2,3_1",xgHapi1,0
xgxinshouJiuweihu4,xgJiuweihu4@moxing,icon_xgJiuweihu_hong,Jiuweihu,1,6,0,null,4,1,1.4,1,1,1,1,1,1,3,"[""xgxinshouJiuweihu41"",""ultxinshouJiuweihu42"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",136,2,txxinshouJiuweihu4,,-1,jiuweihutips,"2_1,2_2,3_1",xgKahuna2,0
bossxinshouBingxuenvwang3,bossxinshouBingxuenvwang3@moxing,icon_xgBingxuenvwang_lan,xgBingxuenvwang,5,6,0,null,3,1,1.2,1,1,1.1,1,1,1,3,"[""bossxinshouBingxuenvwang31"",""bossxinshouBingxuenvwang32"",""lazy"",""defend""]","[""bossxinshouBingxuenvwang3wp01"",""bossxinshouBingxuenvwang3wp02""]",137,2,txBingxuenvwang3,,-1,bingxuenvwangtips,"2_1,2_2,3_1",xgYifanmumian1,0
xgXiaochou3,xgXiaochou3@moxing,icon_xgXiaochou_lan,xgXiaochou,2,2,0,null,3,1,1.1,1,1,1,1,1,1,3,"[""ultXiaochou3"",""attackWaterSlight"",""magicWaterColumnStrong"",""psvXiaochou3"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",1,2,txXiaochou3,20002,50,xiaochoutips,"2_1,2_2,3_1",story_xiaochou,1
xgKairuisi4,xgKairuisi4@moxing,icon_xgKairuisi_hong,xgKairuisi,2,3,0,null,4,1,1.1,1.1,1.15,1,1.05,1,1,3,"[""ultKairuisi4"",""attackFireSlight"",""magicFireBallStrong"",""psvKairuisi4"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",2,2,txKairuisi4,20003,80,kairuisitips,"2_1,2_2,3_1",story_kairuisi,0
xgHetong2,xgHetong2@moxing,icon_xgHetong_lv,xgHetong,3,1,0,null,2,1,1,1,1,1,1.04,1,1,3,"[""ultHetong2"",""attackPlantSlight"",""magicPlantColumnStrong"",""psvHetong2"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",3,2,txHetong2,20004,30,hetongtips,"2_1,2_2,3_1",story_hetong,1
xgWagui3,xgWagui3@moxing,icon_xgWagui_lan,xgWagui,1,1,0,null,3,1,1.02,1.02,1.02,1.01,0.99,1,1,3,"[""ultWagui3"",""attackWaterSlight"",""magicWaterBallStrong"",""psvWagui3"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",4,2,txWagui3,20005,30,waguitips,"2_1,2_2,3_1",story_wagui,1
xgXiaochou4,xgXiaochou4@moxing,icon_xgXiaochou_hong,xgXiaochou,2,1,0,null,4,1,1.04,1,1,1,1,1,1,3,"[""ultXiaochou4"",""attackFireSlight"",""magicFireColumnStrong"",""psvXiaochou4"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",5,2,txXiaochou4,20006,30,xiaochoutips,"2_1,2_2,3_1",story_xiaochou,1
xgCike4,xgHuocike4@moxing,icon_xgHuocike_hong,xgCike,1,1,0,null,4,1,1.407,0.855,0.665,0.95,1.914,1,1.2,1,"[""ultCike4"",""attackFireStabMedium"",""magicFireBallMedium"",""buffDefense"",""psvCike4"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",6,6,txCike4,20007,30,ciketips,"2_1,2_2,3_1",story_huocike,1
xgPanshen2,xgPanshen2@moxing,icon_xgPanshen_lv,xgPanshen,5,2,0,null,2,1,1.05,1.22265,0.73815,1.01,1.08,1,1,2,"[""ultPanshen2"",""attackPlantSmashStrong"",""magicPlantSlight"",""debuffMagic"",""psvPanshen2"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",7,1,txPanshen2,20008,50,panshentips,"2_1,2_2,3_1",story_panshen,1
xgHuapo2,xgHuapo2@moxing,icon_xgHuapo_lv,xgHuapo,4,1,0,null,2,1,1,1.35135,0.777,1,1,1,1,2,"[""ultHuapo2"",""attackPlantStabStrong"",""magicPlantSlight"",""psvHuapo2"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",8,1,txHuapo2,20009,30,huapotips,"2_1,2_2,3_1",story_huapo,1
xgWushi3,xgWushi3@moxing,icon_xgWushi_lan,xgWushi,2,1,0,null,3,1,1,1.04,1.04,1,1,1,1,3,"[""ultWushi3"",""attackWaterSlight"",""magicWaterBallStrong"",""psvWushi3"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",9,2,txWushi3,20010,30,wusihtips,"2_1,2_2,3_1",story_wushi,1
xgWushi4,xgWushi4@moxing,icon_xgWushi_hong,xgWushi,2,2,0,null,4,1,1.3392,1,0.78,1.04,1.16,1,1,4,"[""ultWushi4"",""attackFireStabMedium"",""magicFireBallMedium"",""debuffAttack"",""psvWushi4"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",10,3,txWushi4,20011,50,wusihtips,"2_1,2_2,3_1",story_wushi,1
xgXiyiren4,xgXiyiren4@moxing,icon_xgXiyiren_hong,xgXiyiren,1,0,0,null,4,1,0.8,1.14543,0.3885,1,0.8,1,1,2,"[""ultXiyiren4"",""attackFireCutStrong"",""magicFireSlight"",""psvXiyiren4"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",11,1,txXiyiren4,20012,20,xiyirentips,"2_1,2_2,3_1",story_xiyiren,1
xgMantuoluo2,xgMantuoluo2@moxing,icon_xgMantuoluo_lv,xgMantuoluo,4,1,0,null,2,1,1.2896,1,0.78,1,1.16,1,1,4,"[""ultMantuoluo2"",""attackPlantCutMedium"",""magicCureMedium"",""psvMantuoluo2"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",12,5,txMantuoluo2,20013,30,mantuoluotips,"2_1,2_2,3_1",story_mantuoluo,1
xgHetong3,xgHetong3@moxing,icon_xgHetong_lan,xgHetong,3,2,0,null,3,1,1.3392,1,0.78,1,1.2064,1,1,4,"[""ultHetong3"",""attackWaterSmashMedium"",""magicWaterColumnMedium"",""buffMagic"",""psvHetong3"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",13,4,txHetong3,20014,50,hetongtips,"2_1,2_2,3_1",story_hetong,1
xgLonggongtongzi3,xgLonggongtongzi3@moxing,icon_xgLonggongtongzi_lan,xgLonggongtongzi,2,2,0,null,3,1,1.302,1,0.819,1.005,1.1832,1,1,4,"[""ultLonggongtongzi3"",""attackWaterStabMedium"",""magicCureMedium"",""psvLonggongtongzi3"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",14,5,txLonggongtongzi3,20015,50,longgongtongzitips,"2_1,2_2,3_1",story_longgongtongzi,1
xgXiyiren2,xgXiyiren2@moxing,icon_xgXiyiren_lv,xgXiyiren,1,0,0,null,2,1,1.34,0.585,0.455,0.8,1.74,1,1.1,1,"[""ultXiyiren2"",""attackPlantCutMedium"",""magicPlantBallMedium"",""psvXiyiren2"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",15,6,txXiyiren2,20016,20,xiyirentips,"2_1,2_2,3_1",story_xiyiren,1
xgLangren5,xgLangren5@moxing,icon_xgLangren_hei,xgLangren,1,2,0,null,5,1,1.05,1.4157,0.777,1,0.99,1,1,2,"[""ultLangren5"",""attackEarthCutStrong"",""magicEarthSlight"",""psvLangren5"",""phydazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",16,1,txLangren5,20017,50,langrentips,"2_1,2_2,3_1",story_langren,1
xgLangren3,xgLangren3@moxing,icon_xgLangren_lan,xgLangren,1,0,0,null,3,1,1.34,0.585,0.455,0.8,1.74,1,1.1,1,"[""ultLangren3"",""attackWaterCutMedium"",""magicWaterBallMedium"",""psvLangren3"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",17,6,txLangren3,20018,20,langrentips,"2_1,2_2,3_1",story_langren,1
xgShuigui3,xgShuigui3@moxing,icon_xgShuigui_lan,xgShuigui,2,2,0,null,3,1,1.2772,1,0.78,1.05,1.218,1,1,4,"[""ultShuigui3"",""attackWaterStabMedium"",""magicWaterColumnMedium"",""debuffMagic"",""psvShuigui3"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",18,3,txShuigui3,20019,50,shuiguitips,"2_1,2_2,3_1",story_youlingchuanzhang,0
xgNvyao5,xgNvyao5@moxing,icon_xgNvyao_hei,xgNvyao,2,2,0,null,5,1,0.98,1,1.2,1,1,1,1,3,"[""ultNvyao5"",""attackEarthSlight"",""magicEarthBallStrong"",""psvNvyao5"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",19,2,txNvyao5,20020,50,nvyaotips,"2_1,2_2,3_1",story_baosangnvyao,0
xgHapi1,xgHapi1@moxing,icon_xgHapi_bai,xgHapi,1,1,0,null,1,1,1.2152,1.01,0.8034,1.04,1.16,1,1,4,"[""ultHapi1"",""attackMetalStabMedium"",""magicMetalBallMedium"",""buffHot"",""psvHapi1"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",21,4,txHapi1,20021,30,hapitips,"2_1,2_2,3_1",story_hapi,1
xgPiying5,xgPiying5@moxing,icon_xgPiying_hei,xgPiying,3,2,0,null,5,1,1.02,1,1.1,1,1,1,1,3,"[""ultPiying5"",""attackEarthSlight"",""magicEarthBallStrong"",""psvPiying5"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",22,2,txPiying5,20022,50,piyingtips,"2_1,2_2,3_1",story_piying,1
xgKairuisi5,xgKairuisi5@moxing,icon_xgKairuisi_hei,xgKairuisi,2,2,0,null,5,1,1.24,1.05,0.819,1.05,1.16,1,1,4,"[""ultKairuisi5"",""attackEarthCutMedium"",""magicEarthBallMedium"",""debuffDefense"",""psvKairuisi5"",""magicdazhaoPrepare"",""lazy"",""defend""]","[""xgwp""]",24,3,txKairuisi5,20023,50,kairuisitips,"2_1,2_2,3_1",story_kairuisi,1
