#NUM,TEXT
id,monsterlist
37,xgMengyan5_xgPiying5_xgNvyao5_xgLuoxinfu1_xgSheshouzuo1
38,xgHetong2_xgHuapo2_xgKairuisi4_xgIfrit4_xgWendige3
39,xgWushi3_xgIfrit4_xgXiaochou4_xgHuoniao4_xgHuoniao3
40,xgLangren5_xgPiying5_xgNvyao5_xgAnpusha5_xgKairuisi5
41,xgXiaochou3_xgWendige3_xgWagui3_xgShuigui3_xgSheshouzuo3
42,xgPiying1_xgSheshouzuo1_xgLuoxinfu1_xgLongnv1_xgHapi1
43,xgIfrit4_xgDaochengsizhong4_xgSaibulesi4_xgHuoniao4_xgWushi4
44,xgAmute3_xgChange5_xgPiying5_xgAnpusha5_xgTianshizhang4
45,xgHongniu4_xgDatiangou4_xgKairuisi4_xgHuoniao4_xgTianshizhang4
46,xgBingyan3_xgBingxuenvwang3_xgWagui3_xgHuoniao3_xgLonggongtongzi3
47,xgKahuna2_xgJinglingwang2_xgPanshen2_xgSheshouzuo3_xgMantuoluo2
48,xgKahuna2_xgJinglingwang2_xgXiaochou2_xgSheshouzuo3_xgMantuoluo2
49,xgBingyan3_xgBingxuenvwang3_xgJinglingwang2_xgHuoniao3_xgLonggongtongzi3
50,xgAmute3_xgChange1_xgIfrit5_xgAnpusha5_xgTianshizhang4
51,xgAmute3_xgChange5_xgIfrit5_xgAnpusha5_xgTianshizhang4
52,xgChange5_xgDatiangou4_xgTianshizhang1_xgSheshouzuo3_xgShuigui3
53,xgChange5_xgIfrit5_xgWeitianshi5_xgDujiaoshou5_xgKairuisi5
54,xgChange5_xgIfrit5_xgWeitianshi5_xgDujiaoshou5_xgKairuisi5
55,xgPiying5_xgLuoxinfu5_xgWeitianshi5_xgDujiaoshou5_xgKairuisi5
56,xgBingyan3_xgHongniu4_xgKahuna2_xgWeitianshi5_xgLongnv1
57,xgAmute3_xgChange1_xgWeitianshi5_xgWeitianshi1_xgTianshizhang4
58,xgAmute3_xgChange1_xgTianshizhang1_xgWeitianshi1_xgTianshizhang4
59,xgAmute3_xgChange5_xgWeitianshi5_xgWeitianshi1_xgTianshizhang4
60,xgAmute3_xgChange5_xgTianshizhang1_xgWeitianshi1_xgTianshizhang4
61,xgYifanmumian1_xgChange1_xgWeitianshi5_xgWeitianshi1_xgTianshizhang4
62,xgYifanmumian1_xgChange1_xgTianshizhang1_xgWeitianshi1_xgTianshizhang4
63,xgYifanmumian1_xgChange1_xgTianshizhang1_xgWeitianshi1_xgMomo1
64,xgAmute3_xgChange1_xgTianshizhang1_xgDujiaoshou1_xgTianshizhang4
65,xgAmute3_xgChange1_xgTianshizhang1_xgDujiaoshou5_xgTianshizhang4
66,xgYifanmumian1_xgChange1_xgDujiaoshou1_xgWeitianshi1_xgMomo1
