#TEXT,TEXT,TEXT,TEXT,NUM,TEXT,TEXT,TEXT,TEXT
id,preStartEvent,startEvent,endStartEvent,appearType,winFunc,loseFunc,endEvent,monsterList
huoshan13Boss1,,,,0,,,,"{""bosshuoshan43Huoniao4"":""1""}"
huoshan14Level1,speech_blt_44,,,0,,,,"{""xgDaochengsizhong4"":""4""}"
huoshan14Level2,,,,0,,,,"{""xgMomo1"":""2""}"
huoshan14Boss1,speech_blt_44_03,,,0,,,speech_blt_44_end,"{""bosshuoshan44Datiangou4"":""1""}"
huoshan15Level1,speech_blt_45,,,0,,,,"{""xgSaibulesi5"":""4""}"
huoshan15Level2,,,,0,,,,"{""xgHongniu4"":""2""}"
huoshan15Boss1,,,,0,,,,"{""bosshuoshan45Saibulesi4"":""1""}"
huoshan16Level1,speech_blt_46,,,0,,,,"{""xgHuoniao4"":""4""}"
huoshan16Level2,,,,0,,,,"{""xgHapi1"":""2""}"
huoshan16Boss1,,,,0,,,,"{""bosshuoshan46Tianshizhang4"":""1""}"
huoshan17Level1,speech_blt_47,,,0,,,,"{""xgTianshizhang4"":""4""}"
huoshan17Level2,,,,0,,,,"{""xgAnpusha5"":""2""}"
huoshan17Boss1,,,,0,,,,"{""bosshuoshan47Ifrit4"":""1""}"
huoshan18Level1,speech_blt_48,,,0,,,,"{""xgSaibulesi4"":""4""}"
huoshan18Level2,,,,0,,,,"{""xgIfrit4"":""2""}"
huoshan18Boss1,speech_blt_48_03,,,0,,,,"{""bosshuoshan48Hehuaisituosi4"":""1""}"
xueshan11Level1,speech_blt_51,,,0,,,,"{""xgWagui3"":""4""}"
xueshan11Level2,,,,0,,,,"{""xgLonggongtongzi3"":""2""}"
xueshan11Boss1,speech_blt_51_03,,,0,,,,"{""bosschaoxue51Langren5"":""1""}"
xueshan12Level1,speech_blt_52,,,0,,,,"{""xgLuoxinfu5"":""4""}"
xueshan12Level2,,,,0,,,,"{""xgLangren3"":""2""}"
xueshan12Boss1,speech_blt_52_03,,,0,,,,"{""bosschaoxue52Yifanmumian3"":""1""}"
xueshan13Level1,,,,0,,,,"{""xgMoguguai3"":""4""}"
xueshan13Level2,,,,0,,,,"{""xgShuigui3"":""2""}"
xueshan13Boss1,,,,0,,,,"{""bosschaoxue53Xiaochou3"":""1""}"
xueshan14Level1,speech_blt_54,,,0,,,,"{""xgWendige3"":""4""}"
xueshan14Level2,,,,0,,,,"{""xgXiaochou3"":""2""}"
xueshan14Boss1,speech_blt_54_03,,,0,,,speech_blt_54_end,"{""bosschaoxue54Bingyan3"":""1""}"
xueshan15Level1,speech_blt_55,,,0,,,,"{""xgWushi3"":""4""}"
xueshan15Level2,,,,0,,,,"{""xgHetong3"":""2""}"
xueshan15Boss1,speech_blt_55_03,,,0,,,,"{""bosschaoxue55Sheshou3"":""1""}"
xueshan16Level1,,,,0,,,,"{""xgLangren5"":""4""}"
xueshan16Level2,,,,0,,,,"{""xgBingyan3"":""2""}"
xueshan16Boss1,speech_blt_56_03,,,0,,,,"{""bosschaoxue56Huoniao3"":""1""}"
xueshan17Level1,,,,0,,,,"{""xgMengyan5"":""4""}"
xueshan17Level2,,,,0,,,,"{""xgAmute3"":""2""}"
xueshan17Boss1,speech_blt_57_03,,,0,,,,"{""bosschaoxue57Wendige3"":""1""}"
xueshan18Level1,speech_blt_58,,,0,,,,"{""xgSheshouzuo3"":""4""}"
xueshan18Level2,,,,0,,,,"{""xgLongnv3"":""2""}"
xueshan18Boss1,speech_blt_58_03,,,0,,,speech_blt_58_end,"{""bosschaoxue58Yimier3"":""1""}"
minghe11Level1,speech_blt_61,,,0,,,,"{""xgMengyan5"":""4""}"
minghe11Level2,,,,0,,,,"{""xgHuoniao3"":""2""}"
minghe11Boss1,speech_blt_61_03,,,0,,,,"{""bossminghe61Dujiaoshou5"":""1""}"
minghe12Level1,speech_blt_62,,,0,,,,"{""xgLangren5"":""4""}"
minghe12Level2,,,,0,,,,"{""xgAmute3"":""2""}"
minghe12Boss1,speech_blt_62_03,,,0,,,,"{""bossminghe62Anpusha5"":""1""}"
minghe13Level1,,,,0,,,,"{""xgLuoxinfu5"":""4""}"
minghe13Level2,,,,0,,,,"{""xgKairuisi5"":""2""}"
minghe13Boss1,speech_blt_63_03,,,0,,,,"{""bossminghe63Ifrit5"":""1""}"
minghe14Level1,speech_blt_64,,,0,,,,"{""xgIfrit5"":""4""}"
minghe14Level2,,,,0,,,,"{""xgDujiaoshou5"":""2""}"
minghe14Boss1,speech_blt_64_03,,,0,,,,"{""bossminghe64Nvyao5"":""1""}"
minghe15Level1,,,,0,,,,"{""xgPanshen2"":""4""}"
minghe15Level2,,,,0,,,,"{""xgAnpusha5"":""2""}"
minghe15Boss1,speech_blt_65_03,,,0,,,,"{""bossminghe65Weitianshi5"":""1""}"
minghe16Level1,,,,0,,,,"{""xgNvyao5"":""4""}"
minghe16Level2,,,,0,,,,"{""xgWeitianshi5"":""2""}"
minghe16Boss1,speech_blt_66_03,,,0,,,,"{""bossminghe66Saibulesi5"":""1""}"
minghe17Level1,,,,0,,,,"{""xgSaibulesi5"":""4""}"
minghe17Level2,,,,0,,,,"{""xgBingyan3"":""2""}"
minghe17Boss1,speech_blt_67_03,,,0,,,speech_blt_67_end,"{""bossminghe67Change5"":""1""}"
minghe18Level1,,,,0,,,,"{""xgChange5"":""4""}"
minghe18Level2,,,,0,,,,"{""xgPiying5"":""2""}"
minghe18Boss1,speech_blt_68_03,,,0,,,speech_blt_68_03_end,"{""bossminghe68Karong5"":""1""}"
kongdao11Level1,speech_blt_71_01,,,0,,,,"{""xgWeitianshi1"":""4""}"
kongdao11Level2,,,,0,,,,"{""xgMomo1"":""2""}"
kongdao11Boss1,,,,0,,,,"{""bosskongdao71Weitianshi1"":""1""}"
kongdao12Level1,speech_blt_72_01,,,0,,,,"{""xgSheshouzuo1"":""4""}"
kongdao12Level2,,,,0,,,,"{""xgHapi1"":""2""}"
kongdao12Boss1,,,,0,,,,"{""bosskongdao72Nvyao1"":""1""}"
kongdao13Level1,,,,0,,,,"{""xgSheshouzuo3"":""4""}"
kongdao13Level2,,,,0,,,,"{""xgHuoniao3"":""2""}"
kongdao13Boss1,,,,0,,,,"{""bosskongdao73Luoxinfu1"":""1""}"
kongdao14Level1,speech_blt_74_01,,,0,,,,"{""xgBingxuenvwang3"":""4""}"
kongdao14Level2,,,,0,,,,"{""xgLongnv1"":""2""}"
kongdao14Boss1,,,,0,,,,"{""bosskongdao74Piying1"":""1""}"
kongdao15Level1,speech_blt_75_01,,,0,,,,"{""xgLuoxinfu1"":""4""}"
kongdao15Level2,,,,0,,,,"{""xgAnpusha5"":""2""}"
kongdao15Boss1,,,,0,,,,"{""bosskongdao75Sheshou1"":""1""}"
kongdao16Level1,,,,0,,,,"{""xgNvyao1"":""4""}"
kongdao16Level2,,,,0,,,,"{""xgIfrit4"":""2""}"
kongdao16Boss1,,,,0,,,,"{""bosskongdao76Yifanmumian1"":""1""}"
kongdao17Level1,speech_blt_77_01,,,0,,,,"{""xgPiying1"":""4""}"
kongdao17Level2,,,,0,,,,"{""xgDujiaoshou1"":""2""}"
kongdao17Boss1,,,,0,,,,"{""bosskongdao77Longnv1"":""1""}"
kongdao18Level1,speech_blt_78_01,,,0,,,,"{""xgChange1"":""4""}"
kongdao18Level2,,,,0,,,,"{""xgYifanmumian1"":""2""}"
kongdao18Boss1,speech_blt_78_03,,,0,,,speech_blt_78_03end,"{""bosskongdao78Jinglingwang1"":""1""}"
renjie11Level1,speech_blt_81_01,,,0,,,,"{""xgJinglingwang2"":""4""}"
renjie11Level2,,,,0,,,,"{""xgKahuna2"":""2""}"
renjie11Boss1,,,,0,,,speech_blt_81_03,"{""bossrenjie81Huapo2awaken"":""1""}"
renjie12Level1,,,,0,,,,"{""xgDaochengsizhong4"":""4""}"
renjie12Level2,,,,0,,,,"{""xgHongniu4"":""2""}"
renjie12Boss1,,,,0,,,speech_blt_82_03,"{""bossrenjie82Huoniao4awaken"":""1""}"
renjie13Level1,,,,0,,,,"{""xgBingxuenvwang3"":""4""}"
renjie13Level2,,,,0,,,,"{""xgAmute3"":""2""}"
renjie13Boss1,,,,0,,,,"{""bossrenjie83Amute3awaken"":""1""}"
renjie14Level1,,,,0,,,,"{""xgIfrit5"":""4""}"
renjie14Level2,,,,0,,,,"{""xgWeitianshi5"":""2""}"
renjie14Boss1,,,,0,,,speech_blt_84_03,"{""bossrenjie84Anpusha5awaken"":""1""}"
renjie15Level1,speech_blt_85_01,,,0,,,,"{""xgSheshouzuo1"":""4""}"
renjie15Level2,,,,0,,,,"{""xgWeitianshi1"":""2""}"
renjie15Boss1,,,,0,,,,"{""bossrenjie85Dujiaoshou1awaken"":""1""}"
renjie16Level1,,,,0,,,,"{""xgTianshizhang4"":""4""}"
renjie16Level2,,,,0,,,,"{""xgPanshen2"":""2""}"
renjie16Boss1,speech_blt_86_01,,,0,,,speech_blt_86_03,"{""bossrenjie86Landuo2"":""1""}"
renjie17Level1,,,,0,,,,"{""xgChange5"":""4""}"
renjie17Level2,,,,0,,,,"{""xgHuoniao4"":""2""}"
renjie17Boss1,speech_blt_87_01,,,0,,,,"{""bossrenjie87Baonu4"":""1""}"
renjie18Level1,speech_blt_88_01,,,0,,,,"{""xgDatiangou4"":""4""}"
renjie18Level2,speech_blt_88_02,,,0,,,,"{""xgTianshizhang1"":""2""}"
renjie18Boss1,speech_blt_88_03,,,0,,,speech_blt_88_03end,"{""bossrenjie88Yafogemeng5"":""1""}"
dajie21Level1,,,,0,,,,"{""xgMoguguai3"":""4""}"
dajie21Level2,,,,0,,,,"{""xgKairuisi4"":""2""}"
dajie21Boss1,,,,0,,,,"{""bossdajie17Huapo2"":""1""}"
dajie22Level1,,,,0,,,,"{""xgKairuisi4"":""4""}"
dajie22Level2,,,,0,,,,"{""xgHetong2"":""2""}"
dajie22Boss1,,,,0,,,,"{""bossdajie12Mantuoluo2"":""1""}"
dajie23Level1,,,,0,,,,"{""xgWagui3"":""4""}"
dajie23Level2,,,,0,,,,"{""xgMoguguai4"":""2""}"
dajie23Boss1,,,,0,,,,"{""bossdajie11Moguguai4"":""1""}"
dajie24Level1,,,,0,,,,"{""xgMoguguai4"":""4""}"
dajie24Level2,,,,0,,,,"{""xgHetong2"":""2""}"
dajie24Boss1,,,,0,,,,"{""bossdajie14Piying5"":""1""}"
dajie25Level1,,,,0,,,,"{""xgWagui3"":""4""}"
dajie25Level2,,,,0,,,,"{""xgCike4"":""2""}"
dajie25Boss1,,,,0,,,,"{""bossdajie15Langren3"":""1""}"
dajie26Level1,,,,0,,,,"{""xgHuapo2"":""4""}"
dajie26Level2,,,,0,,,,"{""xgPanshen2"":""2""}"
dajie26Boss1,,,,0,,,,"{""bossdajie16Zouyincao2"":""1""}"
dajie27Level1,,,,0,,,,"{""xgMoguguai3"":""4""}"
dajie27Level2,,,,0,,,,"{""xgWushi3"":""2""}"
dajie27Boss1,,,,0,,,,"{""bossdajie13Cike4"":""1""}"
dajie28Level1,,,,0,,,,"{""xgWushi4"":""4""}"
dajie28Level2,,,,0,,,,"{""xgHuapo2"":""2""}"
dajie28Boss1,,,,0,,,,"{""bossdajie18Ladong5"":""1""}"
xiaoxiang21Level1,,,,0,,,,"{""xgXiyiren4"":""4""}"
xiaoxiang21Level2,,,,0,,,,"{""xgMantuoluo2"":""2""}"
xiaoxiang21Boss1,,,,0,,,,"{""bossxiaoxiang21Wushi4"":""1""}"
xiaoxiang22Level1,,,,0,,,,"{""xgHetong3"":""4""}"
xiaoxiang22Level2,,,,0,,,,"{""xgXiaochou4"":""2""}"
xiaoxiang22Boss1,,,,0,,,,"{""bossxiaoxiang22Xiyiren2"":""1""}"
xiaoxiang23Level1,,,,0,,,,"{""xgHuapo2"":""4""}"
xiaoxiang23Level2,,,,0,,,,"{""xgCike4"":""2""}"
xiaoxiang23Boss1,,,,0,,,,"{""bossxiaoxiang23Panshen2"":""1""}"
xiaoxiang24Level1,,,,0,,,,"{""xgWushi3"":""4""}"
xiaoxiang24Level2,,,,0,,,,"{""xgLonggongtongzi3"":""2""}"
xiaoxiang24Boss1,,,,0,,,,"{""bossxiaoxiang24Shuigui3"":""1""}"
xiaoxiang25Level1,,,,0,,,,"{""xgXiyiren2"":""4""}"
xiaoxiang25Level2,,,,0,,,,"{""xgPanshen2"":""2""}"
xiaoxiang25Boss1,,,,0,,,,"{""bossxiaoxiang25Kairuisi5"":""1""}"
xiaoxiang26Level1,,,,0,,,,"{""xgLangren5"":""4""}"
xiaoxiang26Level2,,,,0,,,,"{""xgShuigui3"":""2""}"
xiaoxiang26Boss1,,,,0,,,,"{""bossxiaoxiang26Longgongtongzi3"":""1""}"
xiaoxiang27Level1,,,,0,,,,"{""xgNvyao5"":""4""}"
xiaoxiang27Level2,,,,0,,,,"{""xgHapi1"":""2""}"
xiaoxiang27Boss1,,,,0,,,,"{""bossxiaoxiang27Hetong2"":""1""}"
xiaoxiang28Level1,,,,0,,,,"{""xgKairuisi5"":""4""}"
xiaoxiang28Level2,,,,0,,,,"{""xgSaibulesi5"":""2""}"
xiaoxiang28Boss1,,,,0,,,,"{""bossxiaoxiang28Muling2"":""1""}"
senlin21Level1,,,,0,,,,"{""xgHuapo2"":""4""}"
senlin21Level2,,,,0,,,,"{""xgMantuoluo2"":""2""}"
senlin21Boss1,,,,0,,,,"{""bosssenlin31Wendige2"":""1""}"
senlin22Level1,,,,0,,,,"{""xgHetong2"":""4""}"
senlin22Level2,,,,0,,,,"{""xgLonggongtongzi3"":""2""}"
senlin22Boss1,,,,0,,,,"{""bosssenlin32Longnv3"":""1""}"
senlin23Level1,,,,0,,,,"{""xgWendige2"":""4""}"
senlin23Level2,,,,0,,,,"{""xgXiyiren2"":""2""}"
senlin23Boss1,,,,0,,,,"{""bosssenlin33Luoxinfu5"":""1""}"
senlin24Level1,,,,0,,,,"{""xgWendige3"":""4""}"
senlin24Level2,,,,0,,,,"{""xgShuigui3"":""2""}"
senlin24Boss1,,,,0,,,,"{""bosssenlin34Amute3"":""1""}"
senlin25Level1,,,,0,,,,"{""xgSaibulesi5"":""4""}"
senlin25Level2,,,,0,,,,"{""xgMantuoluo2"":""2""}"
senlin25Boss1,,,,0,,,,"{""bosssenlin35Xiaochou2"":""1""}"
senlin26Level1,,,,0,,,,"{""xgLongnv3"":""4""}"
senlin26Level2,,,,0,,,,"{""xgPanshen2"":""2""}"
senlin26Boss1,,,,0,,,,"{""bosssenlin36Momo1"":""1""}"
senlin27Level1,,,,0,,,,"{""xgLuoxinfu5"":""4""}"
senlin27Level2,,,,0,,,,"{""xgMomo1"":""2""}"
senlin27Boss1,,,,0,,,,"{""bosssenlin37Hapi1"":""1""}"
senlin28Level1,,,,0,,,,"{""xgXiaochou2"":""4""}"
senlin28Level2,,,,0,,,,"{""xgAmute3"":""2""}"
senlin28Boss1,,,,0,,,,"{""bosssenlin38Meidusha2"":""1""}"
huoshan21Level1,,,,0,,,,"{""xgMoguguai4"":""4""}"
huoshan21Level2,,,,0,,,,"{""xgCike4"":""2""}"
huoshan21Boss1,,,,0,,,,"{""bosshuoshan41Hongniu4"":""1""}"
huoshan22Level1,,,,0,,,,"{""xgXiyiren4"":""4""}"
huoshan22Level2,,,,0,,,,"{""xgWushi4"":""2""}"
huoshan22Boss1,,,,0,,,,"{""bosshuoshan42Daochengsizhong4"":""1""}"
huoshan23Level1,,,,0,,,,"{""xgKairuisi4"":""4""}"
huoshan23Level2,,,,0,,,,"{""xgLuoxinfu5"":""2""}"
huoshan23Boss1,,,,0,,,,"{""bosshuoshan43Huoniao4"":""1""}"
huoshan24Level1,,,,0,,,,"{""xgDaochengsizhong4"":""4""}"
huoshan24Level2,,,,0,,,,"{""xgMomo1"":""2""}"
huoshan24Boss1,,,,0,,,,"{""bosshuoshan44Datiangou4"":""1""}"
huoshan25Level1,,,,0,,,,"{""xgSaibulesi5"":""4""}"
huoshan25Level2,,,,0,,,,"{""xgHongniu4"":""2""}"
huoshan25Boss1,,,,0,,,,"{""bosshuoshan45Saibulesi4"":""1""}"
huoshan26Level1,,,,0,,,,"{""xgHuoniao4"":""4""}"
huoshan26Level2,,,,0,,,,"{""xgHapi1"":""2""}"
huoshan26Boss1,,,,0,,,,"{""bosshuoshan46Tianshizhang4"":""1""}"
huoshan27Level1,,,,0,,,,"{""xgTianshizhang4"":""4""}"
huoshan27Level2,,,,0,,,,"{""xgAnpusha5"":""2""}"
huoshan27Boss1,,,,0,,,,"{""bosshuoshan47Ifrit4"":""1""}"
huoshan28Level1,,,,0,,,,"{""xgSaibulesi4"":""4""}"
huoshan28Level2,,,,0,,,,"{""xgIfrit4"":""2""}"
huoshan28Boss1,,,,0,,,,"{""bosshuoshan48Hehuaisituosi4"":""1""}"
xueshan21Level1,,,,0,,,,"{""xgWagui3"":""4""}"
xueshan21Level2,,,,0,,,,"{""xgLonggongtongzi3"":""2""}"
xueshan21Boss1,,,,0,,,,"{""bosschaoxue51Langren5"":""1""}"
xueshan22Level1,,,,0,,,,"{""xgLuoxinfu5"":""4""}"
xueshan22Level2,,,,0,,,,"{""xgLangren3"":""2""}"
xueshan22Boss1,,,,0,,,,"{""bosschaoxue52Yifanmumian3"":""1""}"
xueshan23Level1,,,,0,,,,"{""xgMoguguai3"":""4""}"
xueshan23Level2,,,,0,,,,"{""xgShuigui3"":""2""}"
xueshan23Boss1,,,,0,,,,"{""bosschaoxue53Xiaochou3"":""1""}"
xueshan24Level1,,,,0,,,,"{""xgWendige3"":""4""}"
xueshan24Level2,,,,0,,,,"{""xgXiaochou3"":""2""}"
xueshan24Boss1,,,,0,,,,"{""bosschaoxue54Bingyan3"":""1""}"
xueshan25Level1,,,,0,,,,"{""xgWushi3"":""4""}"
xueshan25Level2,,,,0,,,,"{""xgHetong3"":""2""}"
xueshan25Boss1,,,,0,,,,"{""bosschaoxue55Sheshou3"":""1""}"
xueshan26Level1,,,,0,,,,"{""xgLangren5"":""4""}"
xueshan26Level2,,,,0,,,,"{""xgBingyan3"":""2""}"
xueshan26Boss1,,,,0,,,,"{""bosschaoxue56Huoniao3"":""1""}"
xueshan27Level1,,,,0,,,,"{""xgMengyan5"":""4""}"
xueshan27Level2,,,,0,,,,"{""xgAmute3"":""2""}"
xueshan27Boss1,,,,0,,,,"{""bosschaoxue57Wendige3"":""1""}"
xueshan28Level1,,,,0,,,,"{""xgSheshouzuo3"":""4""}"
xueshan28Level2,,,,0,,,,"{""xgLongnv3"":""2""}"
xueshan28Boss1,,,,0,,,,"{""bosschaoxue58Yimier3"":""1""}"
minghe21Level1,,,,0,,,,"{""xgMengyan5"":""4""}"
minghe21Level2,,,,0,,,,"{""xgHuoniao3"":""2""}"
minghe21Boss1,,,,0,,,,"{""bossminghe61Dujiaoshou5"":""1""}"
minghe22Level1,,,,0,,,,"{""xgLangren5"":""4""}"
minghe22Level2,,,,0,,,,"{""xgAmute3"":""2""}"
minghe22Boss1,,,,0,,,,"{""bossminghe62Anpusha5"":""1""}"
minghe23Level1,,,,0,,,,"{""xgLuoxinfu5"":""4""}"
minghe23Level2,,,,0,,,,"{""xgKairuisi5"":""2""}"
minghe23Boss1,,,,0,,,,"{""bossminghe63Ifrit5"":""1""}"
minghe24Level1,,,,0,,,,"{""xgIfrit5"":""4""}"
minghe24Level2,,,,0,,,,"{""xgDujiaoshou5"":""2""}"
minghe24Boss1,,,,0,,,,"{""bossminghe64Nvyao5"":""1""}"
minghe25Level1,,,,0,,,,"{""xgPanshen2"":""4""}"
minghe25Level2,,,,0,,,,"{""xgAnpusha5"":""2""}"
minghe25Boss1,,,,0,,,,"{""bossminghe65Weitianshi5"":""1""}"
minghe26Level1,,,,0,,,,"{""xgNvyao5"":""4""}"
minghe26Level2,,,,0,,,,"{""xgWeitianshi5"":""2""}"
minghe26Boss1,,,,0,,,,"{""bossminghe66Saibulesi5"":""1""}"
minghe27Level1,,,,0,,,,"{""xgSaibulesi5"":""4""}"
minghe27Level2,,,,0,,,,"{""xgBingyan3"":""2""}"
minghe27Boss1,,,,0,,,,"{""bossminghe67Change5"":""1""}"
minghe28Level1,,,,0,,,,"{""xgChange5"":""4""}"
minghe28Level2,,,,0,,,,"{""xgPiying5"":""2""}"
minghe28Boss1,,,,0,,,,"{""bossminghe68Karong5"":""1""}"
kongdao21Level1,,,,0,,,,"{""xgWeitianshi1"":""4""}"
kongdao21Level2,,,,0,,,,"{""xgMomo1"":""2""}"
kongdao21Boss1,,,,0,,,,"{""bosskongdao71Weitianshi1"":""1""}"
kongdao22Level1,,,,0,,,,"{""xgSheshouzuo1"":""4""}"
kongdao22Level2,,,,0,,,,"{""xgHapi1"":""2""}"
