#TEXT,TEXT,TEXT,NUM,TEXT
id,rewardId,sweepRewardId,pseudoTimes,pseudoRewardId
minghe22,20602,20612,0,
minghe23,20603,20613,0,
minghe24,20604,20614,0,
minghe25,20605,20615,0,
minghe26,20606,20616,0,
minghe27,20607,20617,0,
minghe28,20608,20618,0,
kongdao11,10701,10711,0,
kongdao12,10702,10712,0,
kongdao13,10703,10713,0,
kongdao14,10704,10714,0,
kongdao15,10705,10715,0,
kongdao16,10706,10716,0,
kongdao17,10707,10717,0,
kongdao18,10708,10718,0,
kongdao21,20401,20411,0,
kongdao22,20402,20412,0,
kongdao23,20403,20413,0,
kongdao24,20404,20414,0,
kongdao25,20405,20415,0,
kongdao26,20406,20416,0,
kongdao27,20407,20417,0,
kongdao28,20408,20418,0,
renjie11,10801,10811,0,
renjie12,10802,10812,0,
renjie13,10803,10813,0,
renjie14,10804,10814,0,
renjie15,10805,10815,0,
renjie16,10806,10816,0,
renjie17,10807,10817,0,
renjie18,10808,10818,0,
renjie21,20401,20411,0,
renjie22,20402,20412,0,
renjie23,20403,20413,0,
renjie24,20404,20414,0,
renjie25,20405,20415,0,
renjie26,20406,20416,0,
renjie27,20407,20417,0,
renjie28,20408,20418,0,
zhifuletu1,shilianjingyan1,shilianjingyan1,0,
zhifuletu2,shilianjingyan2,shilianjingyan2,0,
zhifuletu3,shilianjingyan3,shilianjingyan3,0,
zhifuletu4,shilianjingyan4,shilianjingyan4,0,
zhifuletu5,shilianjingyan5,shilianjingyan5,0,
zhifuletu6,shilianjingyan6,shilianjingyan6,0,
midasigong1,shilianjinbi1,shilianjinbi1,0,
midasigong2,shilianjinbi2,shilianjinbi2,0,
midasigong3,shilianjinbi3,shilianjinbi3,0,
midasigong4,shilianjinbi4,shilianjinbi4,0,
midasigong5,shilianjinbi5,shilianjinbi5,0,
midasigong6,shilianjinbi6,shilianjinbi6,0,
gonghuisenlin17,gonghui1,,0,
gonghuisenlin18,gonghui1,,0,
gonghuihuoshan11,gonghui1,,0,
gonghuihuoshan12,gonghui1,,0,
gonghuihuoshan18,gonghui6,,0,
gonghuihuoshan14,10304,,0,
gonghuihuoshan15,10305,,0,
gonghuihuoshan16,10306,,0,
gonghuihuoshan17,10307,,0,
gonghuixueshan12,10402,,0,
gonghuixueshan13,10403,,0,
gonghuixueshan14,10404,,0,
gonghuiminghe14,10404,,0,
gonghuiminghe15,10405,,0,
gonghuiminghe16,10406,,0,
gonghuikongdao11,10701,,0,
gonghuikongdao12,10702,,0,
gonghuikongdao13,10703,,0,
gonghuikongdao14,10704,,0,
gonghuirenjie12,10802,,0,
gonghuirenjie13,10803,,0,
gonghuirenjie14,10804,,0,
gonghuirenjie15,10805,,0,
gonghuirenjie16,10806,,0,
shilianta1,tower1001,,0,
shilianta2,tower1002,,0,
shilianta3,tower1003,,0,
shilianta4,tower1004,,0,
shilianta5,tower1005,,0,
shilianta6,tower1006,,0,
shilianta7,tower1007,,0,
shilianta8,tower1008,,0,
shilianta9,tower1009,,0,
shilianta10,tower1010,,0,
shilianta11,tower1011,,0,
shilianta12,tower1012,,0,
shilianta13,tower1013,,0,
shilianta14,tower1014,,0,
shilianta15,tower1015,,0,
shilianta16,tower1016,,0,
shilianta17,tower1017,,0,
shilianta18,tower1018,,0,
shilianta19,tower1019,,0,
shilianta20,tower1020,,0,
siwangta1,tower2001,,0,
siwangta2,tower2002,,0,
siwangta3,tower2003,,0,
siwangta4,tower2004,,0,
siwangta5,tower2005,,0,
siwangta6,tower2006,,0,
siwangta7,tower2007,,0,
siwangta8,tower2008,,0,
siwangta9,tower2009,,0,
siwangta10,tower2010,,0,
siwangta11,tower2011,,0,
siwangta12,tower2012,,0,
siwangta13,tower2013,,0,
siwangta14,tower2014,,0,
siwangta15,tower2015,,0,
siwangta16,tower2016,,0,
siwangta17,tower2017,,0,
siwangta18,tower2018,,0,
siwangta19,tower2019,,0,
siwangta20,tower2020,,0,
siwangta21,tower2021,,0,
siwangta22,tower2022,,0,
siwangta23,tower2023,,0,
siwangta24,tower2024,,0,
siwangta25,tower2025,,0,
siwangta26,tower2026,,0,
siwangta27,tower2027,,0,
siwangta28,tower2028,,0,
siwangta29,tower2029,,0,
siwangta30,tower2030,,0,
pvp_scene,10101,10111,0,
