#TEXT,TEXT
id,rewardId
senlin22_bosssenlin32Longnv3,2133
senlin23_xgWendige2,3031
senlin23_xgXiyiren2,3032
senlin23_bosssenlin33Luoxinfu5,3133
senlin24_xgWendige3,4031
senlin24_xgShuigui3,4032
senlin24_bosssenlin34Amute3,4133
senlin25_xgSaibulesi5,5031
senlin25_xgMantuoluo2,5032
senlin25_bosssenlin35Xiaochou2,5133
senlin26_xgPanshen2,6031
senlin26_xgLongnv3,6032
senlin26_bosssenlin36Momo1,6133
senlin27_xgLuoxinfu5,7031
senlin27_xgMomo1,7032
senlin27_bosssenlin37Hapi1,7133
senlin28_xgXiaochou2,8031
senlin28_xgAmute3,8032
senlin28_bosssenlin38Meidusha2,8133
huoshan11_xgMoguguai4,1041
huoshan11_xgCike4,1042
huoshan11_bosshuoshan41Hongniu4,1043
huoshan12_xgXiyiren4,2041
huoshan12_xgWushi4,2042
huoshan12_bosshuoshan42Daochengsizhong4,2043
huoshan13_xgKairuisi4,3041
huoshan13_xgLuoxinfu5,3042
huoshan13_bosshuoshan43Huoniao4,3043
huoshan14_xgDaochengsizhong4,4041
huoshan14_xgMomo1,4042
huoshan14_bosshuoshan44Datiangou4,4043
huoshan15_xgSaibulesi5,5041
huoshan15_xgHongniu4,5042
huoshan15_bosshuoshan45Saibulesi4,5043
huoshan16_xgHuoniao4,6041
huoshan16_xgHapi1,6042
huoshan16_bosshuoshan46Tianshizhang4,6043
huoshan17_xgTianshizhang4,7041
huoshan17_xgAnpusha5,7042
huoshan17_bosshuoshan47Ifrit4,7043
huoshan18_xgSaibulesi4,8041
huoshan18_xgIfrit4,8042
huoshan18_bosshuoshan48hehuaisituosi4,8043
huoshan21_xgMoguguai4,1041
huoshan21_xgCike4,1042
huoshan21_bosshuoshan41Hongniu4,1143
huoshan22_xgXiyiren4,2041
huoshan22_xgWushi4,2042
huoshan22_bosshuoshan42Daochengsizhong4,2143
huoshan23_xgKairuisi4,3041
huoshan23_xgLuoxinfu5,3042
huoshan23_bosshuoshan43Huoniao4,3143
huoshan24_xgDaochengsizhong4,4041
huoshan24_xgMomo1,4042
huoshan24_bosshuoshan44Datiangou4,4143
huoshan25_xgSaibulesi5,5041
huoshan25_xgHongniu4,5042
huoshan25_bosshuoshan45Saibulesi4,5143
huoshan26_xgHuoniao4,6041
huoshan26_xgHapi1,6042
huoshan26_bosshuoshan46Tianshizhang4,6143
huoshan27_xgTianshizhang4,7041
huoshan27_xgAnpusha5,7042
huoshan27_bosshuoshan47Ifrit4,7143
huoshan28_xgSaibulesi4,8041
huoshan28_xgIfrit4,8042
huoshan28_bosshuoshan48hehuaisituosi4,8143
xueshan11_xgWagui3,1051
xueshan11_xgLonggongtongzi3,1052
xueshan11_bosschaoxue51Langren5,1053
xueshan12_xgLuoxinfu5,2051
xueshan12_xgLangren3,2052
xueshan12_bosschaoxue52Yifanmumian3,2053
xueshan13_xgMoguguai3,3051
xueshan13_xgShuigui3,3052
xueshan13_bosschaoxue53Xiaochou3,3053
xueshan14_xgWendige3,4051
xueshan14_xgXiaochou3,4052
xueshan14_bosschaoxue54Bingyan3,4053
xueshan15_xgWushi3,5051
xueshan15_xgHetong3,5052
xueshan15_bosschaoxue55Sheshou3,5053
xueshan16_xgLangren5,6051
xueshan16_xgBingyan3,6052
xueshan16_bosschaoxue56Huoniao3,6053
xueshan17_xgMengyan5,7051
xueshan17_xgAmute3,7052
xueshan17_bosschaoxue57Wendige3,7053
xueshan18_xgSheshouzuo3,8051
xueshan18_xgLongnv3,8052
xueshan18_bosschaoxue58Yimier3,8053
minghe11_xgMengyan5,1061
minghe11_xgHuoniao3,1062
minghe11_bossminghe61Dujiaoshou5,1063
minghe12_xgLangren5,2061
minghe12_xgAmute3,2062
minghe12_bossminghe62Anpusha5,2063
minghe13_xgLuoxinfu5,3061
minghe13_xgKairuisi5,3062
minghe13_bossminghe63Ifrit5,3063
minghe14_xgIfrit5,4061
minghe14_xgDujiaoshou5,4062
minghe14_bossminghe64Nvyao5,4063
minghe15_xgPanshen2,5061
minghe15_xgAnpusha5,5062
minghe15_bossminghe65Weitianshi5,5063
minghe16_xgNvyao5,6061
minghe16_xgWeitianshi5,6062
minghe16_bossminghe66Saibulesi5,6063
minghe17_xgSaibulesi5,7061
minghe17_xgBingyan3,7062
minghe17_bossminghe67Change5,7063
minghe18_xgChange5,8061
minghe18_xgPiying5,8062
minghe18_bossminghe68Karong5,8063
xueshan21_xgWagui3,1051
xueshan21_xgLonggongtongzi3,1052
xueshan21_bosschaoxue51Langren5,1153
xueshan22_xgLuoxinfu5,2051
xueshan22_xgLangren3,2052
xueshan22_bosschaoxue52Yifanmumian3,2153
xueshan23_xgMoguguai3,3051
xueshan23_xgShuigui3,3052
xueshan23_bosschaoxue53Xiaochou3,3153
xueshan24_xgWendige3,4051
xueshan24_xgXiaochou3,4052
xueshan24_bosschaoxue54Bingyan3,4153
xueshan25_xgWushi3,5051
xueshan25_xgHetong3,5052
xueshan25_bosschaoxue55Sheshou3,5153
xueshan26_xgLangren5,6051
xueshan26_xgBingyan3,6052
xueshan26_bosschaoxue56Huoniao3,6153
xueshan27_xgMengyan5,7051
xueshan27_xgAmute3,7052
xueshan27_bosschaoxue57Wendige3,7153
xueshan28_xgSheshouzuo3,8051
xueshan28_xgLongnv3,8052
xueshan28_bosschaoxue58Yimier3,8153
minghe21_xgMengyan5,1061
minghe21_xgHuoniao3,1062
minghe21_bossminghe61Dujiaoshou5,1163
minghe22_xgLangren5,2061
minghe22_xgAmute3,2062
minghe22_bossminghe62Anpusha5,2163
minghe23_xgLuoxinfu5,3061
minghe23_xgKairuisi5,3062
minghe23_bossminghe63Ifrit5,3163
minghe24_xgIfrit5,4061
minghe24_xgDujiaoshou5,4062
minghe24_bossminghe64Nvyao5,4163
minghe25_xgPanshen2,5061
minghe25_xgAnpusha5,5062
minghe25_bossminghe65Weitianshi5,5163
minghe26_xgNvyao5,6061
minghe26_xgWeitianshi5,6062
minghe26_bossminghe66Saibulesi5,6163
minghe27_xgSaibulesi5,7061
minghe27_xgBingyan3,7062
minghe27_bossminghe67Change5,7163
minghe28_xgChange5,8061
minghe28_xgPiying5,8062
minghe28_bossminghe68Karong5,8163
kongdao11_xgWeitianshi1,1071
kongdao11_xgMomo1,1072
kongdao11_bosskongdao71Weitianshi1,1073
kongdao12_xgSheshouzuo1,2071
kongdao12_xgHapi1,2072
kongdao12_bosskongdao72Nvyao1,2073
kongdao13_xgSheshouzuo3,3071
kongdao13_xgHuoniao3,3072
kongdao13_bosskongdao73Luoxinfu1,3073
kongdao14_xgBingxuenvwang3,4071
kongdao14_xgLongnv1,4072
kongdao14_bosskongdao74Piying1,4073
kongdao15_xgLuoxinfu1,5071
kongdao15_xgAnpusha5,5072
kongdao15_bosskongdao75Sheshou1,5073
kongdao16_xgNvyao1,6071
kongdao16_xgIfrit4,6072
kongdao16_bosskongdao76Yifanmumian1,6073
kongdao17_xgPiying1,7071
kongdao17_xgDujiaoshou1,7072
kongdao17_bosskongdao77Longnv1,7073
kongdao18_xgChange1,8071
kongdao18_xgYifanmumian1,8072
kongdao18_bosskongdao78Jinglingwang1,8073
renjie11_xgJinglingwang2,1081
renjie11_xgKahuna2,1082
renjie11_bossrenjie81Huapo2awaken,1083
renjie12_xgDaochengsizhong4,2081
renjie12_xgHongniu4,2082
renjie12_bossrenjie82Huoniao4awaken,2083
renjie13_xgBingxuenvwang3,3081
renjie13_xgAmute3,3082
renjie13_bossrenjie83Amute3awaken,3083
renjie14_xgIfrit5,4081
renjie14_xgWeitianshi5,4082
renjie14_bossrenjie84Anpusha5awaken,4083
renjie15_xgSheshouzuo1,5081
renjie15_xgWeitianshi1,5082
renjie15_bossrenjie85Dujiaoshou1awaken,5083
renjie16_xgTianshizhang4,6081
renjie16_xgPanshen2,6082
renjie16_bossrenjie86Landuo2,6083
renjie17_xgChange5,7081
renjie17_xgHuoniao4,7082
renjie17_bossrenjie87Baonu4,7083
renjie18_xgDatiangou4,8081
renjie18_xgTianshizhang1,8082
renjie18_bossrenjie88Yafogemeng5,8083
zhifuletu1_xgSaibulesi4,shilian101
zhifuletu1_xgXiaochou3,shilian102
zhifuletu1_bosszhifuletuJiuweihu4,shilian103
zhifuletu2_xgSaibulesi4,shilian201
zhifuletu2_xgXiaochou3,shilian202
zhifuletu2_bosszhifuletuJiuweihu4,shilian203
zhifuletu3_xgSaibulesi4,shilian301
zhifuletu3_xgXiaochou3,shilian302
zhifuletu3_bosszhifuletuJiuweihu4,shilian303
zhifuletu4_xgSaibulesi4,shilian401
zhifuletu4_xgXiaochou3,shilian402
zhifuletu4_bosszhifuletuJiuweihu4,shilian403
zhifuletu5_xgSaibulesi4,shilian501
zhifuletu5_xgXiaochou3,shilian502
zhifuletu5_bosszhifuletuJiuweihu4,shilian503
zhifuletu6_xgSaibulesi4,shilian601
zhifuletu6_xgXiaochou3,shilian602
zhifuletu6_bosszhifuletuJiuweihu4,shilian603
midasigong1_xgXiaochou4,shilian111
midasigong1_xgWendige2,shilian112
midasigong1_bossmidasigongHuangjinzhiling1,shilian113
midasigong2_xgXiaochou4,shilian211
midasigong2_xgWendige2,shilian212
midasigong2_bossmidasigongHuangjinzhiling1,shilian213
midasigong3_xgXiaochou4,shilian311
midasigong3_xgWendige2,shilian312
midasigong3_bossmidasigongHuangjinzhiling1,shilian313
midasigong4_xgXiaochou4,shilian411
midasigong4_xgWendige2,shilian412
midasigong4_bossmidasigongHuangjinzhiling1,shilian413
midasigong5_xgXiaochou4,shilian511
midasigong5_xgWendige2,shilian512
midasigong5_bossmidasigongHuangjinzhiling1,shilian513
midasigong6_xgXiaochou4,shilian611
midasigong6_xgWendige2,shilian612
midasigong6_bossmidasigongHuangjinzhiling1,shilian613
gonghuisenlin17_xgLuoxinfu5,7031
gonghuisenlin17_xgMomo1,7032
gonghuisenlin17_bosssenlin37Hapi1,7033
gonghuisenlin18_xgXiaochou2,8031
gonghuisenlin18_xgAmute3,8032
gonghuisenlin18_bosssenlin38Meidusha2,8033
gonghuihuoshan11_xgMoguguai4,1041
gonghuihuoshan11_xgCike4,1042
gonghuihuoshan11_bosshuoshan41Hongniu4,1043
gonghuihuoshan12_xgXiyiren4,2041
gonghuihuoshan12_xgWushi4,2042
gonghuihuoshan12_bosshuoshan42Daochengsizhong4,2043
gonghuihuoshan18_xgSaibulesi4,8041
gonghuihuoshan18_xgIfrit4,8042
gonghuihuoshan18_bosshuoshan48hehuaisituosi4,8043
gonghuihuoshan14_xgDaochengsizhong4,4041
gonghuihuoshan14_xgMomo1,4042
gonghuihuoshan14_bosshuoshan44Datiangou4,4043
gonghuihuoshan15_xgSaibulesi5,5041
gonghuihuoshan15_xgHongniu4,5042
gonghuihuoshan15_bosshuoshan45Saibulesi4,5043
gonghuihuoshan16_xgHuoniao4,6041
gonghuihuoshan16_xgHapi1,6042
gonghuihuoshan16_bosshuoshan46Tianshizhang4,6043
gonghuihuoshan17_xgTianshizhang4,7041
gonghuihuoshan17_xgAnpusha5,7042
gonghuihuoshan17_bosshuoshan47Ifrit4,7043
gonghuixueshan12_xgLuoxinfu5,2051
gonghuixueshan12_xgLangren3,2052
gonghuixueshan12_bosschaoxue52Yifanmumian3,2053
gonghuixueshan13_xgMoguguai3,3051
gonghuixueshan13_xgShuigui3,3052
gonghuixueshan13_bosschaoxue53Xiaochou3,3053
gonghuixueshan14_xgWendige3,4051
gonghuixueshan14_xgXiaochou3,4052
gonghuixueshan14_bosschaoxue54Bingyan3,4053
gonghuiminghe14_xgIfrit5,4061
gonghuiminghe14_xgDujiaoshou5,4062
gonghuiminghe14_bossminghe64Nvyao5,4063
gonghuiminghe15_xgPanshen2,5061
gonghuiminghe15_xgAnpusha5,5062
gonghuiminghe15_bossminghe65Weitianshi5,5063
gonghuiminghe16_xgNvyao5,6061
gonghuiminghe16_xgWeitianshi5,6062
gonghuiminghe16_bossminghe66Saibulesi5,6063
gonghuikongdao11_xgWeitianshi1,1071
gonghuikongdao11_xgMomo1,1072
gonghuikongdao11_bosskongdao71Weitianshi1,1073
gonghuikongdao12_xgSheshouzuo1,2071
gonghuikongdao12_xgHapi1,2072
gonghuikongdao12_bosskongdao72Nvyao1,2073
gonghuikongdao13_xgSheshouzuo3,3071
gonghuikongdao13_xgHuoniao3,3072
gonghuikongdao13_bosskongdao73Luoxinfu1,3073
gonghuikongdao14_xgBingxuenvwang3,4071
gonghuikongdao14_xgLongnv1,4072
gonghuikongdao14_bosskongdao74Piying1,4073
gonghuirenjie12_xgDaochengsizhong4,2081
gonghuirenjie12_xgHongniu4,2082
gonghuirenjie12_bossrenjie82Huoniao4awaken,2083
gonghuirenjie13_xgBingxuenvwang3,3081
gonghuirenjie13_xgAmute3,3082
gonghuirenjie13_bossrenjie83Amute3awaken,3083
gonghuirenjie14_xgIfrit5,4081
gonghuirenjie14_xgWeitianshi5,4082
gonghuirenjie14_bossrenjie84Anpusha5awaken,4083
gonghuirenjie15_xgSheshouzuo1,5081
gonghuirenjie15_xgWeitianshi1,5082
gonghuirenjie15_bossrenjie85Dujiaoshou1awaken,5083
gonghuirenjie16_xgTianshizhang4,6081
gonghuirenjie16_xgPanshen2,6082
gonghuirenjie16_bossrenjie86Landuo2,6083
