#TEXT,TEXT
id,itemRandom
1034,"3_50005_1_4_30_1.0_70,3_50005_1_4_30_0.8_20,3_50005_1_4_30_0.6_10,3_50006_1_4_80_1.0_35,3_50006_1_4_80_0.8_10,3_50006_1_4_80_0.6_5,3_50007_1_4_130_1.0_7,3_50007_1_4_130_0.8_2,3_50007_1_4_130_0.6_1"
1035,"3_11001_15_3_2_1.0_900,3_11001_15_3_2_0.8_50,3_11002_5_3_10_1.0_50"
1036,"3_11001_15_3_2_1.0_270,3_11001_15_3_2_0.8_30,3_11002_5_3_10_1.0_460,3_11002_5_3_10_0.8_40,3_11003_2_3_50_1.0_180,3_11003_2_3_50_0.8_20"
1037,"3_11001_30_3_2_1.0_100,3_11002_10_3_10_1.0_370,3_11002_10_3_10_0.8_30,3_11003_4_3_50_1.0_460,3_11003_4_3_50_0.8_40"
1038,"3_10005_3_4_10_1.0_700,3_10005_3_4_10_0.8_700,3_10005_4_4_10_1.0_200"
1039,"3_10005_3_4_10_1.0_100,3_10005_4_4_10_1.0_600,3_10005_4_4_10_0.8_100,3_10005_8_4_10_1.0_200"
1040,"3_10005_4_4_10_1.0_450,3_10005_4_4_10_0.8_50,3_10005_8_4_10_1.0_450,3_10005_8_4_10_0.8_50"
1041,"3_20022_2_3_14_1.0_300,3_20023_2_3_14_1.0_300,3_20010_2_3_14_1.0_300,3_20014_2_3_14_1.0_300,3_20040_2_3_14_1.0_300,3_20017_2_3_14_1.0_300,3_20025_2_3_14_1.0_300,3_20046_2_3_14_1.0_300,3_20009_2_3_14_1.0_300,3_20030_2_3_14_1.0_300,3_20008_2_3_14_1.0_300,3_20021_2_3_14_1.0_300,3_20013_2_3_14_1.0_300,3_20011_2_3_14_1.0_300,3_20040_2_3_14_1.0_300,3_20004_2_3_18_1.0_50,3_20029_2_3_18_1.0_50,3_20019_2_3_18_1.0_50,3_20028_2_3_18_1.0_50,3_20033_2_3_18_1.0_50,3_20035_2_3_18_1.0_50,3_20051_2_3_18_1.0_50,3_20042_2_3_18_1.0_50,3_20044_2_3_18_1.0_50,3_20055_2_3_18_1.0_50"
1042,"3_30001_1_1_400_1.0_100,3_30007_1_1_400_1.0_100,3_30013_1_1_400_1.0_100,3_30019_1_1_400_1.0_100,3_30025_1_1_400_1.0_100,3_30031_1_1_400_1.0_100,3_30037_1_1_400_1.0_100,3_30043_1_1_400_1.0_100,3_30049_1_1_400_1.0_100"
1043,"3_30002_1_1_2400_1.0_100,3_30008_1_1_2400_1.0_100,3_30014_1_1_2400_1.0_100,3_30020_1_1_2400_1.0_100,3_30026_1_1_2400_1.0_100,3_30032_1_1_2400_1.0_100,3_30038_1_1_2400_1.0_100,3_30044_1_1_2400_1.0_100,3_30050_1_1_2400_1.0_100"
1044,"3_10021_2_1_40_1.0_500,3_10021_2_1_40_0.8_100,3_10022_2_1_40_1.0_375,3_10022_2_1_40_0.8_25"
1045,"3_10021_2_1_40_1.0_175,3_10021_2_1_40_0.8_25,3_10022_2_1_40_1.0_500,3_10022_2_1_40_0.8_100,3_10023_2_1_40_1.0_80,3_10023_2_1_40_0.8_20"
1046,"3_10022_2_1_40_1.0_500,3_10022_2_1_40_0.8_100,3_10023_2_1_40_1.0_375,3_10023_2_1_40_0.8_25"
