#TEXT,TEXT,TEXT,TEXT
id,chinese,english,traditional
wendigetips,肉……肉……我好饿……,"Meat, meat, I must eat!",肉……肉……我好餓……
daochengsizhongtips,为什么我爱的人，却一直躲着我……,Why do people I love avoid me… Is it my face?,為什麼我愛的人，卻一直躲著我……
hongniutips,在这迷宫中，我就是国王！,"In the labyrinth, I am king!",在這迷宮中，我就是國王！
huoniaotips,火炎，为我带来无尽的生命。,Deathly flames bring me endless life.,火炎，為我帶來無盡的生命。
changetips,月亮又圆了，对我的囚禁却没有终结……,"The moon grows round again, but it ends not my captivity…",月亮又圓了，對我的囚禁卻沒有終結……
saibulesitips,能从我面前通过的，只有死人！,Only the dead may pass before me!,能從我面前通過的，只有死人！
sheshouzuotips,没有人能逃过我的弓箭，流星也不例外。,Nothing can escape my arrows… Including meteors!,沒有人能逃過我的弓箭，流星也不例外。
kairuisitips,嘻嘻，你的灵魂，归我了哟~,"Hehe, your soul belongs to me!",嘻嘻，你的靈魂，歸我了喲~
longnvtips,海的女儿，并不是只有小美人鱼一个。,Mermaids aren't the only girls in the sea…,海的女兒，並不是只有小美人魚一個。
luoxinfutips,要不要和我做一些危险的小游戏~,Who wants to play a game with me?,要不要和我玩一些危險的小遊戲~
amutetips,生存还是死亡，这是个有趣的问题。,Life or death… An interesing question!,生存還是死亡，這是個有趣的問題。
anpushatips,鲜血的气味，让我垂涎欲滴了呢~,The scent of fresh blood always makes my mouth water…,鮮血的氣味，讓我垂涎欲滴了呢~
yifulitetips,燃烧吧，只有彻底的毁灭才会带来新生！,Burn it all! Only with complete destruction can something new be made!,燃燒吧，只有徹底的毀滅才會帶來新生！
datiangoutips,哎呀呀~你的气色不好呀，要不要我给你算上一卦？,"Hey you don't look so good, how about I tell your fortune?",哎呀呀~你的氣色不好呀，要不要我給你算上一卦？
dujiaoshoutips,安睡吧，你将有一个好梦……,"Sleep, you will have a good dream…",安睡吧，你將有一個好夢……
tianshizhangtips,圣光会制裁一切邪恶。,The light will banish all evil.,聖光會制裁一切邪惡。
bingxuenvwangtips,小心了~冰雕可不会说话哦~,Frozen treats are good to eat!,小心了~冰雕可不會說話哦~
bossdajie11Moguguai4tips,蘑菇！Zzzzz,Zzzzz…,蘑菇！Zzzzz
bossdajie12Mantuoluo2tips,根茎是植物的生命之源,Home is where your roots are!,根莖是植物的生命之源
bossdajie13Cike4tips,来次背部按摩怎么样？,How about a back rub?,來次背部按摩怎麼樣？
bossdajie14Piying5tips,我们是三兄弟！,The three of us are brothers!,我們是三兄弟！
bossdajie15Langren3tips,手腕带了厚重的铁环，只是为了锻炼么,These big iron bracers are a part of my new workout routine!,手腕帶了厚重的鐵環，只是為了鍛煉嗎？
bossdajie16Zouyincao2tips,我喜欢地下音乐。,I'm into underground music!,我喜歡地下音樂。
bossdajie17Huapo2tips,可不要小瞧花朵的力量哦~,Don't underestimate flower power!,可不要小瞧花朵的力量哦~
bossdajie18Ladong5tips,谁也别想偷走金苹果,Don't even think about touching the golden apple!,誰也別想偷走金蘋果
bossxiaoxiang21Wushi4tips,我不是来接球的。,This ball isn't just for playing fetch!,我不是來接球的。
bossxiaoxiang22Xiyiren2tips,不是只有金刚狼才有炫酷的爪子,Not only Wolverine has cool claws.,不是只有金剛狼才有炫酷的爪子
bossxiaoxiang23Panshen2tips,请你接受我的心,Please accept my love!,請你接受我的心
bossxiaoxiang24Shuigui3tips,宝藏什么的我真的木有！！,What? You think all bosses have treasure?,寶藏什麼的我真的沒有！！
bossxiaoxiang25Kairuisi5tips,一不小心哥哥的灵魂就被吸走了,A soul a day keeps the doctor away!,一不小心哥哥的靈魂就被吸走了
bossxiaoxiang26Longgongtongzi3tips,龙宫至宝在我手里,The treasures of the sea all belong to me!,龍宮至寶在我手裡
bossxiaoxiang27hetong2tips,围巾是我的最爱,Scarves are my passion.,圍巾是我的最愛
bossxiaoxiang28Muling2tips,好…痛苦……,The pain…,好…痛苦……
bosssenlin31Wendige2tips,吃了鹿以后，长出了奇怪的东西,"After I ate that deer, strange things started to grow on me.",吃了鹿以後，長出了奇怪的東西
bosssenlin32Longnv3tips,老爸给的灵印就是厉害,This sigil dad gave me is pretty powerful!,老爸給的靈印就是厲害
bosssenlin33Luoxinfu5tips,他们靠两条腿，能跑多快,Look how fast they run on their two legs…,他們靠兩條腿，能跑多快
bosssenlin34Amute3tips,你永远看不出我的真面目,You will never see my real face.,你永遠看不出我的真面目
bosssenlin35Xiaochou2tips,让我来示范一下，什么叫做铁锤外交！,Let me demonstrate hammer diplomacy!,讓我來示範一下，什麼叫做鐵錘外交！
bosssenlin36Momo1tips,房子守护着我,I'm the guardian of the house!,房子守護著我
bosssenlin37Hapi1tips,风呀，带我一程吧！,Let the winds take me!,風呀，帶我一程吧！
bosssenlin38Meidusha2tips,凡人，谁给你勇气直视我的双眼,"Mortal, who gave you the courage to look into my eyes!",凡人，誰給你勇氣直視我的雙眼
bosshuoshan41Hongniu4tips,和公牛角力？你会尝到牛角的滋味的,"Mess with the bull, and you get the horns!",和公牛角力？你會嘗到牛角的滋味的
bosshuoshan42Daochengsizhong4tips,谁也别想夺走我的爱人,Don't even think about taking my love away! ,誰也別想奪走我的愛人
bosshuoshan43Huoniao4tips,重生的奥秘就是...你猜！,"And the mystery of rebirth is… Come on, guess!",重生的奧秘就是...你猜！
bosshuoshan44Datiangou4tips,不要让我找到机会爆发,Don't give me a reason to lose it!,不要讓我找到機會爆發
bosshuoshan45Saibulesi4tips,你好，你好，你好！所有的话，我都会说三遍,Hello! Hello! Hello! I like to repeat myself... ,你好，你好，你好！所有的話，我都會說三遍
bosshuoshan46Tianshizhang4tips,迎接审判吧！,Lead me to battle!,迎接審判吧！
bosshuoshan47Ifrit4tips,你闻起来像……烧焦了一样！,You smell like... Burning!,你聞起來像……燒焦了一樣！
bosshuoshan48Hehuaisituosi4tips,好……好可怕……你们不要过来……,For great science!,好……好可怕……你們不要過來……
bosszhifuletuJiuweihu4tips,嘻嘻，你能识破我的变化吗？,Can you see through my disguise?,嘻嘻，你能識破我的變化嗎？
bossmidasigongHuangjinzhiling1tips,宝藏！无尽的宝藏！,Treasure… And more treasure!,寶藏！無盡的寶藏！
zouyincaotips,快给我喝彩！,I like music with beets.,快給我喝彩！
bosschaoxue51Langren5tips,手腕带了厚重的铁环，只是为了锻炼么,These big iron bracers are a part of my new workout routine!,手腕帶了厚重的鐵環，只是為了鍛煉嗎？
bosschaoxue52Mengyan5tips,我听到了血液流淌的声音,Did someone say blood?,我聽到了血液流淌的聲音
bosschaoxue53Xiaochou3tips,让我来示范一下，什么叫做铁锤外交！,Let me demonstrate hammer diplomacy!,讓我來示範一下，什麼叫做鐵錘外交！
bosschaoxue54Bingyan3tips,我能随意改变自己的身体构造！,I can take whatever shape I please!,我能隨意改變自己的身體構造！
bosschaoxue55Sheshou3tips,我的力量来自星辰,By the power of the stars,我的力量來自星辰
bosschaoxue56Huoniao3tips,别揪我的羽毛！,Don't mess with my feathers!,別揪我的羽毛！
bosschaoxue57Wendige3tips,如果我们战略性地从侧翼插上-噢我在忽悠谁呢？我们赶紧吃掉他们吧！,"If we approach strategically from the flank- oh who am I kidding, let's just eat them.",如果我們戰略性地從側翼插上-噢我在胡扯什麼呢？我們趕緊吃掉他們吧！
bosschaoxue58Yimier3tips,冰封……一切……,Freeze… Everything…,冰封……一切……
bossminghe61Dujiaoshou5tips,我的角可不是装饰品,This horn isn't for decoration you know!,我的角可不是裝飾品
bossminghe62Anpusha5tips,我是要让你心跳加速呢，还是，让它停止！,I can make your heart beat fast… Or make it stop completely!,我是要讓你心跳加速呢，還是，讓它停止！
bossminghe63Ifrit5tips,你闻起来像……烧焦了一样！,You smell like... Burning!,你聞起來像……燒焦了一樣！
bossminghe64Nvyao5tips,我永远是18岁！,I'm only 18… And always will be!,我永遠是18歲！
bossminghe65Weitianshi5tips,头上有光环的不一定是天使，还有可能是恶魔！,Only angels have halos you say…,頭上有光環的不一定是天使，還有可能是惡魔！
bossminghe66Saibulesi5tips,你好，你好，你好！所有的话，我都会说三遍,Hello! Hello! Hello! I like to repeat myself... ,你好，你好，你好！所有的話，我都會說三遍
bossminghe67Change5tips,兔子陪伴着我的一生,Bunnies are my companions for life!,兔子陪伴著我的一生
bossminghe68Karong5tips,请享受死亡之路,The road to death can be… Enjoyable!,請享受死亡之路
bosssiwangtaHetong2tips,我的围巾呢？！！！！！,What about my scarf?!?!,我的圍巾呢？！！！！！
bosssiwangtaDatiangou4tips,我也是个帅哥,I'm handsome too!,我也是個帥哥
bosskongdao71Weitianshi1tips,我才不是折翼的天使！,"Wings or no wings, I'm not an angel!",我才不是折翼的天使！
bosskongdao72Nvyao1tips,他们答应过我永远不离开…,They promised that they would never leave me…,他們答應過我永遠不離開…
bosskongdao73Luoxinfu1tips,变幻莫测？没错，说的就是我！,"Unpredictable? Yep, that would be me!",變幻莫測？沒錯，說的就是我！
bosskongdao74Piying1tips,兄弟常伴我身边！,Have you seen my brothers?,兄弟常伴我身邊！
bosskongdao75Sheshou1tips,无与伦比的骑士精神！,I'm the knight in shining armor!,無與倫比的騎士精神！
bosskongdao76Yifanmumian1tips,带上它你就成为她！,"If you take it, you will become it!",帶上它你就成為她！
bosskongdao77Longnv1tips,龙吟称霸天下！,"Dragons, the true masters of the universe!",龍吟稱霸天下！
bosskongdao78Jinglingwang1tips,凡人，你以为你能伤的了我？,You mortals think you could hurt me?,凡人，你以為你能傷的了我？
bossrenjie81Huapo2awakentips,你知道花瓣在哪里么？,Do you know where the petals are?,你知道花瓣在哪裡嗎？
bossrenjie82Huoniao4awakentips,绝不低头，否则皇冠会掉！,"I would bow, but I don't want my crown to fall off!",絕不低頭，否則皇冠會掉！
bossrenjie83Amute3awakentips,那只不过是一个面具而已！,It's only a mask!,那只不過是一個面具而已！
bossrenjie84Anpusha5awakentips,你觉得我美吗？,Do you think I'm beautiful?,你覺得我美嗎？
bossrenjie85Dujiaoshou1awakentips,圣洁的力量会保护着我！,Divine powers protect me!,聖潔的力量會保護著我！
bossrenjie86Landuo2tips,呼呼~好困，别吵醒我~,"Keep it down, I'm trying to sleep here!",呼呼~好困，別吵醒我~
bossrenjie87Baonu4tips,我崇尚火焰的力量！,I respect the power of fire and flames!,我崇尚火焰的力量！
bossrenjie88Yafogemeng5tips,别来打扰我~,Don't disturb me!,別來打擾我~
jinglingwangtips,凡人，别挡着本王的路！,"Outta my way, mortals!",凡人，別擋著本王的路！
kahunatips,唔，好饿……肚子又叫了……,Anyone else hungry right now…,唔，好餓……肚子又叫了……
yifanmumiantips,带上它你就成为她！,"If you take it, you will become it!",帶上它你就成為她！
bossWorldJidu5name,别西卜,Beelzebub,別西卜
bossWorldMeitatelong1name,梅塔特隆,Metatron,梅塔特隆
bossWorldJidu5tips,如何承受别西卜的愤怒同时保证输出，是制敌的关键。,The key to is to survive Beelzebub's rage while maintaining constant damage.,如何承受別西卜的憤怒同時保證輸出，是制敵的關鍵。
bossWorldMeitatelong1tips,梅塔特隆在不同状态下能够压制敌方不同的输出能力。,Metatron can suppress different amounts of damage in different states. ,梅塔特隆在不同狀態下能夠壓制敵方不同的輸出能力。
xgShuiniao,冰鸟,Arcticbird,冰鳥
xgRenyu,人鱼,Mermaid,人魚
xgShixianggui,石像鬼,Gargolye,石像鬼
xgSenlinnvshen,森林女神,Dryad,森林女神
renyutips,呐～要不要听我唱首歌？,Hey! Wanna hear me sing a song?,嘿～要不要聽我唱首歌？
shixiangguitips,谁也别想夺走我的财宝！,Who dares to try stealing my treasure!,誰也別想奪走我的財寶！
senlinnvshentips,愚昧的入侵者啊，林中的妖精已经告诉了我你的死期。,Foolish invaders! The sprites of the forest have already told me your fate.,愚昧的入侵者啊，林中的妖精已經告訴了我你的死期。
