#NUM,NUM,TEXT,TEXT,NUM,TEXT,TEXT,NUM,TEXT
id,page,comments,name,cycle,goalType,goalParam,goalCount,reward
42,110,累计登录13天,110_name13,1,loginall,,13,110_reward13
43,110,累计登录14天,110_name14,1,loginall,,14,110_reward14
44,110,累计登录15天,110_name15,1,loginall,,15,110_reward15
45,110,累计登录16天,110_name16,1,loginall,,16,110_reward16
46,110,累计登录17天,110_name17,1,loginall,,17,110_reward17
47,110,累计登录18天,110_name18,1,loginall,,18,110_reward18
48,110,累计登录19天,110_name19,1,loginall,,19,110_reward19
49,110,累计登录20天,110_name20,1,loginall,,20,110_reward20
50,111,连续2天登录,111_name1,1,logincontinue,,2,111_reward1
51,111,连续3天登录,111_name2,1,logincontinue,,3,111_reward2
52,111,连续5天登录,111_name3,1,logincontinue,,5,111_reward3
53,111,连续7天登录,111_name4,1,logincontinue,,7,111_reward4
54,111,连续10天登录,111_name5,1,logincontinue,,10,111_reward5
55,111,连续15天登录,111_name6,1,logincontinue,,15,111_reward6
56,112,等级达到5级,112_name1,1,level,,5,112_reward1
57,112,等级达到10级,112_name2,1,level,,10,112_reward2
58,112,等级达到15级,112_name3,1,level,,15,112_reward3
59,112,等级达到20级,112_name4,1,level,,20,112_reward4
60,112,等级达到25级,112_name5,1,level,,25,112_reward5
61,112,等级达到30级,112_name6,1,level,,30,112_reward6
62,112,等级达到35级,112_name7,1,level,,35,112_reward7
63,112,等级达到40级,112_name8,1,level,,40,112_reward8
64,112,等级达到45级,112_name9,1,level,,45,112_reward9
65,112,等级达到50级,112_name10,1,level,,50,112_reward10
66,112,等级达到55级,112_name11,1,level,,55,112_reward11
67,112,等级达到60级,112_name12,1,level,,60,112_reward12
68,113,开服奖励,113_name1,1,free,,1,113_reward
69,114,充值任意,114_name1,2,paydiamond,,1,114_reward1
70,114,充值1600,114_name2,2,paydiamond,,1600,114_reward2
71,115,累计充值200钻石,115_name1,1,paydiamond,,200,115_reward1
72,115,累计充值800钻石,115_name2,1,paydiamond,,800,115_reward2
73,115,累计充值1600钻石,115_name3,1,paydiamond,,1600,115_reward3
74,115,累计充值3200钻石,115_name4,1,paydiamond,,3200,115_reward4
75,115,累计充值4800钻石,115_name5,1,paydiamond,,4800,115_reward5
76,115,累计充值8000钻石,115_name6,1,paydiamond,,8000,115_reward6
77,115,累计充值12800钻石,115_name7,1,paydiamond,,12800,115_reward7
78,115,累计充值16000钻石,115_name8,1,paydiamond,,16000,115_reward8
79,115,累计充值24000钻石,115_name9,1,paydiamond,,24000,115_reward9
80,115,累计充值32000钻石,115_name10,1,paydiamond,,32000,115_reward10
81,116,参与竞技场3次,116_name1,2,arenaenter,,3,116_reward1
82,116,参与竞技场5次,116_name2,2,arenaenter,,5,116_reward2
83,116,参与竞技场10次,116_name3,2,arenaenter,,10,116_reward3
84,116,竞技场胜利10次,116_name4,1,arenawin,,10,116_reward4
85,116,竞技场胜利20次,116_name5,1,arenawin,,20,116_reward5
86,116,竞技场胜利50次,116_name6,1,arenawin,,50,116_reward6
87,117,通天塔胜利5次,117_name1,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,5,117_reward1
88,117,通天塔胜利10次,117_name2,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,10,117_reward2
89,117,通天塔胜利15次,117_name3,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,15,117_reward3
90,117,通天塔胜利20次,117_name4,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,20,117_reward4
91,117,通天塔胜利25次,117_name5,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,25,117_reward5
92,117,通天塔胜利30次,117_name6,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,30,117_reward6
93,117,通天塔胜利35次,117_name7,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,35,117_reward7
94,117,通天塔胜利40次,117_name8,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,40,117_reward8
95,117,通天塔胜利45次,117_name9,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,45,117_reward9
96,117,通天塔胜利50次,117_name10,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,50,117_reward10
97,118,每日完成1次许愿,118_name1,2,guildpray,,1,118_reward1
98,118,每日赠送10次公会体力,118_name2,2,guildfatigue,,10,118_reward2
99,118,完成钻石许愿1次,118_name3,1,guildpray-x,3,1,118_reward3
100,118,完成钻石许愿5次,118_name4,1,guildpray-x,3,5,118_reward4
101,118,完成钻石许愿10次,118_name5,1,guildpray-x,3,10,118_reward5
102,118,开启公会任务1次,118_name6,1,guildquestopen,,1,118_reward6
103,118,开启公会任务5次,118_name7,1,guildquestopen,,5,118_reward7
104,118,开启公会任务10次,118_name8,1,guildquestopen,,10,118_reward8
105,118,完成公会任务1次,118_name9,1,guildquest,,1,118_reward9
106,118,完成公会任务5次,118_name10,1,guildquest,,5,118_reward10
107,118,完成公会任务10次,118_name11,1,guildquest,,10,118_reward11
108,119,领取大冒险奖励1次,119_name1,2,adventure,,1,119_reward1
109,119,领取大冒险奖励3次,119_name2,2,adventure,,3,119_reward2
110,119,领取大冒险奖励5次,119_name3,2,adventure,,5,119_reward3
111,119,大冒险使用雇佣兵1次,119_name4,2,adventurehire,,1,119_reward4
112,119,大冒险使用雇佣兵3次,119_name5,2,adventurehire,,3,119_reward5
113,119,大冒险使用雇佣兵5次,119_name6,2,adventurehire,,5,119_reward6
114,120,累计钻石十连抽1次,120_name1,1,eggdiamond10,,1,120_reward1
115,120,累计钻石十连抽5次,120_name2,1,eggdiamond10,,5,120_reward2
116,120,累计钻石十连抽10次,120_name3,1,eggdiamond10,,10,120_reward3
117,120,累计钻石十连抽15次,120_name4,1,eggdiamond10,,15,120_reward4
118,120,累计钻石十连抽20次,120_name5,1,eggdiamond10,,20,120_reward5
119,120,累计钻石十连抽30次,120_name6,1,eggdiamond10,,30,120_reward6
120,120,累计钻石十连抽50次,120_name7,1,eggdiamond10,,50,120_reward7
121,201,第1天,201_name1,1,loginall,,1,201_reward1
122,201,第2天,201_name2,1,loginall,,2,201_reward2
123,201,第3天,201_name3,1,loginall,,3,201_reward3
124,201,第4天,201_name4,1,loginall,,4,201_reward4
125,201,第5天,201_name5,1,loginall,,5,201_reward5
126,201,第6天,201_name6,1,loginall,,6,201_reward6
127,201,第7天,201_name7,1,loginall,,7,201_reward7
128,201,第8天,201_name8,1,loginall,,8,201_reward8
129,201,第9天,201_name9,1,loginall,,9,201_reward9
130,201,第10天,201_name10,1,loginall,,10,201_reward10
131,202,第1天,201_name1,1,loginall,,1,202_reward1
132,202,第2天,201_name2,1,loginall,,2,202_reward2
133,202,第3天,201_name3,1,loginall,,3,202_reward3
134,202,第4天,201_name4,1,loginall,,4,202_reward4
135,202,第5天,201_name5,1,loginall,,5,202_reward5
136,202,第6天,201_name6,1,loginall,,6,202_reward6
137,202,第7天,201_name7,1,loginall,,7,202_reward7
138,202,第8天,201_name8,1,loginall,,8,202_reward8
139,202,第9天,201_name9,1,loginall,,9,202_reward9
140,202,第10天,201_name10,1,loginall,,10,202_reward10
141,203,等级达到5级,203_name1,1,level,,5,203_reward1
142,203,等级达到10级,203_name2,1,level,,10,203_reward2
143,203,等级达到15级,203_name3,1,level,,15,203_reward3
144,203,等级达到20级,203_name4,1,level,,20,203_reward4
145,203,等级达到25级,203_name5,1,level,,25,203_reward5
146,203,等级达到30级,203_name6,1,level,,30,203_reward6
147,203,等级达到35级,203_name7,1,level,,35,203_reward7
148,203,等级达到40级,203_name8,1,level,,40,203_reward8
149,203,等级达到45级,203_name9,1,level,,45,203_reward9
150,203,等级达到50级,203_name10,1,level,,50,203_reward10
151,203,等级达到55级,203_name11,1,level,,55,203_reward11
152,203,等级达到60级,203_name12,1,level,,60,203_reward12
153,204,今日充值任意数量钻石,204_name1,2,paydiamond,,1,204_reward1
154,204,今日充值1600个钻石,204_name2,2,paydiamond,,1600,204_reward2
155,204,今日充值4000个钻石,204_name3,2,paydiamond,,4000,204_reward3
156,205,今日充值任意数量钻石,204_name1,2,paydiamond,,1,205_reward1
157,205,今日充值1600个钻石,204_name2,2,paydiamond,,1600,205_reward2
158,205,今日充值4000个钻石,204_name3,2,paydiamond,,4000,205_reward3
159,206,今日充值任意数量钻石,204_name1,2,paydiamond,,1,206_reward1
160,206,今日充值1600个钻石,204_name2,2,paydiamond,,1600,206_reward2
161,206,今日充值4000个钻石,204_name3,2,paydiamond,,4000,206_reward3
162,207,今日充值任意数量钻石,204_name1,2,paydiamond,,1,207_reward1
163,207,今日充值1600个钻石,204_name2,2,paydiamond,,1600,207_reward2
164,207,今日充值4000个钻石,204_name3,2,paydiamond,,4000,207_reward3
165,208,累计充值200钻石,208_name1,1,paydiamond,,200,208_reward1
166,208,累计充值800钻石,208_name2,1,paydiamond,,800,208_reward2
167,208,累计充值1600钻石,208_name3,1,paydiamond,,1600,208_reward3
168,208,累计充值3200钻石,208_name4,1,paydiamond,,3200,208_reward4
169,208,累计充值4800钻石,208_name5,1,paydiamond,,4800,208_reward5
170,208,累计充值8000钻石,208_name6,1,paydiamond,,8000,208_reward6
171,208,累计充值12800钻石,208_name7,1,paydiamond,,12800,208_reward7
172,208,累计充值16000钻石,208_name8,1,paydiamond,,16000,208_reward8
173,208,累计充值24000钻石,208_name9,1,paydiamond,,24000,208_reward9
174,208,累计充值32000钻石,208_name10,1,paydiamond,,32000,208_reward10
175,209,累计充值200钻石,208_name1,1,paydiamond,,200,209_reward1
176,209,累计充值800钻石,208_name2,1,paydiamond,,800,209_reward2
177,209,累计充值1600钻石,208_name3,1,paydiamond,,1600,209_reward3
178,209,累计充值3200钻石,208_name4,1,paydiamond,,3200,209_reward4
179,209,累计充值4800钻石,208_name5,1,paydiamond,,4800,209_reward5
180,209,累计充值8000钻石,208_name6,1,paydiamond,,8000,209_reward6
181,209,累计充值12800钻石,208_name7,1,paydiamond,,12800,209_reward7
182,209,累计充值16000钻石,208_name8,1,paydiamond,,16000,209_reward8
183,209,累计充值24000钻石,208_name9,1,paydiamond,,24000,209_reward9
184,209,累计充值32000钻石,208_name10,1,paydiamond,,32000,209_reward10
185,210,累计充值200钻石,208_name1,1,paydiamond,,200,210_reward1
186,210,累计充值800钻石,208_name2,1,paydiamond,,800,210_reward2
187,210,累计充值1600钻石,208_name3,1,paydiamond,,1600,210_reward3
188,210,累计充值3200钻石,208_name4,1,paydiamond,,3200,210_reward4
189,210,累计充值4800钻石,208_name5,1,paydiamond,,4800,210_reward5
190,210,累计充值8000钻石,208_name6,1,paydiamond,,8000,210_reward6
191,210,累计充值12800钻石,208_name7,1,paydiamond,,12800,210_reward7
192,210,累计充值16000钻石,208_name8,1,paydiamond,,16000,210_reward8
193,210,累计充值24000钻石,208_name9,1,paydiamond,,24000,210_reward9
194,210,累计充值32000钻石,208_name10,1,paydiamond,,32000,210_reward10
195,211,累计充值200钻石,208_name1,1,paydiamond,,200,211_reward1
196,211,累计充值800钻石,208_name2,1,paydiamond,,800,211_reward2
197,211,累计充值1600钻石,208_name3,1,paydiamond,,1600,211_reward3
198,211,累计充值3200钻石,208_name4,1,paydiamond,,3200,211_reward4
199,211,累计充值4800钻石,208_name5,1,paydiamond,,4800,211_reward5
200,211,累计充值8000钻石,208_name6,1,paydiamond,,8000,211_reward6
201,211,累计充值12800钻石,208_name7,1,paydiamond,,12800,211_reward7
202,211,累计充值16000钻石,208_name8,1,paydiamond,,16000,211_reward8
203,211,累计充值24000钻石,208_name9,1,paydiamond,,24000,211_reward9
204,211,累计充值32000钻石,208_name10,1,paydiamond,,32000,211_reward10
205,212,参与竞技场3次,212_name1,2,arenaenter,,3,212_reward1
206,212,参与竞技场5次,212_name2,2,arenaenter,,5,212_reward2
207,212,参与竞技场10次,212_name3,2,arenaenter,,10,212_reward3
208,212,竞技场胜利5次,212_name4,1,arenawin,,5,212_reward4
209,212,竞技场胜利10次,212_name5,1,arenawin,,10,212_reward5
210,212,竞技场胜利20次,212_name6,1,arenawin,,20,212_reward6
211,213,通天塔胜利5次,213_name1,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,5,213_reward1
212,213,通天塔胜利10次,213_name2,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,10,213_reward2
213,213,通天塔胜利15次,213_name3,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,15,213_reward3
214,213,通天塔胜利20次,213_name4,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,20,213_reward4
215,213,通天塔胜利25次,213_name5,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,25,213_reward5
216,213,通天塔胜利30次,213_name6,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,30,213_reward6
217,213,通天塔胜利35次,213_name7,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,35,213_reward7
218,213,通天塔胜利40次,213_name8,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,40,213_reward8
219,213,通天塔胜利45次,213_name9,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,45,213_reward9
220,213,通天塔胜利50次,213_name10,1,instance-x,shilianta1|shilianta2|shilianta3|shilianta4|shilianta5|shilianta6|shilianta7|shilianta8|shilianta9|shilianta10|shilianta11|shilianta12|shilianta13|shilianta14|shilianta15|shilianta16|shilianta17|shilianta18|shilianta19|shilianta20|siwangta1|siwangta2|siwangta3|siwangta4|siwangta5|siwangta6|siwangta7|siwangta8|siwangta9|siwangta10|siwangta11|siwangta12|siwangta13|siwangta14|siwangta15|siwangta16|siwangta17|siwangta18|siwangta19|siwangta20|siwangta21|siwangta22|siwangta23|siwangta24|siwangta25|siwangta26|siwangta27|siwangta28|siwangta29|siwangta30,50,213_reward10
221,214,每日完成1次许愿,214_name1,2,guildpray,,1,214_reward1
222,214,每日赠送10次公会体力,214_name2,2,guildfatigue,,10,214_reward2
223,214,完成钻石许愿1次,214_name3,2,guildpray-x,3,1,214_reward3
224,214,开启公会任务1次,214_name4,2,guildquestopen,,1,214_reward4
225,214,开启公会任务3次,214_name5,2,guildquestopen,,3,214_reward5
226,215,领取大冒险奖励1次,215_name1,2,adventure,,1,215_reward1
227,215,领取大冒险奖励3次,215_name2,2,adventure,,3,215_reward2
228,215,领取大冒险奖励5次,215_name3,2,adventure,,5,215_reward3
229,215,大冒险使用雇佣兵1次,215_name4,2,adventurehire,,1,215_reward4
230,215,大冒险使用雇佣兵2次,215_name5,2,adventurehire,,2,215_reward5
231,215,大冒险使用雇佣兵3次,215_name6,2,adventurehire,,3,215_reward6
232,216,累计钻石十连抽1次,216_name1,1,eggdiamond10,,1,216_reward1
233,216,累计钻石十连抽5次,216_name2,1,eggdiamond10,,5,216_reward2
234,216,累计钻石十连抽10次,216_name3,1,eggdiamond10,,10,216_reward3
235,216,累计钻石十连抽15次,216_name4,1,eggdiamond10,,15,216_reward4
236,216,累计钻石十连抽20次,216_name5,1,eggdiamond10,,20,216_reward5
237,216,累计钻石十连抽30次,216_name6,1,eggdiamond10,,30,216_reward6
