TEXT,NUM,NUM,NUM,NUM,TEXT,NUM,NUM,TEXT,TEXT,FLOAT,TEXT,NUM,FLOAT,NUM,NUM,TEXT,NUM,NUM,NUM,TEXT,FLOAT
attackMetalStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,1,,12345,,0,,1
attackMetalStabStronge1,2,1,0,0,,,,,attackMetalStabStronge2,1,"""""",,,,,,12345,,,,1
attackMetalStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,1,,12345,,0,,1
attackPlantStabSlighte1,2,1,0,0,,,,,attackPlantStabSlighte2,1,"""""",,,,,,12345,,,,1
attackPlantStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,2,,12345,,0,,1
attackPlantStabMediume1,2,1,0,0,,,,,attackPlantStabMediume2,1,"""""",,,,,,12345,,,,1
attackPlantStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,2,,12345,,0,,1
attackPlantStabStronge1,2,1,0,0,,,,,attackPlantStabStronge2,1,"""""",,,,,,12345,,,,1
attackPlantStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,2,,12345,,0,,1
attackWaterStabSlighte1,2,1,0,0,,,,,attackWaterStabSlighte2,1,"""""",,,,,,12345,,,,1
attackWaterStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,3,,12345,,0,,1
attackWaterStabMediume1,2,1,0,0,,,,,attackWaterStabMediume2,1,"""""",,,,,,12345,,,,1
attackWaterStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,3,,12345,,0,,1
attackWaterStabStronge1,2,1,0,0,,,,,attackWaterStabStronge2,1,"""""",,,,,,12345,,,,1
attackWaterStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,3,,12345,,0,,1
attackFireStabSlighte1,2,1,0,0,,,,,attackFireStabSlighte2,1,"""""",,,,,,12345,,,,1
attackFireStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,4,,12345,,0,,1
attackFireStabMediume1,2,1,0,0,,,,,attackFireStabMediume2,1,"""""",,,,,,12345,,,,1
attackFireStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,4,,12345,,0,,1
attackFireStabStronge1,2,1,0,0,,,,,attackFireStabStronge2,1,"""""",,,,,,12345,,,,1
attackFireStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,4,,12345,,0,,1
attackEarthStabSlighte1,2,1,0,0,,,,,attackEarthStabSlighte2,1,"""""",,,,,,12345,,,,1
attackEarthStabSlighte2,3,1,0,0,,,,,,,,0,1.3,0,5,,12345,,0,,1
attackEarthStabMediume1,2,1,0,0,,,,,attackEarthStabMediume2,1,"""""",,,,,,12345,,,,1
attackEarthStabMediume2,3,1,0,0,,,,,,,,0,1.5,0,5,,12345,,0,,1
attackEarthStabStronge1,2,1,0,0,,,,,attackEarthStabStronge2,1,"""""",,,,,,12345,,,,1
attackEarthStabStronge2,3,1,0,0,,,,,,,,0,1.8,0,5,,12345,,0,,1
attackMetalSmashSlighte1,2,1,0,0,,,,,attackMetalSmashSlighte2,1,"""""",,,,,,12345,,,,1
attackMetalSmashSlighte2,3,1,0,0,,,,,,,,0,1.3,0,1,,12345,,0,,1
attackMetalSmashMediume1,2,1,0,0,,,,,attackMetalSmashMediume2,1,"""""",,,,,,12345,,,,1
attackMetalSmashMediume2,3,1,0,0,,,,,,,,0,1.5,0,1,,12345,,0,,1
attackMetalSmashStronge1,2,1,0,0,,,,,attackMetalSmashStronge2,1,"""""",,,,,,12345,,,,1
attackMetalSmashStronge2,3,1,0,0,,,,,,,,0,1.8,0,1,,12345,,0,,1
attackPlantSmashSlighte1,2,1,0,0,,,,,attackPlantSmashSlighte2,1,"""""",,,,,,12345,,,,1
attackPlantSmashSlighte2,3,1,0,0,,,,,,,,0,1.3,0,2,,12345,,0,,1
attackPlantSmashMediume1,2,1,0,0,,,,,attackPlantSmashMediume2,1,"""""",,,,,,12345,,,,1
attackPlantSmashMediume2,3,1,0,0,,,,,,,,0,1.5,0,2,,12345,,0,,1
attackPlantSmashStronge1,2,1,0,0,,,,,attackPlantSmashStronge2,1,"""""",,,,,,12345,,,,1
attackPlantSmashStronge2,3,1,0,0,,,,,,,,0,1.8,0,2,,12345,,0,,1
attackWaterSmashSlighte1,2,1,0,0,,,,,attackWaterSmashSlighte2,1,"""""",,,,,,12345,,,,1
attackWaterSmashSlighte2,3,1,0,0,,,,,,,,0,1.3,0,3,,12345,,0,,1
attackWaterSmashMediume1,2,1,0,0,,,,,attackWaterSmashMediume2,1,"""""",,,,,,12345,,,,1
attackWaterSmashMediume2,3,1,0,0,,,,,,,,0,1.5,0,3,,12345,,0,,1
attackWaterSmashStronge1,2,1,0,0,,,,,attackWaterSmashStronge2,1,"""""",,,,,,12345,,,,1
attackWaterSmashStronge2,3,1,0,0,,,,,,,,0,1.8,0,3,,12345,,0,,1
attackFireSmashSlighte1,2,1,0,0,,,,,attackFireSmashSlighte2,1,"""""",,,,,,12345,,,,1
attackFireSmashSlighte2,3,1,0,0,,,,,,,,0,1.3,0,4,,12345,,0,,1
attackFireSmashMediume1,2,1,0,0,,,,,attackFireSmashMediume2,1,"""""",,,,,,12345,,,,1
attackFireSmashMediume2,3,1,0,0,,,,,,,,0,1.5,0,4,,12345,,0,,1
attackFireSmashStronge1,2,1,0,0,,,,,attackFireSmashStronge2,1,"""""",,,,,,12345,,,,1
attackFireSmashStronge2,3,1,0,0,,,,,,,,0,1.8,0,4,,12345,,0,,1
attackEarthSmashSlighte1,2,1,0,0,,,,,attackEarthSmashSlighte2,1,"""""",,,,,,12345,,,,1
attackEarthSmashSlighte2,3,1,0,0,,,,,,,,0,1.3,0,5,,12345,,0,,1
attackEarthSmashMediume1,2,1,0,0,,,,,attackEarthSmashMediume2,1,"""""",,,,,,12345,,,,1
attackEarthSmashMediume2,3,1,0,0,,,,,,,,0,1.5,0,5,,12345,,0,,1
attackEarthSmashStronge1,2,1,0,0,,,,,attackEarthSmashStronge2,1,"""""",,,,,,12345,,,,1
attackEarthSmashStronge2,3,1,0,0,,,,,,,,0,1.8,0,5,,12345,,0,,1
attackMetalSlighte1,2,1,0,0,,,,,attackMetalSlighte2,1,"""""",,,,,,12345,,,,1
attackMetalSlighte2,3,1,0,0,,,,,,,,0,1.3,0,1,,12345,,0,,1
attackPlantSlighte1,2,1,0,0,,,,,attackPlantSlighte2,1,"""""",,,,,,12345,,,,1
attackPlantSlighte2,3,1,0,0,,,,,,,,0,1.3,0,2,,12345,,0,,1
attackWaterSlighte1,2,1,0,0,,,,,attackWaterSlighte2,1,"""""",,,,,,12345,,,,1
attackWaterSlighte2,3,1,0,0,,,,,,,,0,1.3,0,3,,12345,,0,,1
attackFireSlighte1,2,1,0,0,,,,,attackFireSlighte2,1,"""""",,,,,,12345,,,,1
attackFireSlighte2,3,1,0,0,,,,,,,,0,1.3,0,4,,12345,,0,,1
attackEarthSlighte1,2,1,0,0,,,,,attackEarthSlighte2,1,"""""",,,,,,12345,,,,1
attackEarthSlighte2,3,1,0,0,,,,,,,,0,1.3,0,5,,12345,,0,,1
magicMetalBallSlighte1,2,1,0,0,,,,,magicMetalBallSlighte2,1.5,"""""",,,,,,12345,,,,1
magicMetalBallSlighte2,3,1,0,0,,,,,,,,1,1.3,0,1,,12345,,0,,1
magicMetalBallMediume1,2,1,0,0,,,,,magicMetalBallMediume2,1.5,"""""",,,,,,12345,,,,1
magicMetalBallMediume2,3,1,0,0,,,,,,,,1,1.5,0,1,,12345,,0,,1
magicMetalBallStronge1,2,1,0,0,,,,,magicMetalBallStronge2,1.5,"""""",,,,,,12345,,,,1
magicMetalBallStronge2,3,1,0,0,,,,,,,,1,1.8,0,1,,12345,,0,,1
magicMetalColumnSlighte1,2,1,0,0,,,,,magicMetalColumnSlighte2,1.5,"""""",,,,,,12345,,,,1
magicMetalColumnSlighte2,3,1,0,0,,,,,,,,1,1.3,0,1,,12345,,0,,1
magicMetalColumnMediume1,2,1,0,0,,,,,magicMetalColumnMediume2,1.5,"""""",,,,,,12345,,,,1
magicMetalColumnMediume2,3,1,0,0,,,,,,,,1,1.5,0,1,,12345,,0,,1
magicMetalColumnStronge1,2,1,0,0,,,,,magicMetalColumnStronge2,1.5,"""""",,,,,,12345,,,,1
magicMetalColumnStronge2,3,1,0,0,,,,,,,,1,1.8,0,1,,12345,,0,,1
magicPlantBallSlighte1,2,1,0,0,,,,,magicPlantBallSlighte2,1.5,"""""",,,,,,12345,,,,1
magicPlantBallSlighte2,3,1,0,0,,,,,,,,1,1.3,0,2,,12345,,0,,1
magicPlantBallMediume1,2,1,0,0,,,,,magicPlantBallMediume2,1.5,"""""",,,,,,12345,,,,1
magicPlantBallMediume2,3,1,0,0,,,,,,,,1,1.5,0,2,,12345,,0,,1
magicPlantBallStronge1,2,1,0,0,,,,,magicPlantBallStronge2,1.5,"""""",,,,,,12345,,,,1
magicPlantBallStronge2,3,1,0,0,,,,,,,,1,1.8,0,2,,12345,,0,,1
magicPlantColumnSlighte1,2,1,0,0,,,,,magicPlantColumnSlighte2,1.5,"""""",,,,,,12345,,,,1
magicPlantColumnSlighte2,3,1,0,0,,,,,,,,1,1.3,0,2,,12345,,0,,1
magicPlantColumnMediume1,2,1,0,0,,,,,magicPlantColumnMediume2,1.5,"""""",,,,,,12345,,,,1
magicPlantColumnMediume2,3,1,0,0,,,,,,,,1,1.5,0,2,,12345,,0,,1
magicPlantColumnStronge1,2,1,0,0,,,,,magicPlantColumnStronge2,1.5,"""""",,,,,,12345,,,,1
magicPlantColumnStronge2,3,1,0,0,,,,,,,,1,1.8,0,2,,12345,,0,,1
magicWaterBallSlighte1,2,1,0,0,,,,,magicWaterBallSlighte2,1.5,"""""",,,,,,12345,,,,1
magicWaterBallSlighte2,3,1,0,0,,,,,,,,1,1.3,0,3,,12345,,0,,1
magicWaterBallMediume1,2,1,0,0,,,,,magicWaterBallMediume2,1.5,"""""",,,,,,12345,,,,1
magicWaterBallMediume2,3,1,0,0,,,,,,,,1,1.5,0,3,,12345,,0,,1
magicWaterBallStronge1,2,1,0,0,,,,,magicWaterBallStronge2,1.5,"""""",,,,,,12345,,,,1
magicWaterBallStronge2,3,1,0,0,,,,,,,,1,1.8,0,3,,12345,,0,,1
magicWaterColumnSlighte1,2,1,0,0,,,,,magicWaterColumnSlighte2,1.5,"""""",,,,,,12345,,,,1
magicWaterColumnSlighte2,3,1,0,0,,,,,,,,1,1.3,0,3,,12345,,0,,1
magicWaterColumnMediume1,2,1,0,0,,,,,magicWaterColumnMediume2,1.5,"""""",,,,,,12345,,,,1
magicWaterColumnMediume2,3,1,0,0,,,,,,,,1,1.5,0,3,,12345,,0,,1
magicWaterColumnStronge1,2,1,0,0,,,,,magicWaterColumnStronge2,1.5,"""""",,,,,,12345,,,,1
magicWaterColumnStronge2,3,1,0,0,,,,,,,,1,1.8,0,3,,12345,,0,,1
magicFireBallSlighte1,2,1,0,0,,,,,magicFireBallSlighte2,1.5,"""""",,,,,,12345,,,,1
magicFireBallSlighte2,3,1,0,0,,,,,,,,1,1.3,0,4,,12345,,0,,1
magicFireBallMediume1,2,1,0,0,,,,,magicFireBallMediume2,1.5,"""""",,,,,,12345,,,,1
magicFireBallMediume2,3,1,0,0,,,,,,,,1,1.5,0,4,,12345,,0,,1
magicFireBallStronge1,2,1,0,0,,,,,magicFireBallStronge2,1.5,"""""",,,,,,12345,,,,1
magicFireBallStronge2,3,1,0,0,,,,,,,,1,1.8,0,4,,12345,,0,,1
magicFireColumnSlighte1,2,1,0,0,,,,,magicFireColumnSlighte2,1.5,"""""",,,,,,12345,,,,1
magicFireColumnSlighte2,3,1,0,0,,,,,,,,1,1.3,0,4,,12345,,0,,1
magicFireColumnMediume1,2,1,0,0,,,,,magicFireColumnMediume2,1.5,"""""",,,,,,12345,,,,1
magicFireColumnMediume2,3,1,0,0,,,,,,,,1,1.5,0,4,,12345,,0,,1
magicFireColumnStronge1,2,1,0,0,,,,,magicFireColumnStronge2,1.5,"""""",,,,,,12345,,,,1
magicFireColumnStronge2,3,1,0,0,,,,,,,,1,1.8,0,4,,12345,,0,,1
magicEarthBallSlighte1,2,1,0,0,,,,,magicEarthBallSlighte2,1.5,"""""",,,,,,12345,,,,1
magicEarthBallSlighte2,3,1,0,0,,,,,,,,1,1.3,0,5,,12345,,0,,1
magicEarthBallMediume1,2,1,0,0,,,,,magicEarthBallMediume2,1.5,"""""",,,,,,12345,,,,1
magicEarthBallMediume2,3,1,0,0,,,,,,,,1,1.5,0,5,,12345,,0,,1
magicEarthBallStronge1,2,1,0,0,,,,,magicEarthBallStronge2,1.5,"""""",,,,,,12345,,,,1
magicEarthBallStronge2,3,1,0,0,,,,,,,,1,1.8,0,5,,12345,,0,,1
magicEarthColumnSlighte1,2,1,0,0,,,,,magicEarthColumnSlighte2,1.5,"""""",,,,,,12345,,,,1
magicEarthColumnSlighte2,3,1,0,0,,,,,,,,1,1.3,0,5,,12345,,0,,1
magicEarthColumnMediume1,2,1,0,0,,,,,magicEarthColumnMediume2,1.5,"""""",,,,,,12345,,,,1
magicEarthColumnMediume2,3,1,0,0,,,,,,,,1,1.5,0,5,,12345,,0,,1
magicEarthColumnStronge1,2,1,0,0,,,,,magicEarthColumnStronge2,1.5,"""""",,,,,,12345,,,,1
magicEarthColumnStronge2,3,1,0,0,,,,,,,,1,1.8,0,5,,12345,,0,,1
magicMetalSlighte1,2,1,0,0,,,,,magicMetalSlighte2,1.5,"""""",,,,,,12345,,,,1
magicMetalSlighte2,3,1,0,0,,,,,,,,1,1.3,0,1,,12345,,0,,1
magicPlantSlighte1,2,1,0,0,,,,,magicPlantSlighte2,1.5,"""""",,,,,,12345,,,,1
magicPlantSlighte2,3,1,0,0,,,,,,,,1,1.3,0,2,,12345,,0,,1
magicWaterSlighte1,2,1,0,0,,,,,magicWaterSlighte2,1.5,"""""",,,,,,12345,,,,1
magicWaterSlighte2,3,1,0,0,,,,,,,,1,1.3,0,3,,12345,,0,,1
magicFireSlighte1,2,1,0,0,,,,,magicFireSlighte2,1.5,"""""",,,,,,12345,,,,1
magicFireSlighte2,3,1,0,0,,,,,,,,1,1.3,0,4,,12345,,0,,1
magicEarthSlighte1,2,1,0,0,,,,,magicEarthSlighte2,1.5,"""""",,,,,,12345,,,,1
magicEarthSlighte2,3,1,0,0,,,,,,,,1,1.3,0,5,,12345,,0,,1
magicCureSlighte1,2,1,0,0,,,,,magicCureSlighte2,1.5,"""""",,,,,,12345,,,,1
magicCureSlighte2,3,1,0,0,,,,,,,,1,0.54,1,0,,12345,,0,,1
magicCureMediume1,2,1,0,0,,,,,magicCureMediume2,1.5,"""""",,,,,,12345,,,,1
magicCureMediume2,3,1,0,0,,,,,,,,1,0.62,1,0,,12345,,0,,1
magicCureStronge1,2,1,0,0,,,,,magicCureStronge2,1.5,"""""",,,,,,12345,,,,1
magicCureStronge2,3,1,0,0,,,,,,,,1,0.75,1,0,,12345,,0,,1
buffSpeede1,2,1,0,0,,,,,buffSpeede2,1.5,"""""",,,,,,12345,,,,1
buffSpeede2,4,1,0,0,,,,,,,,,,,,buffSpeedb1,12345,,,,1
buffSpeedSelfe1,2,1,1,0,,,,,buffSpeedSelfe2,1.5,"""""",,,,,,12345,,,,1
buffSpeedSelfe2,4,1,1,0,,,,,,,,,,,,buffSpeedSelfb1,12345,,,,1
buffMagice1,2,1,0,0,,,,,buffMagice2,1.5,"""""",,,,,,12345,,,,1
buffMagice2,4,1,0,0,,,,,,,,,,,,buffMagicb1,12345,,,,1
buffMagicSelfe1,2,1,1,0,,,,,buffMagicSelfe2,1.5,"""""",,,,,,12345,,,,1
buffMagicSelfe2,4,1,1,0,,,,,,,,,,,,buffMagicSelfb1,12345,,,,1
buffAttacke1,2,1,0,0,,,,,buffAttacke2,1.5,"""""",,,,,,12345,,,,1
buffAttacke2,4,1,0,0,,,,,,,,,,,,buffAttackb1,12345,,,,1
buffDefensee1,2,1,0,0,,,,,buffDefensee2,1.5,"""""",,,,,,12345,,,,1
buffDefensee2,4,1,0,0,,,,,,,,,,,,buffDefenseb1,12345,,,,1
buffDefenseSelfe1,2,1,1,0,,,,,buffDefenseSelfe2,1.5,"""""",,,,,,12345,,,,1
buffDefenseSelfe2,4,1,1,0,,,,,,,,,,,,buffDefenseSelfb1,12345,,,,1
buffAttackSelfe1,2,1,1,0,,,,,buffAttackSelfe2,1.5,"""""",,,,,,12345,,,,1
buffAttackSelfe2,4,1,1,0,,,,,,,,,,,,buffAttackSelfb1,12345,,,,1
debuffDefensee1,2,1,0,0,,,,,debuffDefensee2,1.5,"""""",,,,,,12345,,,,1
debuffDefensee2,4,1,0,0,,,,,,,,,,,,debuffDefenseb1,12345,,,,1
dispelBeneficiale1,0,1,0,0,"[""dispelBeneficiale2"",""dispelBeneficiale3"",""dispelBeneficiale4"",""dispelBeneficiale5"",""dispelBeneficiale6"",""dispelBeneficiale7"",""dispelBeneficiale8"",""dispelBeneficiale9"",""dispelBeneficiale10""]",,,,,,,,,,,,12345,,,,1
dispelBeneficiale2,6,1,0,,,,,,,,,,,,,,12345,2,,,1
dispelBeneficiale3,6,1,0,,,,,,,,,,,,,,12345,5,,,1
dispelBeneficiale4,6,1,0,,,,,,,,,,,,,,12345,7,,,1
dispelBeneficiale5,6,1,0,,,,,,,,,,,,,,12345,9,,,1
dispelBeneficiale6,6,1,0,,,,,,,,,,,,,,12345,8,,,1
dispelBeneficiale7,6,1,0,,,,,,,,,,,,,,12345,10,,,1
dispelBeneficiale8,6,1,0,,,,,,,,,,,,,,12345,0,,,1
dispelBeneficiale9,6,1,0,,,,,,,,,,,,,,12345,15,,,1
dispelBeneficiale10,6,1,0,,,,,,,,,,,,,,12345,16,,,1
dispelNegativee1,0,1,0,0,"[""dispelNegativee2"",""dispelNegativee3"",""dispelNegativee4"",""dispelNegativee5"",""dispelNegativee6""]",,,,,,,,,,,,12345,,,,1
dispelNegativee2,6,1,0,,,,,,,,,,,,,,12345,1,,,1
dispelNegativee3,6,1,0,,,,,,,,,,,,,,12345,4,,,1
dispelNegativee4,6,1,0,,,,,,,,,,,,,,12345,12,,,1
dispelNegativee5,6,1,0,,,,,,,,,,,,,,12345,13,,,1
dispelNegativee6,6,1,0,,,,,,,,,,,,,,12345,14,,,1
phydazhaoPreparee1,4,1,1,0,,,,,,,,,,,,phydazhaoPrepareb1,12345,,,,1
magicdazhaoPreparee1,4,1,1,0,,,,,,,,,,,,magicdazhaoPrepareb1,12345,,,,1
buffHote1,2,1,0,0,,,,,buffHote2,1.5,"""""",,,,,,12345,,,,1
buffHote2,4,1,0,,,,,,,,,,,,,buffHotb1,12345,,,,1
buffHote3,3,1,0,0,,,,,,,,1,0.25,1,0,,12345,,,,1
debuffAttacke1,2,1,0,0,,,,,debuffAttacke2,1.5,"""""",,,,,,12345,,,,1
debuffAttacke2,4,1,0,,,,,,,,,,,,,debuffAttackb1,12345,,,,1
debuffMagice1,2,1,0,0,,,,,debuffMagice2,1.5,"""""",,,,,,12345,,,,1
debuffMagice2,4,1,0,,,,,,,,,,,,,debuffMagicb1,12345,,,,1
debuffSpeede1,2,1,0,0,,,,,debuffSpeede2,1.5,"""""",,,,,,12345,,,,1
debuffSpeede2,4,1,0,,,,,,,,,,,,,debuffSpeedb1,12345,,,,1
physicdebuffFireDotSlighte1,2,1,0,0,,,,,physicdebuffFireDotSlighte2,1.5,"""""",,,,,,12345,,,,1
physicdebuffFireDotSlighte2,4,1,0,,,,,,,,,,,,,physicdebuffFireDotSlightb1,12345,,,,1
physicdebuffFireDotSlighte3,3,1,0,0,,,,,,,,0,0.7,0,4,,12345,,,,1
physicdebuffFireDotMediume1,2,1,0,0,,,,,physicdebuffFireDotMediume2,1.5,"""""",,,,,,12345,,,,1
physicdebuffFireDotMediume2,4,1,0,,,,,,,,,,,,,physicdebuffFireDotMediumb1,12345,,,,1
physicdebuffFireDotMediume3,3,1,0,0,,,,,,,,0,0.8,0,4,,12345,,,,1
physicdebuffFireDotStronge1,2,1,0,0,,,,,physicdebuffFireDotStronge2,1.5,"""""",,,,,,12345,,,,1
physicdebuffFireDotStronge2,4,1,0,,,,,,,,,,,,,physicdebuffFireDotStrongb1,12345,,,,1
physicdebuffFireDotStronge3,3,1,0,0,,,,,,,,0,0.97,0,4,,12345,,,,1
physicdebuffWaterDotSlighte1,2,1,0,0,,,,,physicdebuffWaterDotSlighte2,1.5,"""""",,,,,,12345,,,,1
physicdebuffWaterDotSlighte2,4,1,0,,,,,,,,,,,,,physicdebuffWaterDotSlightb1,12345,,,,1
physicdebuffWaterDotSlighte3,3,1,0,0,,,,,,,,0,0.7,0,3,,12345,,,,1
physicdebuffWaterDotMediume1,2,1,0,0,,,,,physicdebuffWaterDotMediume2,1.5,"""""",,,,,,12345,,,,1
physicdebuffWaterDotMediume2,4,1,0,,,,,,,,,,,,,physicdebuffWaterDotMediumb1,12345,,,,1
physicdebuffWaterDotMediume3,3,1,0,0,,,,,,,,0,0.8,0,3,,12345,,,,1
physicdebuffWaterDotStronge1,2,1,0,0,,,,,physicdebuffWaterDotStronge2,1.5,"""""",,,,,,12345,,,,1
physicdebuffWaterDotStronge2,4,1,0,,,,,,,,,,,,,physicdebuffWaterDotStrongb1,12345,,,,1
physicdebuffWaterDotStronge3,3,1,0,0,,,,,,,,0,0.97,0,3,,12345,,,,1
physicdebuffPlantDotSlighte1,2,1,0,0,,,,,physicdebuffPlantDotSlighte2,1.5,"""""",,,,,,12345,,,,1
physicdebuffPlantDotSlighte2,4,1,0,,,,,,,,,,,,,physicdebuffPlantDotSlightb1,12345,,,,1
physicdebuffPlantDotSlighte3,3,1,0,0,,,,,,,,0,0.7,0,2,,12345,,,,1
physicdebuffPlantDotMediume1,2,1,0,0,,,,,physicdebuffPlantDotMediume2,1.5,"""""",,,,,,12345,,,,1
physicdebuffPlantDotMediume2,4,1,0,,,,,,,,,,,,,physicdebuffPlantDotMediumb1,12345,,,,1
physicdebuffPlantDotMediume3,3,1,0,0,,,,,,,,0,0.8,0,2,,12345,,,,1
physicdebuffPlantDotStronge1,2,1,0,0,,,,,physicdebuffPlantDotStronge2,1.5,"""""",,,,,,12345,,,,1
physicdebuffPlantDotStronge2,4,1,0,,,,,,,,,,,,,physicdebuffPlantDotStrongb1,12345,,,,1
physicdebuffPlantDotStronge3,3,1,0,0,,,,,,,,0,0.97,0,2,,12345,,,,1
physicdebuffMetalDotSlighte1,2,1,0,0,,,,,physicdebuffMetalDotSlighte2,1.5,"""""",,,,,,12345,,,,1
physicdebuffMetalDotSlighte2,4,1,0,,,,,,,,,,,,,physicdebuffMetalDotSlightb1,12345,,,,1
physicdebuffMetalDotSlighte3,3,1,0,0,,,,,,,,0,0.7,0,1,,12345,,,,1
physicdebuffMetalDotMediume1,2,1,0,0,,,,,physicdebuffMetalDotMediume2,1.5,"""""",,,,,,12345,,,,1
physicdebuffMetalDotMediume2,4,1,0,,,,,,,,,,,,,physicdebuffMetalDotMediumb1,12345,,,,1
physicdebuffMetalDotMediume3,3,1,0,0,,,,,,,,0,0.8,0,1,,12345,,,,1
physicdebuffMetalDotStronge1,2,1,0,0,,,,,physicdebuffMetalDotStronge2,1.5,"""""",,,,,,12345,,,,1
physicdebuffMetalDotStronge2,4,1,0,,,,,,,,,,,,,physicdebuffMetalDotStrongb1,12345,,,,1
physicdebuffMetalDotStronge3,3,1,0,0,,,,,,,,0,0.97,0,1,,12345,,,,1
physicdebuffEarthDotSlighte1,2,1,0,0,,,,,physicdebuffEarthDotSlighte2,1.5,"""""",,,,,,12345,,,,1
physicdebuffEarthDotSlighte2,4,1,0,,,,,,,,,,,,,physicdebuffEarthDotSlightb1,12345,,,,1
physicdebuffEarthDotSlighte3,3,1,0,0,,,,,,,,0,0.7,0,5,,12345,,,,1
