#TEXT,TEXT,NUM,NUM,NUM,NUM,NUM,FLOAT,TEXT,TEXT,TEXT,NUM,NUM,TEXT,TEXT,TEXT,TEXT
id,rootEffectID,actionCount,channelTime,energyCost,energyGenerate,category,levelAdjust,icon,name,tips,baseTipValue,isAoe,firstSpell,tipsDescription,tipsCurlvl,tipsNextlvl
attackFireStabStrong,attackFireStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireStabStrongName,attackFireStabStrongTips,1.8,0,,attackFireStabStrongDescription,attackFireStabStrongCurlvl,attackFireStabStrongNextlvl
attackEarthStabSlight,attackEarthStabSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthStabSlightName,attackEarthStabSlightTips,1.3,0,,attackEarthStabSlightDescription,attackEarthStabSlightCurlvl,attackEarthStabSlightNextlvl
attackEarthStabMedium,attackEarthStabMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthStabMediumName,attackEarthStabMediumTips,1.5,0,,attackEarthStabMediumDescription,attackEarthStabMediumCurlvl,attackEarthStabMediumNextlvl
attackEarthStabStrong,attackEarthStabStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthStabStrongName,attackEarthStabStrongTips,1.8,0,,attackEarthStabStrongDescription,attackEarthStabStrongCurlvl,attackEarthStabStrongNextlvl
attackMetalSmashSlight,attackMetalSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSmashSlightName,attackMetalSmashSlightTips,1.3,0,,attackMetalSmashSlightDescription,attackMetalSmashSlightCurlvl,attackMetalSmashSlightNextlvl
attackMetalSmashMedium,attackMetalSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSmashMediumName,attackMetalSmashMediumTips,1.5,0,,attackMetalSmashMediumDescription,attackMetalSmashMediumCurlvl,attackMetalSmashMediumNextlvl
attackMetalSmashStrong,attackMetalSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSmashStrongName,attackMetalSmashStrongTips,1.8,0,,attackMetalSmashStrongDescription,attackMetalSmashStrongCurlvl,attackMetalSmashStrongNextlvl
attackPlantSmashSlight,attackPlantSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSmashSlightName,attackPlantSmashSlightTips,1.3,0,,attackPlantSmashSlightDescription,attackPlantSmashSlightCurlvl,attackPlantSmashSlightNextlvl
attackPlantSmashMedium,attackPlantSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSmashMediumName,attackPlantSmashMediumTips,1.5,0,,attackPlantSmashMediumDescription,attackPlantSmashMediumCurlvl,attackPlantSmashMediumNextlvl
attackPlantSmashStrong,attackPlantSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSmashStrongName,attackPlantSmashStrongTips,1.8,0,,attackPlantSmashStrongDescription,attackPlantSmashStrongCurlvl,attackPlantSmashStrongNextlvl
attackWaterSmashSlight,attackWaterSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSmashSlightName,attackWaterSmashSlightTips,1.3,0,,attackWaterSmashSlightDescription,attackWaterSmashSlightCurlvl,attackWaterSmashSlightNextlvl
attackWaterSmashMedium,attackWaterSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSmashMediumName,attackWaterSmashMediumTips,1.5,0,,attackWaterSmashMediumDescription,attackWaterSmashMediumCurlvl,attackWaterSmashMediumNextlvl
attackWaterSmashStrong,attackWaterSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSmashStrongName,attackWaterSmashStrongTips,1.8,0,,attackWaterSmashStrongDescription,attackWaterSmashStrongCurlvl,attackWaterSmashStrongNextlvl
attackFireSmashSlight,attackFireSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSmashSlightName,attackFireSmashSlightTips,1.3,0,,attackFireSmashSlightDescription,attackFireSmashSlightCurlvl,attackFireSmashSlightNextlvl
attackFireSmashMedium,attackFireSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSmashMediumName,attackFireSmashMediumTips,1.5,0,,attackFireSmashMediumDescription,attackFireSmashMediumCurlvl,attackFireSmashMediumNextlvl
attackFireSmashStrong,attackFireSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSmashStrongName,attackFireSmashStrongTips,1.8,0,,attackFireSmashStrongDescription,attackFireSmashStrongCurlvl,attackFireSmashStrongNextlvl
attackEarthSmashSlight,attackEarthSmashSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSmashSlightName,attackEarthSmashSlightTips,1.3,0,,attackEarthSmashSlightDescription,attackEarthSmashSlightCurlvl,attackEarthSmashSlightNextlvl
attackEarthSmashMedium,attackEarthSmashMediume1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSmashMediumName,attackEarthSmashMediumTips,1.5,0,,attackEarthSmashMediumDescription,attackEarthSmashMediumCurlvl,attackEarthSmashMediumNextlvl
attackEarthSmashStrong,attackEarthSmashStronge1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSmashStrongName,attackEarthSmashStrongTips,1.8,0,,attackEarthSmashStrongDescription,attackEarthSmashStrongCurlvl,attackEarthSmashStrongNextlvl
attackMetalSlight,attackMetalSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackMetalSlightName,attackMetalSlightTips,1.3,0,,attackMetalSlightDescription,attackMetalSlightCurlvl,attackMetalSlightNextlvl
attackPlantSlight,attackPlantSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackPlantSlightName,attackPlantSlightTips,1.3,0,,attackPlantSlightDescription,attackPlantSlightCurlvl,attackPlantSlightNextlvl
attackWaterSlight,attackWaterSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackWaterSlightName,attackWaterSlightTips,1.3,0,,attackWaterSlightDescription,attackWaterSlightCurlvl,attackWaterSlightNextlvl
attackFireSlight,attackFireSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackFireSlightName,attackFireSlightTips,1.3,0,,attackFireSlightDescription,attackFireSlightCurlvl,attackFireSlightNextlvl
attackEarthSlight,attackEarthSlighte1,0,0,0,35,0,0.01,icon_psvMantuoluo,attackEarthSlightName,attackEarthSlightTips,1.3,0,,attackEarthSlightDescription,attackEarthSlightCurlvl,attackEarthSlightNextlvl
magicMetalBallSlight,magicMetalBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalBallSlightName,magicMetalBallSlightTips,1.3,0,,magicMetalBallSlightDescription,magicMetalBallSlightCurlvl,magicMetalBallSlightNextlvl
magicMetalBallMedium,magicMetalBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalBallMediumName,magicMetalBallMediumTips,1.5,0,,magicMetalBallMediumDescription,magicMetalBallMediumCurlvl,magicMetalBallMediumNextlvl
magicMetalBallStrong,magicMetalBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalBallStrongName,magicMetalBallStrongTips,1.8,0,,magicMetalBallStrongDescription,magicMetalBallStrongCurlvl,magicMetalBallStrongNextlvl
magicMetalColumnSlight,magicMetalColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalColumnSlightName,magicMetalColumnSlightTips,1.3,0,,magicMetalColumnSlightDescription,magicMetalColumnSlightCurlvl,magicMetalColumnSlightNextlvl
magicMetalColumnMedium,magicMetalColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalColumnMediumName,magicMetalColumnMediumTips,1.5,0,,magicMetalColumnMediumDescription,magicMetalColumnMediumCurlvl,magicMetalColumnMediumNextlvl
magicMetalColumnStrong,magicMetalColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalColumnStrongName,magicMetalColumnStrongTips,1.8,0,,magicMetalColumnStrongDescription,magicMetalColumnStrongCurlvl,magicMetalColumnStrongNextlvl
magicPlantBallSlight,magicPlantBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantBallSlightName,magicPlantBallSlightTips,1.3,0,,magicPlantBallSlightDescription,magicPlantBallSlightCurlvl,magicPlantBallSlightNextlvl
magicPlantBallMedium,magicPlantBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantBallMediumName,magicPlantBallMediumTips,1.5,0,,magicPlantBallMediumDescription,magicPlantBallMediumCurlvl,magicPlantBallMediumNextlvl
magicPlantBallStrong,magicPlantBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantBallStrongName,magicPlantBallStrongTips,1.8,0,,magicPlantBallStrongDescription,magicPlantBallStrongCurlvl,magicPlantBallStrongNextlvl
magicPlantColumnSlight,magicPlantColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantColumnSlightName,magicPlantColumnSlightTips,1.3,0,,magicPlantColumnSlightDescription,magicPlantColumnSlightCurlvl,magicPlantColumnSlightNextlvl
magicPlantColumnMedium,magicPlantColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantColumnMediumName,magicPlantColumnMediumTips,1.5,0,,magicPlantColumnMediumDescription,magicPlantColumnMediumCurlvl,magicPlantColumnMediumNextlvl
magicPlantColumnStrong,magicPlantColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantColumnStrongName,magicPlantColumnStrongTips,1.8,0,,magicPlantColumnStrongDescription,magicPlantColumnStrongCurlvl,magicPlantColumnStrongNextlvl
magicWaterBallSlight,magicWaterBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterBallSlightName,magicWaterBallSlightTips,1.3,0,,magicWaterBallSlightDescription,magicWaterBallSlightCurlvl,magicWaterBallSlightNextlvl
magicWaterBallMedium,magicWaterBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterBallMediumName,magicWaterBallMediumTips,1.5,0,,magicWaterBallMediumDescription,magicWaterBallMediumCurlvl,magicWaterBallMediumNextlvl
magicWaterBallStrong,magicWaterBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterBallStrongName,magicWaterBallStrongTips,1.8,0,,magicWaterBallStrongDescription,magicWaterBallStrongCurlvl,magicWaterBallStrongNextlvl
magicWaterColumnSlight,magicWaterColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterColumnSlightName,magicWaterColumnSlightTips,1.3,0,,magicWaterColumnSlightDescription,magicWaterColumnSlightCurlvl,magicWaterColumnSlightNextlvl
magicWaterColumnMedium,magicWaterColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterColumnMediumName,magicWaterColumnMediumTips,1.5,0,,magicWaterColumnMediumDescription,magicWaterColumnMediumCurlvl,magicWaterColumnMediumNextlvl
magicWaterColumnStrong,magicWaterColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterColumnStrongName,magicWaterColumnStrongTips,1.8,0,,magicWaterColumnStrongDescription,magicWaterColumnStrongCurlvl,magicWaterColumnStrongNextlvl
magicFireBallSlight,magicFireBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireBallSlightName,magicFireBallSlightTips,1.3,0,,magicFireBallSlightDescription,magicFireBallSlightCurlvl,magicFireBallSlightNextlvl
magicFireBallMedium,magicFireBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireBallMediumName,magicFireBallMediumTips,1.5,0,,magicFireBallMediumDescription,magicFireBallMediumCurlvl,magicFireBallMediumNextlvl
magicFireBallStrong,magicFireBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireBallStrongName,magicFireBallStrongTips,1.8,0,,magicFireBallStrongDescription,magicFireBallStrongCurlvl,magicFireBallStrongNextlvl
magicFireColumnSlight,magicFireColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireColumnSlightName,magicFireColumnSlightTips,1.3,0,,magicFireColumnSlightDescription,magicFireColumnSlightCurlvl,magicFireColumnSlightNextlvl
magicFireColumnMedium,magicFireColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireColumnMediumName,magicFireColumnMediumTips,1.5,0,,magicFireColumnMediumDescription,magicFireColumnMediumCurlvl,magicFireColumnMediumNextlvl
magicFireColumnStrong,magicFireColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireColumnStrongName,magicFireColumnStrongTips,1.8,0,,magicFireColumnStrongDescription,magicFireColumnStrongCurlvl,magicFireColumnStrongNextlvl
magicEarthBallSlight,magicEarthBallSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthBallSlightName,magicEarthBallSlightTips,1.3,0,,magicEarthBallSlightDescription,magicEarthBallSlightCurlvl,magicEarthBallSlightNextlvl
magicEarthBallMedium,magicEarthBallMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthBallMediumName,magicEarthBallMediumTips,1.5,0,,magicEarthBallMediumDescription,magicEarthBallMediumCurlvl,magicEarthBallMediumNextlvl
magicEarthBallStrong,magicEarthBallStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthBallStrongName,magicEarthBallStrongTips,1.8,0,,magicEarthBallStrongDescription,magicEarthBallStrongCurlvl,magicEarthBallStrongNextlvl
magicEarthColumnSlight,magicEarthColumnSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthColumnSlightName,magicEarthColumnSlightTips,1.3,0,,magicEarthColumnSlightDescription,magicEarthColumnSlightCurlvl,magicEarthColumnSlightNextlvl
magicEarthColumnMedium,magicEarthColumnMediume1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthColumnMediumName,magicEarthColumnMediumTips,1.5,0,,magicEarthColumnMediumDescription,magicEarthColumnMediumCurlvl,magicEarthColumnMediumNextlvl
magicEarthColumnStrong,magicEarthColumnStronge1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthColumnStrongName,magicEarthColumnStrongTips,1.8,0,,magicEarthColumnStrongDescription,magicEarthColumnStrongCurlvl,magicEarthColumnStrongNextlvl
magicMetalSlight,magicMetalSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicMetalSlightName,magicMetalSlightTips,1.3,0,,magicMetalSlightDescription,magicMetalSlightCurlvl,magicMetalSlightNextlvl
magicPlantSlight,magicPlantSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicPlantSlightName,magicPlantSlightTips,1.3,0,,magicPlantSlightDescription,magicPlantSlightCurlvl,magicPlantSlightNextlvl
magicWaterSlight,magicWaterSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicWaterSlightName,magicWaterSlightTips,1.3,0,,magicWaterSlightDescription,magicWaterSlightCurlvl,magicWaterSlightNextlvl
magicFireSlight,magicFireSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicFireSlightName,magicFireSlightTips,1.3,0,,magicFireSlightDescription,magicFireSlightCurlvl,magicFireSlightNextlvl
magicEarthSlight,magicEarthSlighte1,0,0,0,35,1,0.01,icon_psvMantuoluo,magicEarthSlightName,magicEarthSlightTips,1.3,0,,magicEarthSlightDescription,magicEarthSlightCurlvl,magicEarthSlightNextlvl
magicCureSlight,magicCureSlighte1,0,0,0,35,2,0.01,icon_magicCureSlight,magicCureSlightName,magicCureSlightTips,0.54,0,,magicCureSlightDescription,magicCureSlightCurlvl,magicCureSlightNextlvl
magicCureMedium,magicCureMediume1,0,0,0,35,2,0.01,icon_magicCureMedium,magicCureMediumName,magicCureMediumTips,0.62,0,,magicCureMediumDescription,magicCureMediumCurlvl,magicCureMediumNextlvl
magicCureStrong,magicCureStronge1,0,0,0,35,2,0.01,icon_magicCureStrong,magicCureStrongName,magicCureStrongTips,0.75,0,,magicCureStrongDescription,magicCureStrongCurlvl,magicCureStrongNextlvl
buffSpeed,buffSpeede1,0,0,0,35,5,0,icon_buffSpeed,buffSpeedName,buffSpeedTips,0,0,,buffSpeedTips,,
buffSpeedSelf,buffSpeedSelfe1,0,0,0,35,5,0,icon_buffSpeedSelf,buffSpeedSelfName,buffSpeedSelfTips,0,0,,buffSpeedSelfTips,,
buffMagic,buffMagice1,0,0,0,35,5,0,icon_buffMagic,buffMagicName,buffMagicTips,0,0,,buffMagicTips,,
buffMagicSelf,buffMagicSelfe1,0,0,0,35,5,0,icon_buffMagicSelf,buffMagicSelfName,buffMagicSelfTips,0,0,,buffMagicSelfTips,,
buffAttack,buffAttacke1,0,0,0,35,5,0,icon_buffAttack,buffAttackName,buffAttackTips,0,0,,buffAttackTips,,
buffDefense,buffDefensee1,0,0,0,35,5,0,icon_buffDefense,buffDefenseName,buffDefenseTips,0,0,,buffDefenseTips,,
buffAttackSelf,buffAttackSelfe1,0,0,0,35,5,0,icon_buffAttackSelf,buffAttackSelfName,buffAttackSelfTips,0,0,,buffAttackSelfTips,,
buffDefenseSelf,buffDefenseSelfe1,0,0,0,35,5,0,icon_buffDefenseSelf,buffDefenseSelfName,buffDefenseSelfTips,0,0,,buffDefenseSelfTips,,
debuffDefense,debuffDefensee1,0,0,0,35,6,0,icon_debuffDefense,debuffDefenseName,debuffDefenseTips,0,0,,debuffDefenseTips,,
phydazhaoPrepare,phydazhaoPreparee1,0,0,0,35,10,0,,,,0,0,,,,
magicdazhaoPrepare,magicdazhaoPreparee1,0,0,0,35,10,0,,,,0,0,,,,
buffHot,buffHote1,0,0,0,35,12,0,icon_buffHot,buffHotName,buffHotTips,0,0,,buffHotTips,,
debuffAttack,debuffAttacke1,0,0,0,35,6,0,icon_debuffAttack,debuffAttackName,debuffAttackTips,0,0,,debuffAttackTips,,
debuffMagic,debuffMagice1,0,0,0,35,6,0,icon_debuffMagic,debuffMagicName,debuffMagicTips,0,0,,debuffMagicTips,,
debuffSpeed,debuffSpeede1,0,0,0,35,6,0,icon_debuffSpeed,debuffSpeedName,debuffSpeedTips,0,0,,debuffSpeedTips,,
physicdebuffFireDotSlight,physicdebuffFireDotSlighte1,0,0,0,35,11,0.003,icon_debuffFireDotSlight,physicdebuffFireDotSlightName,physicdebuffFireDotSlightTips,0.7,0,,physicdebuffFireDotSlightDescription,physicdebuffFireDotSlightCurlvl,physicdebuffFireDotSlightNextlvl
physicdebuffFireDotMedium,physicdebuffFireDotMediume1,0,0,0,35,11,0.003,icon_debuffFireDotMedium,physicdebuffFireDotMediumName,physicdebuffFireDotMediumTips,0.8,0,,physicdebuffFireDotMediumDescription,physicdebuffFireDotMediumCurlvl,physicdebuffFireDotMediumNextlvl
physicdebuffFireDotStrong,physicdebuffFireDotStronge1,0,0,0,35,11,0.003,icon_debuffFireDotStrong,physicdebuffFireDotStrongName,physicdebuffFireDotStrongTips,0.97,0,,physicdebuffFireDotStrongDescription,physicdebuffFireDotStrongCurlvl,physicdebuffFireDotStrongNextlvl
physicdebuffWaterDotSlight,physicdebuffWaterDotSlighte1,0,0,0,35,11,0.003,icon_debuffWaterDotSlight,physicdebuffWaterDotSlightName,physicdebuffWaterDotSlightTips,0.7,0,,physicdebuffWaterDotSlightDescription,physicdebuffWaterDotSlightCurlvl,physicdebuffWaterDotSlightNextlvl
physicdebuffWaterDotMedium,physicdebuffWaterDotMediume1,0,0,0,35,11,0.003,icon_debuffWateDotMedium,physicdebuffWateDotMediumName,physicdebuffWateDotMediumTips,0.8,0,,physicdebuffWaterDotMediumDescription,physicdebuffWaterDotMediumCurlvl,physicdebuffWaterDotMediumNextlvl
physicdebuffWaterDotStrong,physicdebuffWaterDotStronge1,0,0,0,35,11,0.003,icon_debuffWateDotStrong,physicdebuffWateDotStrongName,physicdebuffWateDotStrongTips,0.97,0,,physicdebuffWaterDotStrongDescription,physicdebuffWaterDotStrongCurlvl,physicdebuffWaterDotStrongNextlvl
physicdebuffPlantDotSlight,physicdebuffPlantDotSlighte1,0,0,0,35,11,0.003,icon_debuffPlantDotSlight,physicdebuffPlantDotSlightName,physicdebuffPlantDotSlightTips,0.7,0,,physicdebuffPlantDotSlightDescription,physicdebuffPlantDotSlightCurlvl,physicdebuffPlantDotSlightNextlvl
physicdebuffPlantDotMedium,physicdebuffPlantDotMediume1,0,0,0,35,11,0.003,icon_debuffPlantDotMedium,physicdebuffPlantDotMediumName,physicdebuffPlantDotMediumTips,0.8,0,,physicdebuffPlantDotMediumDescription,physicdebuffPlantDotMediumCurlvl,physicdebuffPlantDotMediumNextlvl
