#TEXT,NUM,NUM,NUM,NUM,TEXT,NUM,NUM,TEXT,TEXT,FLOAT,TEXT,NUM,FLOAT,NUM,NUM,TEXT
id,effectType,casterType,targetType,energy,effectList,count,camp,searchEffect,effectStartID,startDelayTime,periodEffectList,damageType,attackFactor,isHeal,damageProperty,buffID
magicWaterMediume2,3,1,0,0,,0,0,,,0,,1,1.2,0,3,
magicWaterStronge1,3,1,0,0,,0,0,,,0,,1,1.4,0,3,
magicFireSlighte1,2,1,0,0,,0,0,,magicFireSlighte2,0.5,,0,0,0,0,
magicFireSlighte2,3,1,0,0,,0,0,,,0,,1,1,0,4,
magicFireMediume1,3,1,0,0,,0,0,,,0,,1,1.2,0,4,
magicFireStronge1,3,1,0,0,,0,0,,,0,,1,1.4,0,4,
magicEarthSlighte1,2,1,0,0,,0,0,,magicEarthSlighte2,1.5,,0,0,0,0,
magicEarthSlighte2,3,1,0,0,,0,0,,,0,,1,1,0,5,
magicEarthMediume1,3,1,0,0,,0,0,,,0,,1,1.2,0,5,
magicEarthStronge1,3,1,0,0,,0,0,,,0,,1,1.4,0,5,
magicCureSlighte1,2,1,0,0,,0,0,,magicCureMediume2,1,,0,0,0,0,
magicCureSlighte2,3,1,0,0,,0,0,,,0,,1,0.5,1,0,
magicCureMediume1,2,1,0,0,,0,0,,magicCureMediume2,1,,0,0,0,0,
magicCureMediume2,3,1,0,0,,0,0,,,0,,1,0.6,1,0,
magicCureStronge1,3,1,0,0,,0,0,,,0,,1,0.7,1,0,
buffMagice1,2,1,0,0,,0,0,,buffMagice2,1.5,,0,0,0,0,
buffMagice2,4,1,0,0,,0,0,,,0,,0,0,0,0,buffMagicb1
buffAttacke1,2,1,0,0,,0,0,,buffAttacke2,1.5,,0,0,0,0,
buffAttacke2,4,1,0,0,,0,0,,,0,,0,0,0,0,buffAttackb1
debuffDefensee1,2,1,0,0,,0,0,,debuffDefensee2,1.5,,0,0,0,0,
debuffDefensee2,4,1,0,0,,0,0,,,0,,0,0,0,0,debuffDefenseb1
ultErshue1,3,1,0,0,,0,0,,,0,,0,0,0,0,
ultQingniaoe1,3,1,0,0,,0,0,,,0,,0,0,0,0,
ultZhuyane1,3,1,0,0,,0,0,,,0,,0,0,0,0,
demozhuyanDazhaoe1,5,1,0,0,,0,0,,,0,IsEnemy|demozhuyanDazhaoe3;Default|demozhuyanDazhaoe2,0,0,0,0,
demozhuyanDazhaoe2,3,1,0,0,,0,0,,,0,,0,0.6,0,0,
demozhuyanDazhaoe3,2,1,0,0,,0,0,,demozhuyanDazhaoe2,1,0.15|demozhuyanDazhaoe2;0.3|demozhuyanDazhaoe2;0.45|demozhuyanDazhaoe2;0.6|demozhuyanDazhaoe2,0,0,0,0,
bossJiuweihu1e1,2,1,0,0,,3,0,,bossJiuweihu1e2,0,,0,0,0,0,
bossJiuweihu2e1,2,1,0,0,,3,0,,bossJiuweihu2e2,0,,0,0,0,0,
bossJiuweihu3e1,2,1,0,0,,3,0,,bossJiuweihu3e2,0,,0,0,0,0,
bossJiuweihu4e1,2,1,0,0,,3,0,,bossJiuweihu4e2,0,,0,0,0,0,
bossJiuweihu1e2,3,1,0,0,,0,0,,,0,,1,3,1,0,
bossJiuweihu2e2,3,1,0,0,,0,0,,,0,,1,4,1,0,
bossJiuweihu3e2,3,1,0,0,,0,0,,,0,,1,8,1,0,
bossJiuweihu4e2,3,1,0,0,,0,0,,,0,,1,12,1,0,
switch1,5,1,0,0,,0,0,,,0,IsEnemy|attackTriStronge2;Default|attackTriStronge2,0,0,0,0,
demoershuDazhaoe1,1,1,0,0,,3,0,demoershuDazhaoe2,,0,,0,0,0,0,
demoershuDazhaoe2,2,1,0,0,,0,0,,magicCureMediume1,0.2,1.5|demoershuDazhaoe3,0,0,0,0,
demoershuDazhaoe3,4,1,0,0,,0,0,,,0,,0,0,0,0,hotb1
demoershuDazhaoe4,2,1,0,0,,0,0,,demoershuDazhaoe5,1.5,,0,0,0,0,
demoershuDazhaoe5,3,1,0,0,,0,0,,,0,,1,0.1,1,0,
demoqingniaoDazhaoe1,1,1,0,0,,3,1,demoqingniaoDazhaoe2,,0,,0,0,0,0,
demoqingniaoDazhaoe2,2,1,0,0,,0,0,,magicWaterMediume1,0,1.5|demoqingniaoDazhaoe3,0,0,0,0,
demoqingniaoDazhaoe3,4,1,0,0,,0,0,,,0,,0,0,0,0,debuffMagicb1
bossHundune1,2,1,0,0,,0,0,,bossHundune2,1,0.15|bossHundune2;0.3|bossHundune2;0.45|bossHundune2;0.6|bossHundune2,0,0,0,0,
bossHundune2,3,1,0,0,,0,0,,,0,,0,2,0,0,
dazhaoPreparee1,4,1,1,0,,0,0,,,0,,0,0,0,0,dazhaob1
