#TEXT,NUM,NUM,NUM,FLOAT,FLOAT,NUM,NUM,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,TEXT,NUM,NUM,NUM,NUM
id,isDamagePoint,health,isTarget,damageRate1,damageRate2,property1,property2,node,findWpEffect,appraisalStateEffect,stateparam0,stateparam1,stateparam2,stateparam3,stateparam4,initialStatus,tipType,tipOffsetX,tipOffsetY
jiuweihu_ruodian_6,1,200,0,0.5,0.5,-1,-1,e_ruodian_05,effect/battle/findweakpointEffect,effect/battle/weakpointEffect2,,,,,,1,2,-60,50
jiuweihu_ruodian_7,0,200,0,1,1,3,3,e_ruodian_06,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,2,100,50
jiuweihu_ruodian_8,1,200,0,0.5,0.5,-1,-1,e_ruodian_07,effect/battle/findweakpointEffect,effect/battle/weakpointEffect2,,,,,,1,2,100,60
jiuweihu_ruodian_9,0,200,0,1,1,5,5,e_ruodian_08,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,2,120,50
jiuweihu_ruodian_10,1,200,0,0.5,0.5,-1,-1,e_ruodian_09,effect/battle/findweakpointEffect,effect/battle/weakpointEffect2,,,,,,1,2,140,50
xiaoguai_wp1,1,100000,1,1,1,-1,-1,e_shouji,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,1,0,0
xiaoguai_wp2,1,100000,1,1,1,-1,-1,e_shouji,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,0,1,0,0
hundun_ruodian_1,1,100000,1,0.01,0.01,-1,-1,Bone036,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,1,0,0
hundun_ruodian_2,1,1000,0,1.5,1.5,-1,-1,e_ruodian_01,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,0,2,100,50
hundun_ruodian_3,1,200,0,0.5,0.5,-1,-1,e_ruodian_02,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,1,2,-100,50
hundun_ruodian_4,0,200,0,1,1.5,1,2,e_ruodian_06,effect/battle/findweakpointEffect,effect/battle/weakpointEffect2,"{""mesh"":"""",""effect"":""""}","{""mesh"":""hundun_chibang_state1"",""effect"":""attackStabSlight""}","{""mesh"":""hundun_chibang_state2"",""effect"":""attackStabSlight""}","{""mesh"":""hundun_chibang_frozen"",""effect"":""magicCureStrong""}","{""mesh"":""hundun_chibang_dead"",""effect"":""magicCureStrong""}",0,2,100,50
hundun_ruodian_5,1,100000,0,1,1,-1,-1,e_shouji,effect/battle/findweakpointEffect,effect/battle/weakpointEffect1,,,,,,0,2,-100,50
